Company,CUSIP,Shares,Value,Discretion,PutCall
ADVANCE AUTO PARTS INC.,00751Y106,27118,1687282,SOLE,
ALIBABA GROUP HOLDING SP-ADR,01609W102,3960,380081,SOLE,
ALLIANCE RESOURCE PARTNERS LP,01877R108,111658,2677559,SOLE,
ALLISON TRANSMISSION HLD,01973R101,21791,2456717,SOLE,
ALLY FINANCIAL,02005N100,47288,2172884,SOLE,
ALPHABET INC-CL A,02079K305,141282,50489948,SOLE,
AMERICAN EXPRESS CO,025816109,62719,21214702,SOLE,
AMN HEALTHCARE SERVICES INC,001744101,37299,1207369,SOLE,
ARROW ELECTRIC,042735100,12839,2739971,SOLE,
ASBURY AUTO GROUP,043436104,10305,2072129,SOLE,
AUTOLIV INC.,052800109,383314,44529587,SOLE,
"AUTOZONE, INC.",053332102,5530,17673548,SOLE,
BANK OF AMERICA CORP COM,060505104,364776,20784936,SOLE,
BANK OF NEW YORK MELLON CORP,064058100,102246,14785794,SOLE,
BANK OF NOVA SCOTIA,064149107,42479,3690845,SOLE,
BAXTER INTERNATIONAL INC,071813109,9479,202092,SOLE,
BEAZER HOMES USA,07556Q881,54435,1526902,SOLE,
BERKSHIRE HATHAWAY INC,084670108,144,107834400,SOLE,
BERKSHIRE HATHAWAY INC DEL CL B,084670702,97625,48850574,SOLE,
BLACKSTONE MINE,09225M101,83530,1166914,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,37570,2164783,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,19598,1753629,SOLE,
CENTENE CORP,15135B101,25121,1612517,SOLE,
CIGNA CORP.,125523100,7644,2107298,SOLE,
CISCO SYSTEMS INC,17275R102,29397,3452972,SOLE,
CNH INDUSTRIAL NV,N20944109,20115883,225901366,SOLE,
COCA COLA FEMSA,191241108,1160570,123310563,SOLE,
COMCAST CORPORATION - CLASS A,20030N101,31330,769152,SOLE,
CONAGRA BRANDS INC,205887102,146196,1967798,SOLE,
CONCENTRIX CORP,20602D101,13431,300922,SOLE,
CONOCOPHILLIPS,20825C104,32137,3340963,SOLE,
CROCS INC,227046109,19181,2313996,SOLE,
DEVON ENERGY CORP,25179M103,34147,1410954,SOLE,
DIAGEO P L C  - ADR,25243Q205,126176,10142027,SOLE,
DISNEY WALT COMPANY HOLDING CO,254687106,44975,4328844,SOLE,
DORIAN LPG LIMITED,Y2106R110,39902,1387792,SOLE,
ELEVANCE HEALTH,036752103,6417,2481646,SOLE,
EMERSON ELECTRIC CO,291011104,8743,1251560,SOLE,
ENVISTA HOLDINGS CORP,29415F104,1435248,37818785,SOLE,
EVERFORTH INC,00191U102,87577,1565001,SOLE,
EVERTEC INC,30040P103,88487,2458169,SOLE,
FEDEX CORP.,31428X106,10774,3373663,SOLE,
FEDEX HOLDINGS CO INC,314352105,2206,333031,SOLE,
FMC CORP.,302491303,43935,505253,SOLE,
G III APPAREL,36237H101,85600,2885576,SOLE,
GLOBANT SA,L44385109,61306,1774196,SOLE,
GLOBE LIFE INC.,37959E102,22364,3996000,SOLE,
GSK PLC ADR,37733W204,81527,4273645,SOLE,
HAFNIA LTD,Y2990R101,414383,2751503,SOLE,
HALEON PLC ADR,405552100,72035,672087,SOLE,
HEARTLAND EXPRESS INC.,422347104,138119,2102171,SOLE,
HELMERICH & PAYNE,423452101,52236,1710207,SOLE,
HF SINCLAIR CORP,403949100,38922,2710917,SOLE,
INTEL CORP,458140100,1500,209445,SOLE,
IONIS PHARMACEUTICALS INC.,462222100,2280311,180805859,SOLE,
JAZZ PHARMACEUTICALS PLC,G50871105,60149,14494105,SOLE,
JOHNSON & JOHNSON,478160104,201644,51211527,SOLE,
KENVUE INC.,49177J102,72949,1394055,SOLE,
KT CORP - ADR,48268K101,222892,3851574,SOLE,
LAMB WESTON HOLDINGS INC,513272104,37275,1609535,SOLE,
LKQ CORP,501889208,62066,1634198,SOLE,
LULULEMON ATHLETICA INC,550021109,17963,2051015,SOLE,
MAGNUM ICE CREAM CO NV ADR,N5505D105,11654,202896,SOLE,
MATADOR RESOURCES CO.,576485205,37901,1886712,SOLE,
MOLSON COORS BREWING COMPANY,60871R209,44702,1741590,SOLE,
NOVARTIS AG AMERICAN DEPOSITORY SHARES,66987v109,71125,11146710,SOLE,
NUTRIEN LTD,67077M108,37327,2350779,SOLE,
ORION SA,L72967109,90520,600148,SOLE,
PHILLIPS 66,718546104,12282,2076272,SOLE,
PNC FINANCIAL SERVICES GROUP INC.,693475105,13214,3253551,SOLE,
PROGRESSIVE CORP,743315103,13711,2995168,SOLE,
RESIDEO TECHNOLOGIES,76118Y104,84748,2635663,SOLE,
SHOE STATION GROUP INC,824889109,116763,1731595,SOLE,
SIRIUS XM HOLDINGS INC,829933100,66492,1964174,SOLE,
THOR INDUSTRIES INC.,885160101,26526,1993694,SOLE,
TIDEWATER INC,88642R109,29555,1969250,SOLE,
TOTALENERGIES SE ADR,F92124100,117108,9106318,SOLE,
TRUIST FINANCIAL CORP,89832Q109,546256,27214474,SOLE,
U-HAUL HOLDING CO - NON VOTING,023586506,462827,26705118,SOLE,
UNIFIRST CORP,904708104,101553,26856706,SOLE,
UNILEVER PLC SPONSORED ADR,904767803,49084,2950930,SOLE,
UNION PACIFIC CORP,907818108,19185,5218320,SOLE,
UNITED PARCEL SERVICE,911312106,16630,1787725,SOLE,
UNITEDHEALTH GROUP,91324P102,4089,1699511,SOLE,
US BANCORP,902973304,181896,10986518,SOLE,
VERIZON COMMUNICATIONS,92343V104,23878,1010995,SOLE,
