Company,CUSIP,Shares,Value,Discretion
ACCENTURE PLC IRELAND,G1151C101,94000,32581340,SOLE
ACI WORLDWIDE INC,004498101,372000,12354120,SOLE
ADOBE SYSTEMS INC,00724F101,30000,15138000,SOLE
ALPHABET INC,02079K107,758100,115428306,SOLE
AMAZON COM INC,023135106,340000,61329200,SOLE
ANALOG DEVICES INC,032654105,229200,45333468,SOLE
AON PLC,G0403H108,158300,52827876,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,327200,137594144,SOLE
CARMAX INC,143130102,749500,65288945,SOLE
CHARTER COMMUNICATIONS INC,16119P108,163200,47430816,SOLE
COMCAST CORP NEW,20030N101,66500,2882775,SOLE
CORECARD CORPORATION,45816D100,515000,5690750,SOLE
COSTAR GROUP INC,22160N109,876500,84669900,SOLE
DANAHER CORPORATION,235851102,350910,87629245,SOLE
DIAGEO PLC,25243Q205,28300,4209342,SOLE
EQUIFAX INC,294429105,153500,41064320,SOLE
FIDELITY NATL INFORMATION SV,31620M106,506500,37572170,SOLE
FORTIVE CORP,34959J108,40800,3509616,SOLE
GARTNER INC,366651107,64425,30709465,SOLE
GLOBAL PMTS INC,37940X102,320000,42771200,SOLE
GUIDEWIRE SOFTWARE INC,40171V100,122100,14250291,SOLE
HEICO CORP NEW,422806208,183300,28217202,SOLE
HONEYWELL INTL INC,438516106,11300,2319325,SOLE
IDEX CORP,45167R104,66900,16324938,SOLE
JPMORGAN CHASE & CO,46625H100,20500,4106150,SOLE
LABORATORY CORP AMER HLDGS,50540R409,256350,56002221,SOLE
LIBERTY BROADBAND CORP,530307107,140000,7996800,SOLE
LIBERTY BROADBAND CORP,530307305,610500,34938915,SOLE
LIBERTY GLOBAL LTD,G61188127,1406500,24810660,SOLE
LIBERTY MEDIA CORP DEL,531229748,77500,3282125,SOLE
LIBERTY MEDIA CORP DEL,531229789,1748000,51933080,SOLE
LIBERTY MEDIA CORP DEL,531229722,315000,13803300,SOLE
LIBERTY MEDIA CORP DEL,531229813,310000,9207000,SOLE
LINDE PLC,G54950103,6900,3203808,SOLE
LIVE NATION ENTERTAINMENT INC,538034109,61000,6451970,SOLE
LKQ CORP,501889208,412250,22018273,SOLE
MARTIN MARIETTA MATLS INC,573284106,40675,24972010,SOLE
MASTERCARD INCORPORATED,57636Q104,203350,97927260,SOLE
META PLATFORMS INC,30303M102,201275,97735115,SOLE
MICROCHIP TECHNOLOGY INC.,595017104,259600,23288716,SOLE
MICROSOFT CORP,594918104,43800,18427536,SOLE
ORACLE CORP,68389X105,285500,35861655,SOLE
PERIMETER SOLUTIONS SA,L7579L106,3635000,26971700,SOLE
REDWOOD TR INC,758075AD7,9000000,9055815,SOLE
ROPER TECHNOLOGIES INC,776696106,72100,40436564,SOLE
RWT HLDGS INC,749772AD1,3500000,3395168,SOLE
S&P GLOBAL INC,78409V104,68875,29302869,SOLE
SALESFORCE COM INC,79466L302,110000,33129800,SOLE
TEXAS INSTRS INC,882508104,170101,29633295,SOLE
THERMO FISHER SCIENTIFIC INC,883556102,125200,72767492,SOLE
VERALTO CORP,92338C103,358699,31802253,SOLE
VERISIGN INC,92343E102,73300,13891083,SOLE
VISA INC,92826C839,364200,101640936,SOLE
VULCAN MATLS CO,929160109,241550,65923826,SOLE
