Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,41900,4751879,SOLE
ALLY FINL INC,02005N100,225525,8784197,SOLE
ALPHABET INC,02079K107,82390,14615162,SOLE
APPLE INC,037833100,44000,9027480,SOLE
ASSURED GUARANTY LTD,G0585R106,10990,957229,SOLE
BANK AMERICA CORP,060505104,50000,2366000,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,86,62676789,SOLE
CHINA YUCHAI INTL LTD,G21082105,23364,558633,SOLE
CITIGROUP INC,172967424,57695,4910997,SOLE
CREDIT ACCEP CORP MICH,225310101,262,133471,SOLE
GENERAL MTRS CO,37045V100,52000,2558920,SOLE
HERTZ GLOBAL HLDGS INC,42806J148,1000,3640,SOLE
IMPERIAL OIL LTD,453038408,5000,397209,SOLE
JEFFERIES FINL GROUP INC,47233W109,10987,600879,SOLE
LEAR CORP,521865204,4000,379920,SOLE
LOUISIANA PAC CORP,546347105,5886,506137,SOLE
MAGNA INTL INC,559222401,10000,386100,SOLE
MBIA INC,55262C100,321000,1393140,SOLE
METHANEX CORP,59151K108,20000,662236,SOLE
MOODYS CORP,615369105,5899,2958879,SOLE
OCCIDENTAL PETE CORP,674599105,313000,13149129,SOLE
PATHWARD FINANCIAL INC,59100U108,27389,2167017,SOLE
PAYPAL HLDGS INC,70450Y103,41000,3047120,SOLE
POOL CORP,73278L105,10636,3100181,SOLE
RYANAIR HOLDINGS PLC,783513203,5937,342387,SOLE
SIRIUSXM HOLDINGS INC,829933100,702462,16135550,SOLE
STELLANTIS N.V,N82405106,692000,6940760,SOLE
SUNRISE COMMUNICATIONS AG,867975104,2400,135720,SOLE
SYNCHRONY FINANCIAL,87165B103,215702,14395949,SOLE
VITESSE ENERGY INC,92852X103,1293,28562,SOLE
WELLS FARGO CO NEW,949746101,59542,4770505,SOLE
