Company,CUSIP,Shares,Value,Discretion
AMAZON COM INC,023135106,1437908,273576,SOLE
ANALOG DEVICES INC,032654105,1243847,250847,SOLE
BOOKING HOLDINGS INC,09857L108,72052,331937,SOLE
BOOZ ALLEN HAMILTON HLDG COR,099502106,93472,9775,SOLE
CADENCE DESIGN SYSTEM INC,127387108,137409,34947,SOLE
CANADIAN NATL RY CO,136375102,19073,1859,SOLE
COPART INC,217204106,5081145,287542,SOLE
EQUIFAX INC,294429105,762905,185813,SOLE
FAIR ISAAC CORP,303250104,150660,277841,SOLE
GE AEROSPACE,369604301,2466267,493623,SOLE
ILLUMINA INC,452327109,889714,70590,SOLE
INTERCONTINENTAL EXCHANGE IN,45866F104,2282427,393719,SOLE
INTUIT,461202103,555811,341262,SOLE
MARSH & MCLENNAN COS INC,571748102,2121730,517766,SOLE
MICROSOFT CORP,594918104,1250718,469507,SOLE
MOODYS CORP,615369105,826734,385002,SOLE
SALESFORCE INC,79466L302,359908,96585,SOLE
THERMO FISHER SCIENTIFIC INC,883556102,332845,165624,SOLE
VISA INC,92826C839,1775973,622407,SOLE
WATERS CORP,941848103,887215,327001,SOLE
ZOETIS INC,98978V103,1523960,250920,SOLE
ACCENTURE PLC IRELAND,G1151C101,1238638,386505,SOLE
FLUTTER ENTMT PLC,G3643J108,2590673,571764,SOLE
LINDE PLC,G54950103,84991,39575,SOLE
ALCON AG,H01301128,7115571,672562,SOLE
FERRARI N V,N3167Y103,585118,248670,SOLE
