Company,CUSIP,Shares,Value,Discretion,PutCall
Ferguson Plc New,G3421J106,669203,129591161,DFND,
Ferguson Plc New,G3421J106,1284660,248774409,OTR,
General Electric Co.,369604301,4030213,640682961,DFND,
GE HealthCare Technologies Inc.,36266G107,1342833,104633547,DFND,
Invesco Ltd.,G491BT108,27223734,407267061,DFND,
Janus Henderson Group plc,G4474Y214,31867800,1074263538,DFND,
Rentokil Initial plc,760125104,470000,13935500,DFND,
U-Haul Holding Company,023586100,389700,24056181,DFND,
U-Haul Holding Company - B,023586506,909300,54576186,DFND,
The Walt Disney Company,254687106,2645583,262679936,OTR,
Solventum Corporation,83444M101,5360579,283467418,DFND,
The Allstate Corporation,200021014,2013508,321476687,DFND,
Wendys Co.,95058W100,15943466,270401183,DFND,
Wendys Co.,95058W100,15564402,263972258,OTR,
