Company,CUSIP,Shares,Value,Discretion
WEATHERFORD INTL PLC,G48833118,360566,24673531,SOLE
CHART INDS INC,16115Q308,147499,29521925,SOLE
APTIV PLC,G3265R107,305471,26337710,SOLE
OSHKOSH CORP,688239201,149100,19338270,SOLE
ASHLAND INC,044186104,283820,13597816,SOLE
PVH CORPORATION,693656100,100000,8377000,SOLE
DOLE PLC,G27907107,330000,4435200,SOLE
GRAPHIC PACKAGING HLDG CO,388689101,645584,12634079,SOLE
BATH & BODY WORKS INC,070830104,150000,3864000,SOLE
NOMAD FOODS LTD,G6564A105,722000,9494300,SOLE
AXALTA COATING SYS LTD,G0750C108,764000,21865680,SOLE
