Company,CUSIP,Shares,Value,Discretion
AGCO Corporation,001084102,2027266,187664014,SOLE
"Alexandria Real Estate Equities, Inc.",015271109,151317,13998336,SOLE
"Alphabet Inc., Class A",02079K305,3039483,470025669,SOLE
"Alphabet Inc., Class C",02079K107,646697,101033472,SOLE
"Amazon.com, Inc.",023135106,3519954,669706448,SOLE
American Express Co.,025816109,271435,73029574,SOLE
American Homes 4 Rent - Class A,02665T306,243120,9192367,SOLE
American Tower Corp,03027X100,88940,19353344,SOLE
"Applied Materials, Inc.",038222105,4993172,724609092,SOLE
"AppLovin Corp., Class A",03831W108,163011,43193025,SOLE
"AvalonBay Communities, Inc.",053484101,56650,12158223,SOLE
Bank of America Corp.,060505104,1156148,48246056,SOLE
Bank of N.T. Butterfield & Son Limited,G0772R208,1068441,41583724,SOLE
Bank of New York Mellon Corp.,064058100,1910645,160245770,SOLE
"Berkshire Hathaway Inc., Class A",084670108,1558,1243972013,SOLE
"Berkshire Hathaway Inc., Class B",084670702,678453,361330499,SOLE
"Brixmor Property Group, Inc.",11120U105,484360,12859758,SOLE
"BXP, Inc.",101121101,203440,13669134,SOLE
Camden Property Trust,133131102,76510,9357173,SOLE
Capital One Financial Corp.,14040H105,8999453,1613602008,SOLE
Charles Schwab Corp.,808513105,297606,23296598,SOLE
Chubb Ltd.,H1467J104,1086389,328078675,SOLE
Cigna Group,125523100,1433251,471539579,SOLE
"Clear Secure, Inc.",18467V109,581691,15071614,SOLE
"Community Healthcare Trust, Inc.",20369C106,301740,5479598,SOLE
ConocoPhillips,20825C104,1402068,147245181,SOLE
"Coupang, Inc., Class A",22266T109,5880990,128970111,SOLE
"Cousins Properties, Inc.",222795502,446935,13184583,SOLE
"Crown Castle, Inc.",22822V101,41000,4273430,SOLE
"Crown Holdings, Inc.",228368106,8570,764958,SOLE
CVS Health Corporation,126650100,11549057,782448612,SOLE
Darling Ingredients Inc.,237266101,2476469,77364891,SOLE
Davis Select Financial ETF,23908L108,2129860,83660911,SOLE
