Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,32520,11621672,SOLE,
CARVANA CO,146869102,1763296,116060143,SOLE,
CREDIT ACCEP CORP MICH,225310101,108272,68941113,SOLE,
DEERE & CO,244199105,5001,3172284,SOLE,
META PLATFORMS INC,30303M102,138997,78295620,SOLE,
H WORLD GROUP LTD,44332N106,513413,21419590,SOLE,
INTERACTIVE BROKERS GROUP IN,45841N107,561086,48836925,SOLE,
MICROSOFT CORP,594918104,33100,12346962,SOLE,
MORNINGSTAR INC,617700109,3700,577274,SOLE,
PAYCOM SOFTWARE INC,70432V102,21395,2688924,SOLE,
SALESFORCE INC,79466L302,15511,2429953,SOLE,
YUM CHINA HLDGS INC,98850P109,398021,16267118,SOLE,
SPOTIFY TECHNOLOGY S A,L8681T102,500,229565,SOLE,
