Company,CUSIP,Shares,Value,Discretion
AGCO Corporation,001084102,1812922,194109559,SOLE
"Alexandria Real Estate Equities, Inc.",015271109,180157,15014284,SOLE
"Alphabet Inc., Class A",02079K305,2770594,673531304,SOLE
"Alphabet Inc., Class C",02079K107,646051,157345721,SOLE
"Amazon.com, Inc.",023135106,3137986,689007586,SOLE
American Express Co.,025816109,247940,82355848,SOLE
American Homes 4 Rent - Class A,02665T306,285600,9496200,SOLE
American Tower Corp,03027X100,65670,12629654,SOLE
"ANGI Inc., Class A",00183L201,949006,15430837,SOLE
"Applied Materials, Inc.",038222105,5553992,1137124285,SOLE
"AppLovin Corp., Class A",03831W108,223574,160646862,SOLE
"AvalonBay Communities, Inc.",053484101,66580,12861259,SOLE
Bank of America Corp.,060505104,1150589,59358887,SOLE
Bank of N.T. Butterfield & Son Limited,G0772R208,1058793,45443396,SOLE
Bank of New York Mellon Corp.,064058100,1010681,110123786,SOLE
"Berkshire Hathaway Inc., Class A",084670108,998,752691600,SOLE
"Berkshire Hathaway Inc., Class B",084670702,533948,268437018,SOLE
"Brixmor Property Group, Inc.",11120U105,570000,15777600,SOLE
"BXP, Inc.",101121101,239760,17823758,SOLE
Camden Property Trust,133131102,89120,9516234,SOLE
Capital One Financial Corp.,14040H105,8380117,1781445282,SOLE
Charles Schwab Corp.,808513105,296441,28301222,SOLE
"Chime Financial, Inc.",16935C109,2399166,48391178,SOLE
Chubb Ltd.,H1467J104,1070445,302133175,SOLE
Cigna Group,125523100,656318,189183664,SOLE
"Community Healthcare Trust, Inc.",20369C106,333190,5097807,SOLE
ConocoPhillips,20825C104,1599311,151278828,SOLE
COPT Defense Properties,22002T108,302120,8779607,SOLE
"Coterra Energy, Inc.",127097103,19883481,470244326,SOLE
"Cousins Properties, Inc.",222795502,512355,14827554,SOLE
"Crown Castle, Inc.",22822V101,43240,4172228,SOLE
"Crown Holdings, Inc.",228368106,8570,827776,SOLE
CVS Health Corporation,126650100,11403641,859720495,SOLE
Darling Ingredients Inc.,237266101,2453940,75753128,SOLE
Davis Select Financial ETF,23908L108,2129860,96312281,SOLE
Davis Select International ETF,23908L405,3890080,108844451,SOLE
Davis Select U.S. Equity ETF,23908L207,3383338,162062531,SOLE
Davis Select Worldwide ETF,23908L306,1916287,86673671,SOLE
"Digital Realty Trust, Inc.",253868103,81280,14051686,SOLE
"Douglas Emmett, Inc",25960P109,317600,4945032,SOLE
"Eastgroup Properties, Inc.",277276101,52940,8960624,SOLE
"Equinix, Inc.",29444U700,21803,17076982,SOLE
Equity Residential,29476L107,107215,6940027,SOLE
"Essex Property Trust, Inc.",297178105,16951,4537105,SOLE
"Everest Group, Ltd.",G3223R108,39428,13808868,SOLE
"Extra Space Storage, Inc.",30225T102,55055,7759452,SOLE
Fifth Third Bancorp,316773100,2668869,118898114,SOLE
"Full Truck Alliance Co. Ltd., ADR",35969L108,14981773,194313596,SOLE
"Healthpeak Properties, Inc.",42250P103,446866,8557484,SOLE
Hudson Pacific Properties Inc.,444097109,2300183,6348505,SOLE
Humana Inc.,444859102,385539,100305682,SOLE
IAC Inc.,44891N208,2243689,76442484,SOLE
iShares S&P 500 Value Index Fund,464287408,6614,1365857,SOLE
"JD.com Inc., Class A, ADR",47215P106,341711,11953051,SOLE
Johnson Controls International plc,G51502105,186004,20451140,SOLE
JPMorgan Chase & Co.,46625H100,595626,187878341,SOLE
"KE Holdings Inc., Class A, ADR",482497104,1851804,35184276,SOLE
Lam Research Corp.,512807306,12280,1644292,SOLE
Loews Corp.,540424108,595697,59802022,SOLE
M & T Bank Corp,55261F104,51027,10083956,SOLE
"Markel Group, Inc",570535104,373528,713946478,SOLE
"Meta Platforms, Inc., Class A",30303M102,1715514,1259839100,SOLE
MGM Resorts International,552953101,23953452,830226646,SOLE
Microsoft Corp.,594918104,52306,27091893,SOLE
"Mid-America Apartment Communities, Inc.",59522J103,60860,8503968,SOLE
NetEase Inc. - ADR,64110W102,594740,90394533,SOLE
NetSTREIT Corp.,64119V303,342410,6183925,SOLE
"Noah Holdings Ltd., Class A, ADS",65487X102,1021585,11840170,SOLE
NVIDIA Corp.,67066G104,89795,16753951,SOLE
Oracle Corporation,68389X105,67052,18857704,SOLE
Owens Corning,690742101,1777367,251426336,SOLE
"Pinterest, Inc., Class A",72352L106,7892057,253887474,SOLE
"PNC Financial Services Group, Inc.",693475105,501817,100830090,SOLE
"Prologis, Inc.",74340W103,198166,22693970,SOLE
"Public Storage, Inc.",74460D109,44610,12885599,SOLE
Quest Diagnostics Inc.,74834L100,1361612,259496015,SOLE
Realty Income Corp.,756109104,93580,5688728,SOLE
Regency Centers Corporation,758849103,140110,10214019,SOLE
RenaissanceRe Holdings Ltd,G7496G103,143145,36348810,SOLE
"Restaurant Brands International, Inc.",76131D103,3542388,227208766,SOLE
"Rexford Industrial Realty, Inc.",76169C100,395150,16244617,SOLE
RH,74967X103,2240,455078,SOLE
"Rocket Companies, Inc., Class A",77311W101,3134234,60741455,SOLE
SAP SE - ADR,803054204,46787,12501954,SOLE
"Sea Ltd., Class A, ADR",81141R100,440594,78747366,SOLE
"Simon Property Group, Inc.",828806109,76733,14400482,SOLE
Solventum Corp.,83444M101,5517611,402785603,SOLE
State Street Corp.,857477103,103785,12040098,SOLE
"Sun Communities, Inc.",866674104,43950,5669550,SOLE
"Sunstone Hotel Investors, Inc.",867892101,1311800,12291566,SOLE
"Synopsys, Inc.",871607107,8655,4270290,SOLE
"Taiwan Semiconductor Manufacturing, ADR",874039100,7200,2010888,SOLE
"Teck Resources Ltd., Class B",878742204,11023662,483828525,SOLE
Terreno Realty Corp.,88146M101,120907,6861472,SOLE
"Texas Instruments, Inc.",882508104,2317408,425777369,SOLE
"Trip.com Group Ltd., ADR",89677Q107,4941445,371596664,SOLE
Truist Financial Corp.,89832Q109,156437,7152300,SOLE
Tyson Foods Inc,902494103,9962127,540943496,SOLE
U.S. Bancorp,902973304,19431562,939127395,SOLE
"UDR, Inc.",902653104,186190,6937439,SOLE
UnitedHealth Group Inc.,91324P102,1139303,393401326,SOLE
"Vale S.A., ADR",91912E105,2931198,31832810,SOLE
"Ventas, Inc.",92276F100,117330,8211927,SOLE
Viatris Inc.,92556V106,69345645,686521885,SOLE
"VICI Properties, Inc.",925652109,221610,7226702,SOLE
Wells Fargo & Co.,949746101,7786052,652626920,SOLE
"Wesco International, Inc.",95082P105,292570,61878555,SOLE
