Company,CUSIP,Shares,Value,Discretion
AXIALL CORP,05463D100,992889,46606,SOLE
BANK OF AMERICA CORPORATION,060505104,650000,10004,SOLE
CHICAGO BRIDGE & IRON CO N V,167250109,1196848,58957,SOLE
D R HORTON INC,23331A109,1080898,30784,SOLE
DELTA AIR LINES INC DEL,247361702,4671539,210032,SOLE
EASTMAN CHEM CO,277432100,910729,63077,SOLE
GENERAL MTRS CO,37045V118,190011,5273,SOLE
GENERAL MTRS CO,37045V126,190011,3734,SOLE
GENERAL MTRS CO,37045V100,15296165,573606,SOLE
GENERAL MTRS CO,37045V100,3036500,113869,SOLE
GOODYEAR TIRE & RUBR CO,382550101,9987416,270459,SOLE
GOOGLE INC,38259P508,342437,189950,SOLE
GOOGLE INC,38259P706,407937,223549,SOLE
GOOGLE INC,38259P706,50000,27325,SOLE
HCA HOLDINGS INC,40412C101,4906582,369122,SOLE
HD SUPPLY HLDGS INC,40416M105,2842471,88557,SOLE
HUNTSMAN CORP,447011107,8082950,179199,SOLE
JETBLUE AIRWAYS CORP,477143101,4730125,91055,SOLE
KBR INC,48242W106,1700802,24628,SOLE
LENNAR CORP,526057104,609988,31603,SOLE
LORILLARD INC,544147101,843600,55129,SOLE
MASCO CORP,574599106,4310909,115101,SOLE
MICRON TECHNOLOGY INC,595112103,3553207,96399,SOLE
MOHAWK INDS INC,608190104,201807,37486,SOLE
NXP SEMICONDUCTORS N V,N6596X109,1827609,183419,SOLE
OWENS CORNING NEW,690742101,2935026,127380,SOLE
POWERSHARES QQQ TRUST,73935A104,3913100,413223,SOLE
PRICELINE COM INC,741503403,307974,358528,SOLE
REGIONS FINL CORP NEW,7591EP100,5141898,48591,SOLE
RYLAND GROUP INC,783764103,735809,35863,SOLE
SPDR S&P 500 ETF TR,78462F103,22854,4718,SOLE
SPDR S&P 500 ETF TR,78462F103,4500000,928935,SOLE
TEREX CORP NEW,880779103,1603306,42632,SOLE
TRIUMPH GROUP INC NEW,896818101,832270,49703,SOLE
U S G CORP,903293405,1892842,50539,SOLE
UNITED CONTL HLDGS INC,910047109,3968469,266880,SOLE
UNITED RENTALS INC,911363109,514046,46860,SOLE
WHIRLPOOL CORP,963320106,1132293,228791,SOLE
