Company,CUSIP,Shares,Value,Discretion,PutCall
SPDR S&P 500 ETF,78462F103,2567,1435954,SOLE,
APPLE INC,037833100,9367,2080692,DFND,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,11550,1917300,DFND,
CAPITAL ONE FC,14040H105,12274,2200728,SOLE,
MICROSOFT CORP,594918104,1987,745900,DFND,
FIVE BELOW INC,33829M101,621590,46572631,DFND,
SPDR GOLD TR,78463V107,3898,1123170,SOLE,
PROGRESSIVE CORP,743315103,529154,149755874,DFND,
CARMAX INC,143130102,1641622,127915186,DFND,
VISA INC,92826C839,393549,137923183,DFND,
NVR INC,62944T105,13490,97726821,DFND,
BERKSHIRE HATHAWAY INC DEL,084670702,503332,268064557,DFND,
STARBUCKS CORP,855244109,746686,73242430,DFND,
BANK AMERICA CORP,060505104,998001,41646582,DFND,
DISNEY WALT CO,254687106,247503,24428546,DFND,
ANALOG DEVICES INC,032654105,171340,34554138,DFND,
KEYSIGHT TECHNOLOGIES INC,49338L103,331011,49575517,DFND,
BANK OZK LITTLE ROCK ARK,06417N103,1209513,52553340,DFND,
ALPHABET INC,02079K305,255940,39578562,DFND,
BOOKING HOLDINGS INC.,09857L108,21132,97353222,DFND,
LULULEMON ATHLETICA INC,550021109,143169,40525417,DFND,
LITTELFUSE INC,537008104,80504,15838357,DFND,
FISERV INC,337738108,629633,139041855,DFND,
BROWN & BROWN,115236101,294603,36648613,DFND,
ALPHABET INC C,02079K107,755109,117970679,DFND,
FLOOR & DECOR HLDGS INC,339750101,233878,18820163,DFND,
M & T BK CORP,55261F104,367532,65696345,DFND,
BIRKENSTOCK HLDG PLC,M2029K104,27392,1255923,SOLE,
COPART INC,217204106,27484,1555320,SOLE,
COSTCO WHSL CORP NEW,22160K105,240,226987,SOLE,
DREAM FINDERS HOMES,26154D100,32202,726477,SOLE,
INTUITIVE SURGICAL INC,46120E602,405,200584,SOLE,
NOVO-NORDISK A S,670100205,12400,861056,SOLE,
OLD DOMINION FREIGHT LINE IN,679580100,5255,869440,SOLE,
SITEONE LANDSCAPE SUPPLY INC,82982L103,3753,455764,SOLE,
YUM CHINA HLDGS INC,98850P109,36036,1876034,SOLE,
META PLATFORMS INC,30303M102,315144,181636396,DFND,
HEICO CORP NEW,422806208,742011,156542061,DFND,
SCHWAB CHARLES CORP,808513105,949066,74292886,DFND,
MARKEL CORP,570535104,43402,81144813,DFND,
AMETEK INC,031100100,977434,168255489,DFND,
INSTALLED BLDG PRODS INC,45780R101,508073,87114197,DFND,
CREDIT ACCEP CORP MICH,225310101,29851,15413564,SOLE,
JPMORGAN CHASE & CO,46625H100,44483,10911680,DFND,
FERGUSON ENTERPRISES INC,31488V107,34386,5509669,SOLE,
MASTERCARD INCORPORATED,57636Q104,27043,14822809,DFND,
ALIGN TECHNOLOGY INC,016255101,45135,7170146,DFND,
ISHARES TR,464288752,10961,1043597,DFND,
MEDPACE HOLDINGS INC,58506Q109,251937,76762685,DFND,
ARISTA NETWORKS INC,040413106,466528,36146589,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,11,8782862,DFND,
KINSALE CAPITAL GROUP IN,49714P108,169967,82724639,DFND,
BLACKROCK ISHS PRM MM ETF,09290C756,12876,1293008,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,82445,10300678,SOLE,
