Company,CUSIP,Shares,Value,Discretion
AMAZON COM INC,023135106,5033556,1104311851,SOLE
APPLOVIN CORP,03831W108,315600,110485248,SOLE
APPLOVIN CORP,03831W108,1261334,441567807,SOLE
ASML HOLDING N V,N07059210,566862,454277538,SOLE
BOOKING HOLDINGS INC,09857L108,59972,347192301,SOLE
BROOKFIELD CORP,11271J107,5621385,347682662,SOLE
CAPITAL ONE FINL CORP,14040H105,3080633,655435477,SOLE
CARVANA CO,146869102,1765291,594832455,SOLE
CARVANA CO,146869102,383500,129224160,SOLE
EQT CORP,26884L109,7518227,438462999,SOLE
FLUTTER ENTMT PLC,G3643J108,1862764,532303441,SOLE
INTUIT,461202103,771666,607787292,SOLE
KKR & CO INC,48251W104,5221769,694651930,SOLE
LPL FINL HLDGS INC,50212V100,1872248,702036833,SOLE
META PLATFORMS INC,30303M102,1665017,1228932398,SOLE
MICROSOFT CORP,594918104,1854856,922623923,SOLE
PHILIP MORRIS INTL INC,718172109,2757694,502258808,SOLE
SALESFORCE INC,79466L302,1863179,508070282,SOLE
STARBUCKS CORP,855244109,5561954,509641845,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,3435920,778201521,SOLE
TALEN ENERGY CORP,87422Q109,1089380,316759023,SOLE
UNITEDHEALTH GROUP INC,91324P102,1693347,528273464,SOLE
VISTRA CORP,92840M102,6469719,1253896239,SOLE
WIX COM LTD,M98068105,2161331,342484510,SOLE
