Company,CUSIP,Shares,Value,Discretion
ADVANCE AUTO PARTS INC.,00751Y106,6316,293631,SOLE
AGCO CORP.,001084102,4755,490526,SOLE
ALIBABA GROUP HOLDING SP-ADR,01609W102,4060,460445,SOLE
ALLIANCE RESOURCE PARTNERS LP,01877R108,19477,509129,SOLE
ALPHABET INC-CL A,02079K305,321299,56622523,SOLE
ALPHABET INC-CL C,02079K107,13153,2333211,SOLE
AMERICAN EXPRESS CO,025816109,68093,21720305,SOLE
ARROW ELECTRIC,042735100,3140,400130,SOLE
ATMUS FILTRATION TECHNOLOGIES,04956D107,89586,3262722,SOLE
AUTOLIV INC.,052800109,433246,48480227,SOLE
"AUTONATION, INC.",05329W102,2532,502982,SOLE
"AUTOZONE, INC.",053332102,6051,22462704,SOLE
BANK OF AMERICA CORP COM,060505104,385707,18251655,SOLE
BANK OF NEW YORK MELLON CORP,064058100,142960,13025086,SOLE
BAXTER INTERNATIONAL INC,071813109,9770,295836,SOLE
BEAZER HOMES USA,07556Q881,13254,296492,SOLE
BERKSHIRE HATHAWAY INC,084670108,153,111506400,SOLE
BERKSHIRE HATHAWAY INC DEL CL B,084670702,101499,49305169,SOLE
BLACKSTONE MINE,09225M101,20855,272783,SOLE
BLUE OWL CAPITAL CORP,69121K104,29515,423245,SOLE
"BREAD FINANCIAL HOLDINGS, INC.",018581108,8245,470954,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,7184,332547,SOLE
CENOVUS ENERGY,15135U109,22144,300717,SOLE
CENTENE CORP,15135B101,5024,272703,SOLE
CISCO SYSTEMS INC,17275r102,57759,4007319,SOLE
CLEVELAND-CLIFFS INC,185899101,25507,193853,SOLE
CNH INDUSTRIAL NV,N20944109,13311912,172522380,SOLE
COCA COLA FEMSA,191241108,1217892,117806693,SOLE
COMCAST CORPORATION - CLASS A,20030N101,31564,1126519,SOLE
CONCENTRIX CORP,20602D101,14858,785320,SOLE
CONOCOPHILLIPS,20825C104,21304,1911821,SOLE
CONSENSUS CLOUD,20848V105,11356,261869,SOLE
CROCS INC,227046109,3771,381927,SOLE
CVS CORP.,126650100,5061,349108,SOLE
DEVON ENERGY CORP,25179M103,6907,219712,SOLE
DIAGEO P L C  - ADR,25243q205,130802,13190074,SOLE
DORIAN LPG LIMITED,Y2106R110,9419,229635,SOLE
EMBECTA CORP,29082K105,20095,194721,SOLE
EMERSON ELECTRIC CO,291011104,9689,1291834,SOLE
EMPLOYERS HOLDING INC,292218104,9434,445096,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,108435,3362569,SOLE
ENVISTA HOLDINGS CORP,29415F104,1460413,28536470,SOLE
FEDEX CORP.,31428X106,114047,25924024,SOLE
FIRST INTERSTATE BANCSYSTEM INC,32055Y201,13337,384372,SOLE
FMC CORP.,302491303,238124,9941677,SOLE
GENERAL MOTORS,37045V100,10769,529942,SOLE
GLOBE LIFE INC.,37959E102,30525,3793952,SOLE
GSK PLC ADR,37733W204,86871,3335846,SOLE
HAFNIA LTD,Y2990R101,76617,382319,SOLE
HALEON PLC ADR,405552100,76806,796478,SOLE
HCI GROUP INC,40416E103,4760,724472,SOLE
HEARTLAND EXPRESS INC.,422347104,33664,290857,SOLE
HELMERICH & PAYNE,423452101,12826,194442,SOLE
HERBALIFE LTD,G4412G101,21628,186433,SOLE
HF SINCLAIR CORP,403949100,6921,284315,SOLE
"HIGHPEAK ENERGY, INC.",43114Q105,24872,243746,SOLE
IONIS PHARMACEUTICALS INC.,462222100,2891948,114260865,SOLE
JOHNSON & JOHNSON,478160104,244713,37379911,SOLE
KENVUE INC.,49177J102,45857,959787,SOLE
KT CORP - ADR,48268K101,33645,699143,SOLE
LAMB WESTON HOLDINGS INC,513272104,6907,358128,SOLE
LIGAND PHARMACEUTICALS,53220K504,3140,356955,SOLE
MATADOR RESOURCES CO.,576485205,7545,360047,SOLE
NOBLE CORP PLC,G65431127,14443,383462,SOLE
NOVARTIS AG AMERICAN DEPOSITORY SHARES,66987v109,77269,9350322,SOLE
