Company,CUSIP,Shares,Value,Discretion,PutCall
Bajaj Finance Limited,Y0547D153,95800,819730,SOLE,
3M Co.,88579Y101,27629,4012560,SOLE,
Abbott Labs,002824100,1486036,152571316,SOLE,
AbbVie Inc.,00287Y109,11144,2423709,SOLE,
Accenture plc Class A,G1151C101,58324,11565066,SOLE,
Adobe  Inc,00724F101,33832,8223883,SOLE,
Air Products & Chemicals,009158106,7695,2235321,SOLE,
Alphabet Inc Cap Stk Cl A,02079K305,1449021,416680479,SOLE,
Amazon.com Inc.,023135106,1219422,253969020,SOLE,
Amdocs Limited,G02602103,17820,1162933,SOLE,
Amphenol Corp,032095101,225363,28474615,SOLE,
AON plc Registered Shs,G0403H108,25569,8253162,SOLE,
"Apple, Inc.",037833100,1595941,405033866,SOLE,
"Automatic Data Processing, Inc",053015103,104897,21312972,SOLE,
Becton Dickinson & Co.,075887109,2140,336472,SOLE,
Best Buy Co. Inc.,086516101,24735,1587987,SOLE,
Booz Allen Hamilton Holding Co,099502106,13850,1080716,SOLE,
"Broadcom, Inc.",11135F101,445649,137932822,SOLE,
Broadridge Financial Solutions,11133T103,855784,139047784,SOLE,
"Cadence Design Systems, Inc.",127387108,505861,140563596,SOLE,
Campbell Soup Company,134429109,31418,699679,SOLE,
Church & Dwight Co Inc,171340102,34550,3224206,SOLE,
Clorox Company,189054109,46165,4784079,SOLE,
Coca-Cola Co,191216100,111651,8491059,SOLE,
Cognizant Technology Solutions,192446102,106417,6528683,SOLE,
Colgate-Palmolive Co,194162103,118640,10111687,SOLE,
Copart Inc.,217204106,1603423,53233644,SOLE,
Crown Holdings Inc.,228368106,56903,5704526,SOLE,
Donaldson Co. Inc.,257651109,23230,1971530,SOLE,
Ecolab Inc,278865100,58860,15657937,SOLE,
Eli Lilly & Co.,532457108,230671,212164266,SOLE,
Emerson Elec Co,291011104,74490,9759680,SOLE,
Encompass Health Corp,29261A100,50660,4900342,SOLE,
Equifax Inc,294429105,783100,141012817,SOLE,
F5 Networks Inc.,315616102,13320,3853876,SOLE,
Fair Isaac Corporation,303250104,1250,1334425,SOLE,
Ferrari N.V.,N3167Y103,2682,907723,SOLE,
General Mills Inc.,370334104,17845,664191,SOLE,
Genpact Limited,G3922B107,92985,3463691,SOLE,
Gentex Corporation,371901109,133540,2917849,SOLE,
Genuine Parts Company,372460105,2674,282776,SOLE,
Home Depot Inc.,437076102,1462,480837,SOLE,
IDEXX Laboratories Inc.,45168D104,3570,2005947,SOLE,
Intuit Inc.,461202103,103535,44766463,SOLE,
Johnson & Johnson,478160104,9767,2387445,SOLE,
"Keysight Technologies, Inc.",49338L103,16962,4789560,SOLE,
KLA Corporation,482480100,165632,243878213,SOLE,
Kroger Company,501044101,66270,4795297,SOLE,
"Labcorp Holdings, Inc.",504922105,18480,4930649,SOLE,
Levi Strauss & Co,52736R102,139440,2578246,SOLE,
Linde plc,G54950103,1290,639530,SOLE,
"Manhattan Associates, Inc.",562750109,4420,588390,SOLE,
"Marsh, Inc.",571748102,1151204,199676334,SOLE,
Mastercard Inc,57636Q104,490929,245297584,SOLE,
McDonald's Corp.,580135101,276262,85859467,SOLE,
"Meta Platforms, Inc. Class A",30303M102,341147,195180433,SOLE,
Microsoft Corp,594918104,1171009,433472402,SOLE,
Motorola Solutions Inc.,620076307,169491,73554009,SOLE,
"MSCI, Inc.",55354G100,7750,4177328,SOLE,
Nike Inc,654106103,74924,3957486,SOLE,
Nordson Corporation,655663102,6990,1859759,SOLE,
NVIDIA Corp,67066G104,1632015,284623416,SOLE,
Omnicom Group Inc,681919106,22054,1660887,SOLE,
Oracle Corp,68389X105,120790,17769417,SOLE,
PepsiCo Inc.,713448108,81335,12630512,SOLE,
Procter & Gamble Co,742718109,997406,144065323,SOLE,
Raytheon Technologies Corp,75513E101,17607,3396390,SOLE,
Ross Stores Inc,778296103,22024,4771059,SOLE,
Sherwin-Williams Co,824348106,626286,200755977,SOLE,
Stryker Corp,863667101,696367,228819233,SOLE,
T Rowe Price Group Inc,74144T108,31950,2879973,SOLE,
Texas Instruments Inc,882508104,1399,271602,SOLE,
TJX Companies Inc,872540109,23160,3698652,SOLE,
Toro Company,891092108,23313,2178367,SOLE,
Tractor Supply Co,892356106,97780,4429434,SOLE,
"United Rentals, Inc.",911363109,2171,1581704,SOLE,
Unitedhealth Group Inc,91324P102,1491,403450,SOLE,
Veeva Systems Inc. Class A,922475108,566467,99505593,SOLE,
Verisk Analytics Inc,92345Y106,481494,91363487,SOLE,
W.W. Grainger Inc.,384802104,3140,3425143,SOLE,
Waste Management,94106L109,651328,149668661,SOLE,
Waters Corp,941848103,38766,11544515,SOLE,
Jensen Quality Growth ETF,89834G562,574732,13974494,SOLE,
Taiwan Semiconductor Manuf,874039100,16427,5551505,SOLE,
