Company,CUSIP,Shares,Value,Discretion
WEATHERFORD INTL PLC,G48833118,229988,17998861,SOLE
APTIV PLC,G3265R107,275971,20998633,SOLE
OSHKOSH CORP,688239201,154600,19422398,SOLE
ASHLAND INC,044186104,212977,12495361,SOLE
NOMAD FOODS LTD,G6564A105,538772,6740038,SOLE
AXALTA COATING SYS LTD,G0750C108,1024000,33085440,SOLE
AMERICAN AXLE & MFG HLDGS IN,024061103,1883000,12070030,SOLE
FLOWSERVE CORP,34354P105,314000,21785320,SOLE
KIRBY CORP,497266106,223000,24570140,SOLE
ABM INDS INC,000957100,200000,8460000,SOLE
