Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HOLDING SP-ADR,01609W102,13675,984600,SOLE
ALPHABET INC-CL A,02079K305,1944587,354206522,SOLE
ALPHABET INC-CL C,02079K107,147973,27141208,SOLE
AMERICAN EXPRESS CO,025816109,104088,24101576,SOLE
ATMUS FILTRATION TECHNOLOGIES,04956D107,132195,3804572,SOLE
AUTOLIV INC.,052800109,471959,50494893,SOLE
"AUTOZONE, INC.",053332102,12126,35942677,SOLE
BAIDU INC. - SPON ADR,056752108,17454,1509422,SOLE
BANK OF AMERICA CORP COM,060505104,514666,20468267,SOLE
BANK OF NEW YORK MELLON CORP,064058100,280651,16808188,SOLE
BAXTER INTERNATIONAL INC,071813109,9861,329850,SOLE
BERKSHIRE HATHAWAY INC,084670108,652,399181132,SOLE
BERKSHIRE HATHAWAY INC DEL CL B,084670702,149883,60972404,SOLE
CISCO SYSTEMS INC,17275r102,230860,10968159,SOLE
CNH INDUSTRIALS,N20944109,15362043,155617496,SOLE
COCA COLA FEMSA,191241108,1389727,119294166,SOLE
COMCAST CORPORATION - CLASS A,20030N101,37641,1474022,SOLE
CONCENTRIX CORP,20602D101,166323,10524919,SOLE
CONOCOPHILLIPS,20825C104,27038,3092606,SOLE
DIAGEO P L C  - ADR,25243q205,141304,17815608,SOLE
EMERSON ELECTRIC CO,291011104,11954,1316853,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,136295,3949829,SOLE
ENVISTA HOLDINGS CORP,29415F104,1902167,31633037,SOLE
FEDEX CORP.,31428X106,160957,48261347,SOLE
FMC CORP.,302491303,3159056,181803673,SOLE
GSK PLC ADR,37733W204,109855,4229418,SOLE
HALEON PLC ADR,405552100,95609,789730,SOLE
IONIS PHARMACEUTICALS INC.,462222100,3454676,164649858,SOLE
JOHNSON & JOHNSON,478160104,1130462,165228326,SOLE
KENVUE INC.,49177J102,390743,7103708,SOLE
NATIONAL WESTERN LIFE GROUP,638517102,43677,21704848,SOLE
NOVARTIS AG AMERICAN DEPOSITORY SHARES,66987v109,87606,9326535,SOLE
PHILLIPS 66,718546104,30228,4267287,SOLE
PROGRESSIVE CORP,743315103,22330,4638164,SOLE
SEALED AIR CORPORATION,81211K100,893380,31080690,SOLE
TOTALENERGIES SE ADR,89151E109,148887,9927785,SOLE
TRUIST FINANCIAL CORP,89832Q109,779724,30292277,SOLE
U-HAUL HOLDING CO - NON VOTING,023586506,601930,36127839,SOLE
UNILEVER PLC SPONSORED ADR,904767704,97693,5372138,SOLE
UNION PACIFIC CORP,907818108,43369,9812670,SOLE
US BANCORP,902973304,253807,10076138,SOLE
VERIZON COMMUNICATIONS,92343V104,28814,1188289,SOLE
VERTEX PHARMACEUTICALS,92532F100,54346,25473057,SOLE
WELLS FARGO & CO,949746101,870944,51725364,SOLE
