Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,3790,923054,SOLE,
ALPHABET INC,02079K305,21858,5313680,SOLE,
AMAZON COM INC,023135106,1400,307398,SOLE,
ANTERO MIDSTREAM CORP,03676B102,1865330,36262015,SOLE,
AUTONATION INC,05329W102,1214043,265596187,SOLE,
BANK AMERICA CORP,060505104,26532,1368786,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,1805381,218902446,SOLE,
CAPITAL ONE FINL CORP,14040H105,964730,205082303,SOLE,
COMCAST CORP NEW,20030N101,31094,976973,SOLE,
D R HORTON INC,23331A109,708681,120100169,SOLE,
ELEVANCE HEALTH INC FORMERLY,036752103,1834002,592602726,SOLE,
F&G ANNUITIES & LIFE INC,30190A104,5218977,163197411,SOLE,
FIDELITY NATIONAL FINANCIAL,31620R303,3489314,211068604,SOLE,
HCA HEALTHCARE INC,40412C101,3923,1671983,SOLE,
ICON PLC,G4705A100,3000,525000,SOLE,
JPMORGAN CHASE & CO.,46625H100,5643,1779971,SOLE,
KINETIK HOLDINGS INC,02215L209,1608928,68765583,SOLE,
LENNAR CORP,526057104,2005506,252773976,SOLE,
MARRIOTT INTL INC NEW,571903202,1194,310965,SOLE,
MASTERCARD INCORPORATED,57636Q104,422,240038,SOLE,
META PLATFORMS INC,30303M102,338,248220,SOLE,
MICROSOFT CORP,594918104,525,271924,SOLE,
MILLROSE PPTYS INC,601137102,5375592,180673647,SOLE,
MOODYS CORP,615369105,471,224422,SOLE,
MPLX LP,55336V100,4467474,223150326,SOLE,
ONEMAIN HLDGS INC,68268W103,7794270,440064484,SOLE,
PRIMERICA INC,74164M108,752989,209022217,SOLE,
PROGRESSIVE CORP,743315103,1746,431175,SOLE,
RYANAIR HOLDINGS PLC,783513203,4084246,245953294,SOLE,
SLM CORP,78442P106,11659418,322732690,SOLE,
TD SYNNEX CORPORATION,87162W100,3275293,536329229,SOLE,
US BANCORP DEL,902973304,15000,724950,SOLE,
VISA INC,92826C839,618,210973,SOLE,
