Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HOLDING SP-ADR,01609W102,4645,393850,SOLE,
ALPHABET INC-CL A,02079K305,736815,139479080,SOLE,
ALPHABET INC-CL C,02079K107,14665,2792803,SOLE,
AMERICAN EXPRESS CO,025816109,89548,26576951,SOLE,
ATMUS FILTRATION TECHNOLOGIES,04956D107,131732,5161260,SOLE,
AUTOLIV INC.,052800109,444159,41657673,SOLE,
"AUTOZONE, INC.",053332102,7696,24642592,SOLE,
BANK OF AMERICA CORP COM,060505104,429853,18892039,SOLE,
BANK OF NEW YORK MELLON CORP,064058100,156883,12053321,SOLE,
BAXTER INTERNATIONAL INC,071813109,9861,287547,SOLE,
BERKSHIRE HATHAWAY INC,084670108,285,194062200,SOLE,
BERKSHIRE HATHAWAY INC DEL CL B,084670702,100415,45516111,SOLE,
CISCO SYSTEMS INC,17275r102,59943,3548626,SOLE,
CNH INDUSTRIAL NV,N20944109,14634939,165813859,SOLE,
COCA COLA FEMSA,191241108,1329940,103589027,SOLE,
COMCAST CORPORATION - CLASS A,20030N101,34578,1297712,SOLE,
CONCENTRIX CORP,20602D101,28207,1220517,SOLE,
CONOCOPHILLIPS,20825C104,24007,2380774,SOLE,
DIAGEO P L C  - ADR,25243q205,138420,17597335,SOLE,
EMERSON ELECTRIC CO,291011104,10608,1314649,SOLE,
ENTERPRISE PRODUCTS PARTNERS,293792107,136295,4274211,SOLE,
ENVISTA HOLDINGS CORP,29415F104,1528831,29491150,SOLE,
FEDEX CORP.,31428X106,118859,33438602,SOLE,
FMC CORP.,302491303,2862055,139124494,SOLE,
GLOBE LIFE INC.,37959E102,33234,3706256,SOLE,
GSK PLC ADR,37733W204,93816,3172857,SOLE,
HALEON PLC ADR,405552100,85509,815756,SOLE,
IONIS PHARMACEUTICALS INC.,462222100,3248863,113580250,SOLE,
JOHNSON & JOHNSON,478160104,1080471,156257716,SOLE,
KENVUE INC.,49177J102,356796,7617595,SOLE,
NOVARTIS AG AMERICAN DEPOSITORY SHARES,66987v109,83141,8090451,SOLE,
PHILLIPS 66,718546104,13471,1534751,SOLE,
PROGRESSIVE CORP,743315103,14586,3494951,SOLE,
SEALED AIR CORPORATION,81211K100,564481,19096392,SOLE,
TOTALENERGIES SE ADR,89151E109,142229,7751480,SOLE,
TRUIST FINANCIAL CORP,89832Q109,636823,27625382,SOLE,
U-HAUL HOLDING CO - NON VOTING,023586506,489431,31348056,SOLE,
UNILEVER PLC SPONSORED ADR,904767704,68803,3901130,SOLE,
UNION PACIFIC CORP,907818108,21965,5008899,SOLE,
US BANCORP,902973304,231179,11057292,SOLE,
VERIZON COMMUNICATIONS,92343V104,24034,961120,SOLE,
VERTEX PHARMACEUTICALS,92532F100,40631,16362104,SOLE,
WELLS FARGO & CO,949746101,677364,47578047,SOLE,
