Company,CUSIP,Shares,Value,Discretion
ALLY FINL INC,02005N100,2160534,87696075,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,349,221419560,SOLE
ISHARES TR,46436E718,25100,2527821,SOLE
SMITH & WESSON BRANDS INC,831754106,840038,14583060,SOLE
WINNEBAGO INDS INC,974637100,996573,73746402,SOLE
