Company,CUSIP,Shares,Value,Discretion
ATS CORP,00217Y104,2486400,73870688,DFND
AUTOHOME INC,05278C107,54000,1399140,DFND
BANK OF NOVA SCOTIA,064149107,359100,19271765,DFND
BERKSHIRE HATHAWAY INC,084670108,1,679871,DFND
BLACKBERRY LTD,09228F103,46724700,176619366,DFND
CAPRI HOLDINGS LTD,G1890L107,78100,1644005,DFND
CLEVELAND-CLIFFS INC,185899101,5899273,55453166,DFND
COLLIERS INTL GROUP INC,194693107,25000,3299263,DFND
CVS HEALTH CORP,126650100,2712000,121741680,DFND
FRANCO-NEVADA CORP,351858105,16800,1950772,DFND
GARRETT MOTION INC,366505105,304360,2745327,DFND
GENERAL MTRS CO,37045V100,375965,20027656,DFND
GENTEX CORP,371901109,85000,2442050,DFND
HELMERICH & PAYNE INC,423452101,774105,24786842,DFND
JOHNSON & JOHNSON,478160104,73400,10615842,DFND
KENNEDY-WILSON HOLDINGS INC,489398107,13322009,133220090,DFND
KKR & CO INC,48251W104,23500,3479175,DFND
KRAFT HEINZ CO,500754106,3314000,101772940,DFND
MAGNACHIP SEMICONDUCTOR CORP,55933J203,125000,501250,DFND
MERCK & CO INC,58933Y105,172900,17201821,DFND
MGM RESORTS INTERNATIONAL,552953101,29500,1021880,DFND
MICRON TECHNOLOGY INC,595112103,80000,6732800,DFND
MOLSON COORS BEVERAGE CO,60871R209,1186500,68010180,DFND
OCCIDENTAL PETROLEUM CORP,674599105,6020418,297468853,DFND
ORLA MINING LTD,68634K106,56817229,310910577,DFND
PFIZER INC,717081103,650900,17274886,DFND
REVANCE THERAPEUTICS INC,761330109,21158,64109,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,141700,27997086,DFND
TFI INTL INC,87241L109,13300,1787575,DFND
UNDER ARMOUR INC,904311107,6311800,52261704,DFND
XERIS BIOPHARMA HOLDINGS INC,98422E103,139687,472142,DFND
