Company,CUSIP,Shares,Value,Discretion,PutCall
IRSA INVERSIONES Y REP S A,450047303,102911,1702148,SOLE,
ISHARES TR,46436E718,4972,499089,SOLE,
ISHARES TR,464287200,13669,9362445,SOLE,
ISHARES TR,464287572,2743,347418,SOLE,
ISHARES TR,464288257,610133,86327787,SOLE,
ISHARES TR,464288240,126761,8509462,SOLE,
ISHARES TR,464287614,776086,367321352,SOLE,
IVANHOE ELECTRIC INC,46578C108,157882,2522954,SOLE,
JFROG LTD,M6191J100,9884,617355,SOLE,
JOBY AVIATION INC,G65163100,250067,3300884,SOLE,
KARMAN HLDGS INC,485924104,6455,472312,SOLE,
KAROOOOO LTD,Y4600W108,74821,3404356,SOLE,
KODIAK SCIENCES INC,50015M109,41340,1155866,SOLE,
KRATOS DEFENSE & SEC SOLUTIO,50077B207,19697,1495199,SOLE,
KURA ONCOLOGY INC,50127T109,90847,943900,SOLE,
LATHAM GROUP INC,51819L107,112388,713664,SOLE,
LIFE TIME GROUP HOLDINGS INC,53190C102,9609,255407,SOLE,
LIMBACH HLDGS INC,53263P105,5892,458692,SOLE,
LIQUIDIA CORPORATION,53635D202,33538,1156726,SOLE,
LUXEXPERIENCE BV,55406W103,50258,419654,SOLE,
LYFT INC,55087P104,18239,353289,SOLE,
MAKEMYTRIP LIMITED MAURITIUS,V5633W109,53658,4406429,SOLE,
MAMAS CREATIONS INC,56146T103,32989,445022,SOLE,
MASTERCARD INCORPORATED,57636Q104,2131727,1216959930,SOLE,
MEDPACE HLDGS INC,58506Q109,696,390908,SOLE,
MEDTRONIC PLC,G5960L103,84500,8117020,SOLE,
MERCADOLIBRE INC,58733R102,47920,96523261,SOLE,
MESOBLAST LTD,590717401,23005,415010,SOLE,
MICROSOFT CORP,594918104,3909985,1890947237,SOLE,
MILLICOM INTL CELLULAR S A,L6388F110,17685,980456,SOLE,
MIRION TECHNOLOGIES INC,60471A101,79419,1859993,SOLE,
MIRUM PHARMACEUTICALS INC,604749101,13360,1055306,SOLE,
MODINE MFG CO,607828100,14309,1910395,SOLE,
MONDAY COM LTD,M7S64H106,79332,11706290,SOLE,
MSCI INC,55354G100,1331085,763683617,SOLE,
MUELLER INDS INC,624756102,2720,312256,SOLE,
NAPCO SEC TECHNOLOGIES INC,630402105,12567,524044,SOLE,
NATERA INC,632307104,1376,315228,SOLE,
NETFLIX INC,64110L106,173797,16295175,SOLE,
NEWAMSTERDAM PHARMA COMPANY,N62509109,11239,394264,SOLE,
NEWMARK GROUP INC,65158N102,23619,409553,SOLE,
NLIGHT INC,65487K100,61624,2311516,SOLE,
NRG ENERGY INC,629377508,3033,482975,SOLE,
NU HLDGS LTD,G6683N103,1157836,19382182,SOLE,
NUSCALE PWR CORP,67079K100,64615,915595,SOLE,
NUVALENT INC,670703107,6359,639652,SOLE,
NVIDIA CORPORATION,67066G104,5328112,993692985,SOLE,
ODDITY TECH LTD,M7518J104,16175,649912,SOLE,
OLEMA PHARMACEUTICALS INC,68062P106,15206,380150,SOLE,
ON HLDG AG,H5919C104,194483,9039553,SOLE,
OPENLANE INC,48238T109,46259,1377593,SOLE,
OPPENHEIMER HLDGS INC,683797104,16343,1181435,SOLE,
OPPFI INC,68386H103,40472,423337,SOLE,
ORACLE CORP,68389X105,7185496,1400525092,SOLE,
OSCAR HEALTH INC,687793109,13755,197659,SOLE,
PACIFIC BIOSCIENCES CALIF IN,69404D108,137149,256469,SOLE,
PAGAYA TECHNOLOGIES LTD,M7S64L123,63497,1327087,SOLE,
PAYCOM SOFTWARE INC,70432V102,1835028,292430057,SOLE,
PAYPAL HLDGS INC,70450Y103,3487,203599,SOLE,
PDD HOLDINGS INC,722304102,31329,3552395,SOLE,
PELOTON INTERACTIVE INC,70614W100,36795,226657,SOLE,
PERSONALIS INC,71535D106,50705,403612,SOLE,
PITNEY BOWES INC,724479100,60710,641705,SOLE,
PLANET LABS PBC,72703X106,111538,2199529,SOLE,
PORCH GROUP INC,733245104,53683,490126,SOLE,
POWELL INDS INC,739128106,20341,6484304,SOLE,
PRECIGEN INC,74017N105,42095,175957,SOLE,
PREFORMED LINE PRODS CO,740444104,5660,1169979,SOLE,
PROTAGONIST THERAPEUTICS INC,74366E102,20349,1777282,SOLE,
PROTO LABS INC,743713109,4148,209847,SOLE,
RAMACO RES INC,75134P600,88507,1593126,SOLE,
RED VIOLET INC,75704L104,30328,1727180,SOLE,
RESOLUTE HLDGS MGMT INC,76134H101,20915,4317483,SOLE,
RICHTECH ROBOTICS INC,765504105,64298,207683,SOLE,
ROCKET LAB CORP,773121108,15324,1069002,SOLE,
ROIVANT SCIENCES LTD,G76279101,9662,209665,SOLE,
SALESFORCE INC,79466L302,2581,683775,SOLE,
SANDISK CORP,80004C200,1860,441527,SOLE,
SAP SE,803054204,233332,56678735,SOLE,
SCHOLAR ROCK HLDG CORP,80706P103,21762,958616,SOLE,
SEA LTD,81141R100,42710,5448541,SOLE,
SERVE ROBOTICS INC,81758H106,21833,226627,SOLE,
SERVICENOW INC,81762P102,5680788,870239781,SOLE,
SERVICETITAN INC,81764X103,2975,316838,SOLE,
SES AI CORPORATION,78397Q109,338156,608681,SOLE,
SHOPIFY INC,82509L107,7201872,1159285211,SOLE,
SIONNA THERAPEUTICS INC,829401108,31258,1285954,SOLE,
SKYWEST INC,830879102,4380,439796,SOLE,
SOFI TECHNOLOGIES INC,83406F102,117450,3074841,SOLE,
SOFI TECHNOLOGIES INC,83406F102,41800,1094324,SOLE,Put
SOLARIS ENERGY INFRAS INC,83418M103,28597,1314604,SOLE,
SOPHIA GENETICS SA,H82027105,21738,101516,SOLE,
SPDR S&P 500 ETF TR,78462F103,6717,4580746,SOLE,
SPHERE ENTERTAINMENT CO,55826T102,23828,2265566,SOLE,
SPOTIFY TECHNOLOGY S A,L8681T102,71658,41612380,SOLE,
STARBUCKS CORP,855244109,6785308,571390749,SOLE,
STERLING INFRASTRUCTURE INC,859241101,1952,597761,SOLE,
STRATASYS LTD,M85548101,32493,282039,SOLE,
SYMBOTIC INC,87151X101,4298,255731,SOLE,
SYNOPSYS INC,871607107,844881,396857503,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,200593,60958295,SOLE,
TALEN ENERGY CORP,87422Q109,1349,505659,SOLE,
TAYSHA GENE THERAPIES INC,877619106,156586,861223,SOLE,
TECHNIPFMC PLC,G87110105,35915,1600372,SOLE,
TEMPUS AI INC,88023B103,3756,221792,SOLE,
TENCENT MUSIC ENTMT GROUP,88034P109,412467,7230547,SOLE,
TESLA INC,88160R101,8171,3674662,SOLE,
THE REALREAL INC,88339P101,175088,2762889,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,2307,1336900,SOLE,
THREDUP INC,88556E102,145615,930480,SOLE,
TRANSMEDICS GROUP INC,89377M109,10828,1317226,SOLE,
TWILIO INC,90138F102,3056,434685,SOLE,
UBER TECHNOLOGIES INC,90353T100,3565793,291360965,SOLE,
UL SOLUTIONS INC,903731107,3420,269701,SOLE,
UNITEDHEALTH GROUP INC,91324P102,1197,395225,SOLE,
UNITY SOFTWARE INC,91332U101,5449,240682,SOLE,
UPWORK INC,91688F104,43111,854460,SOLE,
VANGUARD INDEX FDS,922908736,33124,16159762,SOLE,
VANGUARD INDEX FDS,922908769,5677,1903328,SOLE,
VANGUARD INTL EQUITY INDEX F,922042742,33592,4738429,SOLE,
VELO3D INC,92259N302,39896,548171,SOLE,
VICTORY CAP HLDGS INC,92645B103,11145,703138,SOLE,
VISA INC,92826C839,3375342,1183766189,SOLE,
VSE CORP,918284100,34390,5941560,SOLE,
WAYFAIR INC,94419L101,26857,2696711,SOLE,
WESTERN ALLIANCE BANCORP,957638109,3797,319214,SOLE,
WILLIS TOWERS WATSON PLC LTD,G96629103,27425,9011880,SOLE,
WINMARK CORP,974250102,859,347843,SOLE,
WORKDAY INC,98138H101,10782,2315815,SOLE,
XERIS BIOPHARMA HOLDINGS INC,98422E103,133416,1047316,SOLE,
XOMETRY INC,98423F109,22321,1327430,SOLE,
ZOETIS INC,98978V103,5562669,699894961,SOLE,
