Company,CUSIP,Shares,Value,Discretion
AIRBNB INC,009066101,935876,141906878,SOLE
AMERICAN TOWER CORP NEW,03027X100,6134307,1192386595,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,15895,6466086,SOLE
BROOKFIELD CORP,11271J107,18465882,767072738,SOLE
CCC INTELLIGENT SOLUTIONS HL,12510Q100,7815722,86832671,SOLE
CARMAX INC,143130102,2145509,157351630,SOLE
COSTAR GROUP INC,22160N109,8770423,650239161,SOLE
DANAHER CORPORATION,235851102,1775400,443583690,SOLE
DIGITALBRIDGE GROUP INC,25401T603,3643094,49910391,SOLE
GOOSEHEAD INS INC,38267D109,366125,21030220,SOLE
KKR & CO L P DEL,48251w104,13689816,1440716189,SOLE
MASTERCARD INCORPORATED,57636Q104,4039349,1781999205,SOLE
MOODYS CORP,615369105,4221104,1776789307,SOLE
OREILLY AUTOMOTIVE INC,67103H107,956079,1009676789,SOLE
ROPER TECHNOLOGIES INC,776696106,1543679,870110105,SOLE
SBA COMMUNICATIONS CORP NEW,78410G104,500000,98150000,SOLE
SOPHIA GENETICS SA,H82027105,1920432,8795579,SOLE
VERISK ANALYTICS INC,92345Y106,16069,4331399,SOLE
VISA INC,92826C839,3271740,858733598,SOLE
