Company,CUSIP,Shares,Value,Discretion,PutCall
Abbott Labs,002824100,11510,1044417,SOLE,
AbbVie Inc,00287Y109,12410,3122852,SOLE,
Alphabet Inc Cl A,02079K305,11114,3971810,SOLE,
Alphabet Inc Cl C,02079K107,3048077,1076977046,SOLE,
Altria Group Inc,02209S103,148603,10692017,SOLE,
Amazon.com Inc,023135106,936,223086,SOLE,
American Express,025816109,5125,1733531,SOLE,
Apple Inc,037833100,4601,1331345,SOLE,
Berkshire Hathaway Inc Cl A,084670108,1432,1072353200,SOLE,
Berkshire Hathaway Inc Cl B,084670702,1079364,540102952,SOLE,
Brown-Forman Corp Cl A,115637100,1597815,43716215,SOLE,
Brown-Forman Corp Cl B,115637209,639282,17036864,SOLE,
Caterpillar Inc,149123101,265,282199,SOLE,
Chevron Corp,166764100,2470,409427,SOLE,
Coca-Cola,191216100,12350,1003685,SOLE,
Comcast Corp New Cl A,20030N101,2193660,53854350,SOLE,
Costco Whsl Corp,22160K105,3399,3179709,SOLE,
Crane Company,224408104,43937,9801027,SOLE,
Disney Walt Productions,254687106,2492,239858,SOLE,
Doordash Inc Cl A,25809K105,1186104,218871771,SOLE,
Dover Corp,260003108,18851,4227902,SOLE,
Exxon Mobil Corp,30233Q108,181200,24773668,SOLE,
FB Bancorp Inc,31425A109,50000,753000,SOLE,
Fulton Finl Corp,360271100,44250,1070408,SOLE,
Herc Holdings Inc,42704l104,6450,924543,SOLE,
Hormel Foods Corp,440452100,18500,459170,SOLE,
J.P. Morgan Chase,46625H100,24719,8091270,SOLE,
JBT Marel Corp,477839104,7250,1051250,SOLE,
Johnson & Johnson,478160104,1112,282415,SOLE,
Lamar Advertising Co-A,512816109,5368,837301,SOLE,
Levi Strauss & Co Cl A,52736r102,83725,2078892,SOLE,
Markel Corp,570535104,4265,8329588,SOLE,
Martin Marietta Materials,573284106,705367,406784959,SOLE,
Mastercard Inc Cl A,57636Q104,1522395,781901965,SOLE,
McCormick Inc,579780206,37981,1915002,SOLE,
McDonalds Corp,580135101,947,255984,SOLE,
Merck Inc,58933Y105,1642,211006,SOLE,
Microsoft Corp,594918104,3584,1336904,SOLE,
Nestle SA Sponsored ADR,641069406,5314898,545786866,SOLE,
Netflix Inc,64110L106,5710088,407700283,SOLE,
Oracle Corp,68389X105,2715,397883,SOLE,
Outfront Media Inc,69007J304,13588,445143,SOLE,
Pepsico Inc,713448108,9115,1234218,SOLE,
Philip Morris International In,718172109,4530846,819675318,SOLE,
Procter & Gamble,742718109,6554,961079,SOLE,
Sunbelt Rentals Holdings Inc,866966104,5897825,441216288,SOLE,
Uber Technologies Inc,90353T100,5084015,366862522,SOLE,
Union Pac Corp,907818108,25841,7028631,SOLE,
Unum Group,91529Y106,3485,311559,SOLE,
Visa Inc Cl A,92826C839,87256,29936661,SOLE,
Vulcan Materials,929160109,7263,2142658,SOLE,
Wal Mart Stores Inc,931142103,8465,958746,SOLE,
Warby Parker Inc Cl A,93403j106,80000,2427200,SOLE,
Wells Fargo,949746101,7451,615762,SOLE,
Yeti Holdings Inc,98585x104,24000,1189440,SOLE,
ALK Abello A/S,k03294137,53000,1979596,SOLE,
Anheuser-Busch InBev SA,B639CJ108,171294,14229766,SOLE,
Carlsberg B A/S,K36628137,10135,1328184,SOLE,
Cofide SPA,T19404101,251250,199642,SOLE,
Compagnie Financiere Richemont,H25662182,3345346,773661807,SOLE,
Davide Campari-Milano NV,N24565108,195048,1214895,SOLE,
De'Longhi,t3508h102,42700,1813134,SOLE,
Demant A/S,k3008m105,41000,1681890,SOLE,
Electrolux Professional,w2457w116,230000,1006442,SOLE,
Eurofins Scientific,L31839134,4094034,320909414,SOLE,
Fielmann,d2617n114,33000,1614797,SOLE,
Fluidra,e52619108,70000,1584614,SOLE,
H&M,w41422101,64000,1102359,SOLE,
Hanjaya Mandala Sampoerna,Y7121Z146,5000000,187360,SOLE,
Heineken Holding NV,N39338194,8905683,679639647,SOLE,
Heineken NV,N39427211,15131,1273226,SOLE,
Kalmar Oyj B,x4s8se108,27500,1207954,SOLE,
Konecranes,x4550j108,52500,1613425,SOLE,
Lindt & Spruengli AG - Reg,H49983176,15,1785161,SOLE,
Loreal SA,F58149133,3705,1625113,SOLE,
Lotus Bakeries,b5783h102,115,1527792,SOLE,
LT Group Inc,Y5342M100,1775000,431530,SOLE,
Nestle SA-REG,H57312649,11130,1146322,SOLE,
Pernod Ricard,F72027109,2351360,171675469,SOLE,
Puig Brands,e8s64t107,68000,1254017,SOLE,
Rational AG,d6349p107,2200,1611024,SOLE,
SSP Group,g8402n125,700000,1743874,SOLE,
Sunbelt Rentals Holdings ORD,crest6610,18178,1326006,SOLE,
Zalando SE,d98423102,28000,812155,SOLE,
Total Return Securities Fund,870875101,97667,580140,SOLE,
