Company,CUSIP,Shares,Value,Discretion,PutCall
3M Co.,88579Y101,27800,4232272,SOLE,
Abbott Labs,002824100,2378563,323508354,SOLE,
AbbVie Inc.,00287Y109,22227,4125776,SOLE,
Accenture plc Class A,G1151C101,1327010,396630019,SOLE,
"Adobe Systems,  Inc.",00724F101,43992,17019625,SOLE,
Air Products & Chemicals,009158106,12640,3565238,SOLE,
Alphabet Inc Cap Stk Cl A,02079K305,2375178,418577619,SOLE,
Amphenol Corp,032095101,2612009,257935889,SOLE,
AON plc Registered Shs,G0403H108,9800,3496248,SOLE,
"Apple, Inc.",037833100,2317269,475434081,SOLE,
"Automatic Data Processing, Inc",053015103,940786,290138402,SOLE,
Becton Dickinson & Co.,075887109,12502,2153470,SOLE,
Best Buy Co. Inc.,086516101,41675,2797643,SOLE,
Booz Allen Hamilton Holding Co,099502106,36880,3840314,SOLE,
Bristol Myers Squibb Co.,110122108,26375,1220899,SOLE,
Broadridge Financial Solutions,11133T103,1297083,315230081,SOLE,
"Cadence Design Systems, Inc.",127387108,823396,253729477,SOLE,
Campbell Soup Company,134429109,133568,4093859,SOLE,
Church & Dwight Co Inc,171340102,36150,3474377,SOLE,
Clorox Company,189054109,70965,8520768,SOLE,
Coca-Cola Company,191216100,124478,8806819,SOLE,
Cognizant Technology Solutions,192446102,123726,9654340,SOLE,
Colgate Palmolive Co,194162103,97699,8880839,SOLE,
Copart Inc.,217204106,5315861,260849299,SOLE,
Crown Holdings Inc.,228368106,65368,6731597,SOLE,
Donaldson Co. Inc.,257651109,66810,4633274,SOLE,
Ecolab Inc,278865100,67986,18318148,SOLE,
Eli Lilly & Co.,532457108,206612,161060252,SOLE,
Emerson Elec Co,291011104,92600,12346358,SOLE,
Encompass Health Corp,29261A100,57560,7058583,SOLE,
Equifax Inc,294429105,1026607,266271058,SOLE,
F5 Networks Inc.,315616102,14990,4411857,SOLE,
FactSet Research Systems Inc.,303075105,10400,4651712,SOLE,
General Mills Inc.,370334104,125215,6487389,SOLE,
Genpact Limited,G3922B107,148195,6522062,SOLE,
Gentex Corporation,371901109,161540,3552265,SOLE,
Genuine Parts Company,372460105,26604,3227331,SOLE,
Hologic Inc.,436440101,58230,3794267,SOLE,
Home Depot Inc.,437076102,160587,58877618,SOLE,
Idexx Laboratories Inc.,45168D104,10410,5583299,SOLE,
Intuit Inc.,461202103,628445,494982135,SOLE,
Johnson & Johnson,478160104,416198,63574245,SOLE,
Kellanova,487836108,11432,909187,SOLE,
"Keysight Technologies, Inc.",49338L103,35430,5805560,SOLE,
KLA Corporation,482480100,389028,348467941,SOLE,
Kroger Company,501044101,80240,5755615,SOLE,
"Labcorp Holdings, Inc.",504922105,27340,7177023,SOLE,
Levi Strauss & Co,52736R102,157900,2919571,SOLE,
Linde plc,G54950103,1380,647468,SOLE,
"Manhattan Associates, Inc.",562750109,13080,2582908,SOLE,
Marsh & McLennan Companies Inc,571748102,2423637,529903994,SOLE,
Mastercard Inc,57636Q104,620967,348946196,SOLE,
McDonald's Corp.,580135101,499014,145796920,SOLE,
"Meta Platforms, Inc. Class A",30303M102,203412,150136363,SOLE,
Microsoft Corp,594918104,1569529,780699420,SOLE,
"MSCI, Inc.",55354G100,11050,6372977,SOLE,
Nike Inc,654106103,83798,5953010,SOLE,
NVIDIA Corp,67066G104,1747996,276165888,SOLE,
Omnicom Group Inc,681919106,76066,5472188,SOLE,
ON Semiconductor Corp,682189105,41450,2172395,SOLE,
Oracle Corp,68389X105,145209,31747044,SOLE,
Paychex Inc.,704326107,9320,1355687,SOLE,
PepsiCo Inc.,713448108,104162,13753550,SOLE,
Procter & Gamble Co,742718109,1431200,228018784,SOLE,
Raytheon Technologies Corp,75513E101,17586,2567908,SOLE,
Ross Stores Inc,778296103,39930,5094269,SOLE,
Sherwin-Williams Co,824348106,558255,191682437,SOLE,
Stryker Corp,863667101,1417621,560853396,SOLE,
T Rowe Price Group Inc,74144T108,31950,3083175,SOLE,
Techne Corp,09073M104,47450,2441303,SOLE,
Texas Instruments Inc,882508104,16727,3472860,SOLE,
TJX Companies Inc,872540109,23249,2871019,SOLE,
Toro Company,891092108,39470,2789740,SOLE,
Tractor Supply Co,892356106,109490,5777787,SOLE,
United Parcel Svc Cl B,911312106,21840,2204530,SOLE,
"United Rentals, Inc.",911363109,2680,2019112,SOLE,
Unitedhealth Group Inc,91324P102,10406,3246360,SOLE,
Veeva Systems Inc. Class A,922475108,20411,5877960,SOLE,
Verisk Analytics Inc,92345Y106,281734,87760141,SOLE,
Waste Management,94106L109,1174028,268641087,SOLE,
Waters Corp,941848103,43936,15335421,SOLE,
"Zoetis, Inc.",98978V103,1615431,251926464,SOLE,
Taiwan Semiconductor Manuf ADR,874039100,17338,3926884,SOLE,
