Company,CUSIP,Shares,Value,Discretion
APPLE INC,037833100,2400,532788,SOLE
BANK OZK,06417N103,631602,27443115,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,1,798442,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,48717,25945700,SOLE
CORE NATURAL RESOURCES INC,218937100,5000,385500,SOLE
DIAMONDBACK ENERGY INC,25278X109,4000,639520,SOLE
ENERGY TRANSFER L P,29273V100,166600,3097094,SOLE
ENTERPRISE PRODS PARTNERS L,293792107,5450400,186076656,SOLE
EOG RES INC,26875P101,2000,256480,SOLE
OCCIDENTAL PETE CORP,674599105,54300,2680248,SOLE
ST JOE CO,790148100,20206867,948712406,SOLE
WR BERKLEY CORP,084423102,261450,18604782,SOLE
