Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,1078768,338517398,DFND,
AMAZON COM INC,023135106,5892496,1360105927,DFND,
AMPHENOL CORP NEW,032095101,3707911,501087093,DFND,
BOSTON SCIENTIFIC CORP,101137107,5385084,513467759,DFND,
CAPITAL ONE FINL CORP,14040H105,2069130,501474347,DFND,
CARPENTER TECHNOLOGY CORP,144285103,1553012,488950298,DFND,
CME GROUP INC,12572Q105,1179792,322177599,DFND,
CRH PLC,G25508105,2261060,282180288,DFND,
EMBRAER S.A.,29082A107,3278140,211013872,DFND,
FERGUSON ENTERPRISES INC,31488V107,1008314,224480946,DFND,
INTERACTIVE BROKERS GROUP IN,45841N107,6939581,446284454,DFND,
LAMAR ADVERTISING CO NEW,512816109,722083,91401266,DFND,
LPL FINL HLDGS INC,50212V100,254813,91011559,DFND,
MASTERCARD INCORPORATED,57636Q104,458342,261658281,DFND,
MICROSOFT CORP,594918104,1748656,845685015,DFND,
MOODYS CORP,615369105,773409,395095988,DFND,
NEW YORK TIMES CO,650111107,1410003,97882408,DFND,
RENAISSANCERE HLDGS LTD,G7496G103,490626,137944406,DFND,
SEAGATE TECHNOLOGY HLDNGS PL,G7997R103,729325,200848812,DFND,
UBER TECHNOLOGIES INC,90353T100,2681172,219078564,DFND,
VISA INC,92826C839,3270999,1147172059,DFND,
VULCAN MATLS CO,929160109,960173,273860543,DFND,
WYNN RESORTS LTD,983134107,2069751,249053138,DFND,
