Company,CUSIP,Shares,Value,Discretion
ACCENTURE PLC IRELAND,G1151C101,124650,37256639,SOLE
ACI WORLDWIDE INC,004498101,306000,14048460,SOLE
ALPHABET INC,02079K107,445600,79044984,SOLE
AMAZON COM INC,023135106,222500,48814275,SOLE
ANALOG DEVICES INC,032654105,141000,33560820,SOLE
AON PLC,G0403H108,213450,76150422,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,286850,139343125,SOLE
BIO-TECHNE CORP,09073M104,802150,41270618,SOLE
CARMAX INC,143130102,649400,43646174,SOLE
CHARTER COMMUNICATIONS INC,16119P108,94450,38612105,SOLE
COMCAST CORP NEW,20030N101,451500,16114035,SOLE
CORECARD CORPORATION,45816D100,515000,14919550,SOLE
COSTAR GROUP INC,22160N109,765600,61554240,SOLE
DANAHER CORPORATION,235851102,526950,104093703,SOLE
DIAGEO PLC,25243Q205,28300,2853772,SOLE
EQUIFAX INC,294429105,210350,54558480,SOLE
FORTIVE CORP,34959J108,45450,2369309,SOLE
GARTNER INC,366651107,87925,35541044,SOLE
GLOBAL PMTS INC,37940X102,560000,44822400,SOLE
HEICO CORP NEW,422806208,162900,42150375,SOLE
IDEX CORP,45167R104,406225,71320923,SOLE
IDEXX LABS INC,45168D104,60300,32341302,SOLE
LABCORP HOLDINGS INC,504922105,141175,37059849,SOLE
LIBERTY BROADBAND CORP,530307107,140000,13694800,SOLE
LIBERTY BROADBAND CORP,530307305,500500,49239190,SOLE
LINDE PLC,G54950103,6900,3237342,SOLE
LKQ CORP,501889208,458300,16961683,SOLE
MARTIN MARIETTA MATLS INC,573284106,41275,22658324,SOLE
MASTERCARD INCORPORATED,57636Q104,165070,92759436,SOLE
META PLATFORMS INC,30303M102,115710,85404394,SOLE
MICROSOFT CORP,594918104,129475,64402160,SOLE
OLD DOMINION FREIGHT LINE IN,679580100,208500,33839550,SOLE
ORACLE CORP,68389X105,170075,37183497,SOLE
PERIMETER SOLUTIONS INC,71385M107,1960900,27295728,SOLE
RALLIANT CORP,750940108,15150,734624,SOLE
ROPER TECHNOLOGIES INC,776696106,31425,17812947,SOLE
RWT HLDGS INC,749772AD1,3500000,3507000,SOLE
S&P GLOBAL INC,78409V104,7140,3764851,SOLE
SALESFORCE COM INC,79466L302,87500,23860375,SOLE
SIRIUSXM HOLDINGS INC,829933100,1384000,31790480,SOLE
TEXAS INSTRS INC,882508104,164575,34169062,SOLE
THERMO FISHER SCIENTIFIC INC,883556102,150450,61001457,SOLE
VERALTO CORP,92338C103,37500,3785625,SOLE
VISA INC,92826C839,298075,105831529,SOLE
VULCAN MATLS CO,929160109,211900,55267758,SOLE
