Company,CUSIP,Shares,Value,Discretion,PutCall
Barrick Gold Corporation,067901108,3832754,59407688,SOLE,
"Bath & Body Works, Inc.",070830104,2234214,86620477,SOLE,
Baxter International Inc.,071813109,2484581,72450382,SOLE,
"Berkshire Hathaway, Inc. C",084670702,158812,71986304,SOLE,
Bristol-Myers Squibb Company,110122108,1373687,77695737,SOLE,
"CF Industries Holdings, Inc.",125269100,844594,72060760,SOLE,
CSX Corporation,126408103,2101785,67824602,SOLE,
"Coterra Energy, Inc.",127097103,3941842,100674645,SOLE,
Citigroup Inc.,172967424,1226512,86334180,SOLE,
The Walt Disney Company,254687106,776361,86447798,SOLE,
"Hologic, Inc.",436440101,970225,69943521,SOLE,
The Kroger Co.,501044101,1320409,80743010,SOLE,
Lennar Corporation,526057104,396289,54041931,SOLE,
Newmont Corporation,651639106,266940,9935507,SOLE,
PVH Corp.,693656100,882217,93294448,SOLE,
Public Service Enterprise Group,744573106,546972,46213664,SOLE,
Southwest Airlines Co.,844741108,2536050,85262001,SOLE,
Teva Pharmaceutical Industries,881624209,4772712,105190573,SOLE,
Wells Fargo & Company,949746101,1553099,109089674,SOLE,
The AES Corporation,00130H105,5367768,69083174,SOLE,
"Avantor, Inc.",05352A100,4681535,98639943,SOLE,
Baker Hughes Company,05722G100,1578824,64763360,SOLE,
Capital One Financial Corp,14040H105,711288,126836876,SOLE,
"EOG Resources, Inc.",26875P101,512884,62869321,SOLE,
FedEx Corporation,31428X106,241475,67934161,SOLE,
Fidelity National Information Services,31620M106,948558,76615029,SOLE,
GE HealthCare Technologies,36266G107,775341,60616159,SOLE,
General Motors Company,37045V100,1081595,57616566,SOLE,
Incyte Corporation,45337C102,1201089,82959217,SOLE,
"Kinder Morgan, Inc.",49456B101,2333623,63941270,SOLE,
"Match Group, Inc.",57667L107,1221715,39962298,SOLE,
Organon & Company,68622V106,4968658,74132378,SOLE,
"PayPal Holdings, Inc.",70450Y103,1058267,90323088,SOLE,
Vistra Corp.,92840M102,481772,66421906,SOLE,
"Zimmer Biomet Holdings, Inc.",98956P102,771063,81447385,SOLE,
Willis Towers Watson PLC,G96629103,297120,93069869,SOLE,
Perrigo Company PLC,G97822103,2668780,68614334,SOLE,
Check Point Software,M22465104,478888,89408390,SOLE,
NXP Semiconductors NV,N6596X109,433328,90067225,SOLE,
Flex Ltd.,Y2573F102,1786322,68576902,SOLE,
