Company,CUSIP,Shares,Value,Discretion,PutCall
ALLSTATE CORP,020002101,625084,36405,SOLE,
APPLE INC,037833100,1309000,144383,SOLE,
AXIALL CORP,05463D100,216883,3403,SOLE,
CHICAGO BRIDGE & IRON CO N V,167250109,1254461,49752,SOLE,
DELTA AIR LINES INC DEL,247361702,6077033,272676,SOLE,
EAGLE MATERIALS INC,26969P108,774637,53001,SOLE,
EASTMAN CHEM CO,277432100,782729,50658,SOLE,
GENERAL MTRS CO,37045V118,190011,3872,SOLE,
GENERAL MTRS CO,37045V126,190011,2512,SOLE,
GENERAL MTRS CO,37045V100,12885294,386817,SOLE,
GOODYEAR TIRE & RUBR CO,382550101,5929089,173900,SOLE,
GOOGLE INC,38259P706,186650,113562,SOLE,
HCA HOLDINGS INC,40412C101,3553537,274902,SOLE,
HD SUPPLY HLDGS INC,40416M105,2268416,64922,SOLE,
HUNTSMAN CORP,447011107,8037950,77888,SOLE,
INGERSOLL-RAND PLC,G47791101,689566,35009,SOLE,
JETBLUE AIRWAYS CORP,477143101,4494750,115830,SOLE,
KBR INC,48242W106,526787,8776,SOLE,
MYLAN N V,N59465109,470071,18925,SOLE,
NIKE INC,654106103,359500,44208,SOLE,Put
NXP SEMICONDUCTORS N V,N6596X109,2294123,199749,SOLE,
OWENS CORNING NEW,690742101,3359738,140807,SOLE,
PRICELINE GRP INC,741503403,98000,121212,SOLE,
RYLAND GROUP INC,783764103,595842,24328,SOLE,
SOUTHWEST AIRLS CO,844741108,1636300,62245,SOLE,
SPDR S&P 500 ETF TR,78462F103,22854,4380,SOLE,
TEREX CORP NEW,880779103,1653306,29660,SOLE,
TRIUMPH GROUP INC NEW,896818101,841494,35410,SOLE,
U S G CORP,903293405,1086065,28911,SOLE,
UNITED CONTL HLDGS INC,910047109,471243,24999,SOLE,
UNITED RENTALS INC,911363109,834046,50084,SOLE,
WHIRLPOOL CORP,963320106,1133693,166948,SOLE,
WMIH CORP,92936P100,16902465,43608,SOLE,
