Company,CUSIP,Shares,Value,Discretion
ALLIANCE RESOURCE PARTNERS L,01877R108,127000,3464560,SOLE
AMERICAN AXLE & MFG HLDGS IN,024061103,995690,4052458,SOLE
AT&T INC,00206R102,116000,3280480,SOLE
BOISE CASCADE CO DEL,09739D100,40000,3923600,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,309825,15516036,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,108000,6586920,SOLE
BUCKLE INC,118440106,105000,4023600,SOLE
BUILD-A-BEAR WORKSHOP INC,120076104,100000,3717000,SOLE
CARLYLE GROUP INC,14316J108,70000,3051300,SOLE
CHORD ENERGY CORPORATION,674215207,52766,5947784,SOLE
CONDUENT INC,206787103,1875380,5063526,SOLE
CTO RLTY GROWTH INC NEW,22948Q101,383900,7413109,SOLE
EASTERLY GOVT PPTYS INC,27616P103,367000,3890200,SOLE
FOSSIL GROUP INC,34988V106,2965160,3409934,SOLE
GANNETT CO INC,36472T109,2712815,7840035,SOLE
GRAY MEDIA INC,389375106,3577790,15456053,SOLE
JACKSON FINANCIAL INC,46817M107,120950,10133191,SOLE
JELD-WEN HLDG INC,47580P103,776425,4635257,SOLE
LINCOLN NATL CORP IND,534187109,519255,18646447,SOLE
LYONDELLBASELL INDUSTRIES N,N53745100,38000,2675200,SOLE
MICROSTRATEGY INC,594972408,15250,4396117,SOLE
NABORS INDUSTRIES LTD,G6359F137,388745,16214554,SOLE
ONEMAIN HLDGS INC,68268W103,149000,7283120,SOLE
QUAD / GRAPHICS INC,747301109,2574225,14029526,SOLE
SEMLER SCIENTIFIC INC,81684M104,53000,1918600,SOLE
STELLANTIS N.V,N82405106,390000,4371900,SOLE
TECHNIPFMC PLC,G87110105,8185,259383,SOLE
TOTALENERGIES SE,89151E109,7650,494878,SOLE
TUTOR PERINI CORP,901109108,90570,2099413,SOLE
UGI CORP NEW,902681105,292000,9656440,SOLE
UNITED NAT FOODS INC,911163103,188955,5175477,SOLE
VERIZON COMMUNICATIONS INC,92343V104,198000,8981280,SOLE
VIATRIS INC,92556V106,619000,5391490,SOLE
WESTERN ALLIANCE BANCORP,957638109,83455,6411848,SOLE
