Company,CUSIP,Shares,Value,Discretion
374WATER INC,88583P203,10000,20400,SOLE
ABBVIE INC,00287Y109,38285,8747784,SOLE
ACCENTURE PLC IRELAND,G1151C101,19679,5279876,SOLE
AFLAC INC,001055102,6243,688391,SOLE
ALPHABET INC,02079K305,3942,1233978,SOLE
ALPHABET INC,02079K107,157612,49458802,SOLE
AMAZON COM INC,023135106,125319,28926024,SOLE
AMERICAN ELEC PWR CO INC,025537101,185281,21364788,SOLE
AMERICAN EXPRESS CO,025816109,3066,1134269,SOLE
AMGEN INC,031162100,103549,33892468,SOLE
AMPHENOL CORP NEW,032095101,3056,412988,SOLE
AON PLC,G0403H108,648,228666,SOLE
APPLE INC,037833100,146802,39909599,SOLE
APPLIED MATLS INC,038222105,71798,18451379,SOLE
AST SPACEMOBILE INC,00217D100,5900,428517,SOLE
BANK AMERICA CORP,060505104,57421,3158164,SOLE
BANK NEW YORK MELLON CORP,064058100,261427,30349097,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,11595,5828227,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,3929,211930,SOLE
BROADCOM INC,11135F101,1099,380364,SOLE
CAPITAL ONE FINL CORP,14040H105,3178,770220,SOLE
CISCO SYS INC,17275R102,112308,8651117,SOLE
COMCAST CORP NEW,20030N101,600301,17942988,SOLE
COMPUGEN LTD,M25722105,93833,143564,SOLE
CONSTELLATION BRANDS INC,21036P108,45412,6265040,SOLE
COSTCO WHSL CORP NEW,22160K105,563,485896,SOLE
CVS HEALTH CORP,126650100,6175,490048,SOLE
DANAHER CORPORATION,235851102,1703,389851,SOLE
DOCGO INC,256086109,100000,87780,SOLE
EA SERIES TRUST,02072Q812,414930,50453120,SOLE
EATON CORP PLC,G29183103,862,274556,SOLE
ELI LILLY & CO,532457108,325,349751,SOLE
EXXON MOBIL CORP,30231G102,4790,576459,SOLE
FEDEX CORP,31428X106,55079,15910010,SOLE
GENERAC HLDGS INC,368736104,112991,15408583,SOLE
GENERAL DYNAMICS CORP,369550108,29725,10007203,SOLE
GOLDMAN SACHS GROUP INC,38141G104,27996,24608164,SOLE
HOME DEPOT INC,437076102,50466,17365508,SOLE
INTERNATIONAL BUSINESS MACHS,459200101,819,242657,SOLE
INTUIT,461202103,450,298089,SOLE
INVESCO EXCH TRADED FD TR II,46138G649,1054,266578,SOLE
