Company,CUSIP,Shares,Value,Discretion
AGCO Corporation,001084102,1357633,132885118,SOLE
"Alexandria Real Estate Equities, Inc.",015271109,141587,0,SOLE
"Alibaba Group Holding Ltd., ADR",01609W102,169908,12233376,SOLE
"Alphabet Inc., Class A",02079K305,3074425,560006575,SOLE
"Alphabet Inc., Class C",02079K107,675447,123890489,SOLE
"Amazon.com, Inc.",023135106,5720344,1105456478,SOLE
American Express Co.,025816109,363803,84238536,SOLE
American Homes 4 Rent - Class A,02665T306,222270,0,SOLE
American Tower Corp,03027X100,76070,0,SOLE
"Applied Materials, Inc.",038222105,4185924,987836266,SOLE
"AvalonBay Communities, Inc.",053484101,57770,0,SOLE
"Baidu, Inc. Class A, ADR",056752108,46841,4050810,SOLE
Bank of America Corp.,060505104,1190869,47360860,SOLE
Bank of N.T. Butterfield & Son Limited,G0772R208,1080340,37941541,SOLE
Bank of New York Mellon Corp.,064058100,7450908,446234852,SOLE
"Berkshire Hathaway Inc., Class A",084670108,1831,1121013271,SOLE
"Berkshire Hathaway Inc., Class B",084670702,810163,329574309,SOLE
"Boston Properties, Inc.",101121101,154730,0,SOLE
"Brixmor Property Group, Inc.",11120U105,503980,0,SOLE
Camden Property Trust,133131102,70430,0,SOLE
Capital One Financial Corp.,14040H105,9635496,1334034443,SOLE
Charles Schwab Corp.,808513105,304789,22459901,SOLE
Chubb Ltd.,H1467J104,1256840,320594770,SOLE
Cigna Group,125523100,1446129,478046863,SOLE
"Clear Secure, Inc.",18467V109,589764,11034484,SOLE
"Community Healthcare Trust, Inc.",20369C106,219990,0,SOLE
ConocoPhillips,20825C104,379971,43461083,SOLE
"Coupang, Inc., Class A",22266T109,5974842,125172940,SOLE
"Cousins Properties, Inc.",222795502,682525,0,SOLE
"Crown Castle, Inc.",22822V101,41950,0,SOLE
"Crown Holdings, Inc.",228368106,8570,637522,SOLE
CVS Health Corporation,126650100,364782,21544025,SOLE
Darling Ingredients Inc.,237266101,2837718,104286137,SOLE
Davis Select Financial ETF,23908L108,2128485,70685356,SOLE
Davis Select International ETF,23908L405,3866428,76908114,SOLE
Davis Select U.S. Equity ETF,23908L207,3385789,137530738,SOLE
Davis Select Worldwide ETF,23908L306,1916112,63894663,SOLE
"Digital Realty Trust, Inc.",253868103,101905,0,SOLE
"Douglas Emmett, Inc",25960P109,127180,0,SOLE
"Equinix, Inc.",29444U700,17258,0,SOLE
Equity Residential,29476L107,103015,0,SOLE
"Essex Property Trust, Inc.",297178105,46271,0,SOLE
"Everest Group, Ltd.",G3223R108,40889,15579527,SOLE
"Extra Space Storage, Inc.",30225T102,61595,0,SOLE
Federal Realty Investment Trust,313745101,61320,0,SOLE
Fifth Third Bancorp,316773100,2478079,90425103,SOLE
"Healthpeak Properties, Inc.",42250P103,255476,0,SOLE
Highwoods Properties Inc.,431284108,160530,0,SOLE
Hollysys Automation Technologies Ltd.,G45667105,220761,4777268,SOLE
Hudson Pacific Properties Inc.,444097109,1224493,0,SOLE
Humana Inc.,444859102,2311362,863640411,SOLE
IAC Inc.,44891N208,2704207,126692098,SOLE
Intel Corp.,458140100,12642316,391532520,SOLE
iShares S&P 500 Value Index Fund,464287408,23681,4310179,SOLE
"JD.com Inc., Class A, ADR",47215P106,4304912,111238926,SOLE
Johnson Controls International plc,G51502105,439642,29223004,SOLE
JPMorgan Chase & Co.,46625H100,1849353,374050139,SOLE
"KE Holdings Inc., Class A, ADR",482497104,5995230,84832504,SOLE
Lam Research Corp.,512807108,1228,1307636,SOLE
"Liberty Formula One, Series A",531229771,357861,22985412,SOLE
Loews Corp.,540424108,626859,46851442,SOLE
M & T Bank Corp,55261F104,48247,7302666,SOLE
"Markel Group, Inc",570535104,287061,452310535,SOLE
"Masterbrand, Inc.",57638P104,823506,12089068,SOLE
"Meta Platforms, Inc., Class A",30303M102,3059517,1542669707,SOLE
MGM Resorts International,552953101,11911559,529349682,SOLE
Microsoft Corp.,594918104,258122,115367628,SOLE
"Mid-America Apartment Communities, Inc.",59522J103,24080,0,SOLE
"Noah Holdings Ltd., Class A, ADS",65487X102,1681650,16227922,SOLE
Oracle Corporation,68389X105,138132,19504238,SOLE
Owens Corning,690742101,2275729,395339642,SOLE
"PNC Financial Services Group, Inc.",693475105,510360,79350773,SOLE
"Prologis, Inc.",74340W103,236886,0,SOLE
"Public Storage, Inc.",74460D109,55620,0,SOLE
Quest Diagnostics Inc.,74834L100,2390828,327256537,SOLE
Regency Centers Corporation,758849103,121200,0,SOLE
Retail Opportunity Investments Corp.,76131N101,499455,0,SOLE
"Rexford Industrial Realty, Inc.",76169C100,209610,0,SOLE
RH,74967X103,2240,547546,SOLE
"Rocket Companies, Inc., Class A",77311W101,3217609,44081243,SOLE
SAP SE - ADR,803054204,98807,19930360,SOLE
"Sea Ltd., Class A, ADR",81141R100,652316,46588409,SOLE
"Simon Property Group, Inc.",828806109,85140,0,SOLE
"Skechers U.S.A., Inc., Class A",830566105,7490,517709,SOLE
Solventum Corp.,83444M101,5163955,273069940,SOLE
State Street Corp.,857477103,54917,4063858,SOLE
"Sun Communities, Inc.",866674104,26670,0,SOLE
"Sunstone Hotel Investors, Inc.",867892101,815490,0,SOLE
"Teck Resources Ltd., Class B",878742204,11530660,552318614,SOLE
Terreno Realty Corp.,88146M101,158467,0,SOLE
"Texas Instruments, Inc.",882508104,2361294,459342432,SOLE
Truist Financial Corp.,89832Q109,134912,5241331,SOLE
Tyson Foods Inc,902494103,3105330,177438556,SOLE
U.S. Bancorp,902973304,14228444,564869245,SOLE
"UDR, Inc.",902653104,201490,0,SOLE
UnitedHealth Group Inc.,91324P102,90293,45982613,SOLE
"Ventas, Inc.",92276F100,285660,0,SOLE
Viatris Inc.,92556V106,57535953,611607181,SOLE
"VICI Properties, Inc.",925652109,147340,0,SOLE
Wells Fargo & Co.,949746101,15350126,911644000,SOLE
"Welltower, Inc.",95040Q104,96500,0,SOLE
"Wesco International, Inc.",95082P105,193646,30696764,SOLE
