Company,CUSIP,Shares,Value,Discretion,PutCall
ABRDN SILVER ETF TRUST,003264108,4245,287132,SOLE,
ALASKA AIR GROUP INC,011659109,409282,20586885,SOLE,
ALPHABET INC,02079K305,700,219100,SOLE,
AMERICAN EXPRESS CO,025816109,3441,1272998,SOLE,
APPLE INC,037833100,4140,1125500,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,249211,125265909,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,116,87556800,SOLE,
CHEVRON CORP NEW,166764100,6389,973747,SOLE,
COCA COLA CO,191216100,15328,1071580,SOLE,
COSTCO WHSL CORP NEW,22160K105,3447,2972486,SOLE,
CUMMINS INC,231021106,39774,20302638,SOLE,
DECKERS OUTDOOR CORP,243537107,639698,66317492,SOLE,
DISNEY WALT CO,254687106,145782,16585563,SOLE,
DOLLAR GEN CORP NEW,256677105,925955,122939033,SOLE,
DOLLAR TREE INC,256746108,512660,63062307,SOLE,
EQUINOR ASA,29446M102,598385,14139838,SOLE,
EXXON MOBIL CORP,30231G102,57556,6926289,SOLE,
FIVE BELOW INC,33829M101,265234,49959476,SOLE,
FLEX LTD,Y2573F102,4485,270984,SOLE,
GE AEROSPACE,369604301,9352,2880697,SOLE,
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,375734,SOLE,
GE VERNOVA INC,36828A101,1994,1303219,SOLE,
HF SINCLAIR CORP,403949100,358527,16520923,SOLE,
ISHARES TR,46436E718,3541,355446,SOLE,
KINROSS GOLD CORP,496902404,2112933,59500193,SOLE,
MERCK & CO INC,58933Y105,44443,4678070,SOLE,
NEWMONT CORP,651639106,663239,66224452,SOLE,
NXP SEMICONDUCTORS N V,N6596X109,13298,2886464,SOLE,
OLIN CORP,680665205,1943440,40481853,SOLE,
OVINTIV INC,69047Q102,16487,646126,SOLE,
PARAMOUNT SKYDANCE CORP,69932A204,659061,8831420,SOLE,
SEACOR MARINE HLDGS INC,78413P101,208175,1253214,SOLE,
SHELL PLC,780259305,4968,365049,SOLE,
SPROTT ASSET MANAGEMENT LP,85207H104,23869,788154,SOLE,
STARBUCKS CORP,855244109,241470,20334201,SOLE,
SYNCHRONY FINANCIAL,87165B103,4437,370179,SOLE,
TRAVELERS COMPANIES INC,89417E109,19100,5540146,SOLE,
VALERO ENERGY CORP,91913Y100,198658,32339530,SOLE,
WORLD GOLD TR,98149E303,23979,2047087,SOLE,
