Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,1360000,111887,SOLE
APPLE INC,037833100,2518167,315841,SOLE
AXIALL CORP,05463D100,895091,32268,SOLE
BANK OF AMERICA CORPORATION,060505104,1910000,32508,SOLE
CHICAGO BRIDGE & IRON CO N V,167250109,1201848,60140,SOLE
D R HORTON INC,23331A109,1080898,29573,SOLE
DELTA AIR LINES INC DEL,247361702,4269511,175392,SOLE
EASTMAN CHEM CO,277432100,860729,70425,SOLE
GENERAL MTRS CO,37045V118,190011,4517,SOLE
GENERAL MTRS CO,37045V126,190011,3050,SOLE
GENERAL MTRS CO,37045V100,18796165,626476,SOLE
GOODYEAR TIRE & RUBR CO,382550101,9987416,301121,SOLE
GOOGLE INC,38259P706,349055,181687,SOLE
HCA HOLDINGS INC,40412C101,4184525,379620,SOLE
HD SUPPLY HLDGS INC,40416M105,2505127,88130,SOLE
HUNTSMAN CORP,447011107,8082950,178391,SOLE
JETBLUE AIRWAYS CORP,477143101,4947994,102720,SOLE
KBR INC,48242W106,1645802,32060,SOLE
LENNAR CORP,526057104,609988,31134,SOLE
MASCO CORP,574599106,2354832,62803,SOLE
MOHAWK INDS INC,608190104,201807,38525,SOLE
MYLAN N V,N59465109,989528,67149,SOLE
NXP SEMICONDUCTORS N V,N6596X109,1662609,163268,SOLE
OWENS CORNING NEW,690742101,3594114,148257,SOLE
PRICELINE COM INC,741503403,229539,264284,SOLE
REGIONS FINL CORP NEW,7591EP100,3035477,31448,SOLE
RYLAND GROUP INC,783764103,735809,34119,SOLE
SPDR S&P 500 ETF TR,78462F103,22854,4704,SOLE
TEREX CORP NEW,880779103,1603306,37277,SOLE
TRIUMPH GROUP INC NEW,896818101,832270,54921,SOLE
U S G CORP,903293405,1748284,48585,SOLE
UNITED CONTL HLDGS INC,910047109,1516876,80410,SOLE
UNITED RENTALS INC,911363109,599046,52488,SOLE
WHIRLPOOL CORP,963320106,1110293,192136,SOLE
