Company,CUSIP,Shares,Value,Discretion
ALASKA AIR GROUP INC,011659109,372013,18407203,SOLE
AMERICAN EXPRESS CO,025816109,4432,1413719,SOLE
APPLE INC,037833100,4140,849404,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,116,84540800,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,246664,119821971,SOLE
CHEVRON CORP NEW,166764100,6389,914841,SOLE
COCA COLA CO,191216100,15622,1105257,SOLE
COSTCO WHSL CORP NEW,22160K105,3768,3730094,SOLE
CUMMINS INC,231021106,40039,13112773,SOLE
DECKERS OUTDOOR CORP,243537107,210523,21698606,SOLE
DISNEY WALT CO,254687106,144397,17906674,SOLE
DOLLAR GEN CORP NEW,256677105,926119,105929443,SOLE
DOLLAR TREE INC,256746108,506396,50153460,SOLE
EQUINOR ASA,29446M102,510218,12826881,SOLE
EXXON MOBIL CORP,30231G102,56833,6126597,SOLE
FIVE BELOW INC,33829M101,322806,42345691,SOLE
FLEX LTD,Y2573F102,5090,254093,SOLE
GE AEROSPACE,369604301,9352,2407111,SOLE
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,339315,SOLE
GE VERNOVA INC,36828A101,3436,1818159,SOLE
HF SINCLAIR CORP,403949100,348934,14334216,SOLE
ISHARES TR,46436E718,8128,818408,SOLE
KINROSS GOLD CORP,496902404,3086724,48245496,SOLE
MERCK & CO INC,58933Y105,44443,3518108,SOLE
NEWMONT CORP,651639106,678145,39508702,SOLE
NXP SEMICONDUCTORS N V,N6596X109,13558,2962287,SOLE
OLIN CORP,680665205,797436,16020485,SOLE
OVINTIV INC,69047Q102,16487,627330,SOLE
PARAMOUNT GLOBAL,92556H206,1681694,21693850,SOLE
SEACOR MARINE HLDGS INC,78413P101,211480,1078548,SOLE
SHELL PLC,780259305,4968,349797,SOLE
SPROTT PHYSICAL GOLD TR,85207H104,23869,605079,SOLE
STARBUCKS CORP,855244109,239081,21907019,SOLE
SYNCHRONY FINANCIAL,87165B103,4437,296125,SOLE
TRAVELERS COMPANIES INC,89417E109,19255,5151483,SOLE
VALERO ENERGY CORP,91913Y100,198707,26710181,SOLE
WORLD GOLD TR,98149E303,17001,1113906,SOLE
