Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET CL A ORD,02079K305,6852087,1136418629,SOLE,
Apple,037833100,1558589,363151237,SOLE,
AUTOMATIC DATA PROCESSING,053015103,5571820,1541889749,SOLE,
BROWN FORMAN CORP CLASS B,115637209,10010507,492516944,SOLE,
CHOICE HOTELS INTERNATIONAL ORD,169905106,733892,95626128,SOLE,
CHURCH AND DWIGHT ORD,171340102,6882775,720764198,SOLE,
CLOROX COMPANY,189054109,613497,99944796,SOLE,
COGNEX CORP,192422103,1906276,77204178,SOLE,
EQUIFAX INC,294429105,363328,106767566,SOLE,
EXPONENT INC,30214U102,836477,96429069,SOLE,
FORTINET ORD,34959E109,10118293,784673622,SOLE,
GRACO ORD,384109104,1139641,99729984,SOLE,
HOME DEPOT ORD,437076102,147815,59894638,SOLE,
IDEX ORD,45167R104,362501,77756465,SOLE,
IDEXX LABORATORIES INC,45168D104,2664162,1345987926,SOLE,
MARRIOTT INTERNATIONAL  CL A,571903202,4266655,1060690433,SOLE,
MASTERCARD CL A ORD,57636Q104,64990,32092062,SOLE,
MCCORMICK & CO NON VTG SHRS,579780206,1728157,142227321,SOLE,
MCDONALD S ORD,580135101,94403,28746658,SOLE,
META PLATFORMS INC-CLASS A,30303M102,4871364,2788563608,SOLE,
METTLER TOLEDO ORD,592688105,591919,887700924,SOLE,
MICROSOFT CORP,594918104,6900275,2969188333,SOLE,
MSCI INC,55354G100,166619,97127214,SOLE,
NIKE INC CL B,654106103,6299493,556875181,SOLE,
ODDITY TECH LTD,M7518J104,1615158,65220080,SOLE,
OTIS WORLDWIDE ORD,68902V107,6141228,638319238,SOLE,
PAYCOM SOFTWARE INC,70432V102,322611,53737314,SOLE,
PEPSICO INC,713448108,5739988,976084959,SOLE,
PHILIP MORRIS INTERNATIONAL,718172109,12012659,1458336803,SOLE,
PROCTER & GAMBLE ORD,742718109,4633222,802474050,SOLE,
QUALYS INC,74758T303,548009,70397236,SOLE,
ROLLINS ORD,775711104,1597513,80802208,SOLE,
SABRE CORP,78573M104,21499095,78901679,SOLE,
STRYKER CORP,863667101,5336821,1927979954,SOLE,
TEXAS INSTRUMENTS INC,882508104,1700630,351299139,SOLE,
VERISIGN INC,92343E102,624500,118630020,SOLE,
VERISK ANALYTICS INC,92345Y106,417685,111922873,SOLE,
VISA INC CLASS A SHARES,92826C839,5546831,1525101183,SOLE,
WATERS CORP,941848103,3645999,1312158580,SOLE,
ZOETIS CL A ORD,98978V103,230726,45079246,SOLE,
