Company,CUSIP,Shares,Value,Discretion
AGCO Corporation,001084102,1991357,186152052,SOLE
"Alexandria Real Estate Equities, Inc.",015271109,150197,14651717,SOLE
"Alphabet Inc., Class A",02079K305,3015704,570872789,SOLE
"Alphabet Inc., Class C",02079K107,646956,123206301,SOLE
"Amazon.com, Inc.",023135106,3807582,835345415,SOLE
American Express Co.,025816109,274490,81465934,SOLE
American Homes 4 Rent - Class A,02665T306,216670,8107791,SOLE
American Tower Corp,03027X100,89530,16420697,SOLE
"Applied Materials, Inc.",038222105,4712217,766347819,SOLE
"AvalonBay Communities, Inc.",053484101,56220,12366713,SOLE
Bank of America Corp.,060505104,1170435,51440618,SOLE
Bank of N.T. Butterfield & Son Limited,G0772R208,1076424,39343297,SOLE
Bank of New York Mellon Corp.,064058100,2136974,164183732,SOLE
"Berkshire Hathaway Inc., Class A",084670108,1582,1077215440,SOLE
"Berkshire Hathaway Inc., Class B",084670702,717513,325234293,SOLE
"Brixmor Property Group, Inc.",11120U105,491270,13676957,SOLE
"BXP, Inc.",101121101,152800,11362208,SOLE
Camden Property Trust,133131102,69380,8050855,SOLE
Capital One Financial Corp.,14040H105,9249045,1649289777,SOLE
Charles Schwab Corp.,808513105,300056,22207145,SOLE
Chubb Ltd.,H1467J104,1095002,302548928,SOLE
Cigna Group,125523100,1431796,395376148,SOLE
"Clear Secure, Inc.",18467V109,579686,15442835,SOLE
"Community Healthcare Trust, Inc.",20369C106,215630,4142252,SOLE
ConocoPhillips,20825C104,1370773,135939559,SOLE
"Coupang, Inc., Class A",22266T109,5911885,129943232,SOLE
"Cousins Properties, Inc.",222795502,504215,15449148,SOLE
"Crown Castle, Inc.",22822V101,41260,3744758,SOLE
"Crown Holdings, Inc.",228368106,8570,708653,SOLE
CVS Health Corporation,126650100,11385950,511115296,SOLE
Darling Ingredients Inc.,237266101,2378248,80123175,SOLE
Davis Select Financial ETF,23908L108,2129265,81103714,SOLE
Davis Select International ETF,23908L405,3869214,84503644,SOLE
Davis Select U.S. Equity ETF,23908L207,3386897,142622229,SOLE
Davis Select Worldwide ETF,23908L306,1917980,69641862,SOLE
"Digital Realty Trust, Inc.",253868103,90645,16074078,SOLE
"Douglas Emmett, Inc",25960P109,124690,2314246,SOLE
"Eastgroup Properties, Inc.",277276101,44440,7132176,SOLE
"Equinix, Inc.",29444U700,19198,18101602,SOLE
Equity Residential,29476L107,100455,7208651,SOLE
"Essex Property Trust, Inc.",297178105,33241,9488311,SOLE
"Everest Group, Ltd.",G3223R108,39212,14212782,SOLE
"Extra Space Storage, Inc.",30225T102,61085,9138316,SOLE
Federal Realty Investment Trust,313745101,60070,6724837,SOLE
Fifth Third Bancorp,316773100,2444176,103339761,SOLE
Full Truck Alliance Co. Ltd.,35969L108,5400391,58432230,SOLE
"Healthpeak Properties, Inc.",42250P103,248366,5034379,SOLE
Highwoods Properties Inc.,431284108,130050,3976929,SOLE
