Company,CUSIP,Shares,Value,Discretion,PutCall
ABRDN SILVER ETF TRUST,003264108,4245,238654,SOLE,
ALASKA AIR GROUP INC,011659109,1793627,93627329,SOLE,
ALPHABET INC,02079K305,700,250159,SOLE,
ALPHABET INC,02079K107,2432,859299,SOLE,
AMERICAN EXPRESS CO,025816109,3311,1119946,SOLE,
APPLE INC,037833100,4640,1342630,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,120,89862000,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,273145,136679027,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,553722,49547045,SOLE,
CHEVRON CORPORATION,166764100,6063,1005003,SOLE,
COCA COLA CO,191216100,15328,1245707,SOLE,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,377991,14639591,SOLE,
COSTCO WHOLESALE CORPORATION,22160K105,3354,3137566,SOLE,
CUMMINS INC,231021106,12972,9251760,SOLE,
DECKERS OUTDOOR CORP,243537107,670199,66544059,SOLE,
DISNEY WALT CO,254687106,160653,15462848,SOLE,
DOLLAR GEN CORP,256677105,665307,76583445,SOLE,
DOLLAR TREE INC,256746108,530113,64117167,SOLE,
EQUINOR ASA,29446M102,161175,5060895,SOLE,
EXXON MOBIL CORP,30231G102,57176,7817103,SOLE,
FIVE BELOW INC,33829M101,105657,18996072,SOLE,
GE AEROSPACE,369604301,9352,3495123,SOLE,
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,293230,SOLE,
GE VERNOVA INC,36828A101,1994,2342671,SOLE,
HF SINCLAIR CORP,403949100,252187,17564807,SOLE,
ISHARES TR,46436E718,8570,862742,SOLE,
JOHNSON & JOHNSON,478160104,794,201652,SOLE,
KINROSS GOLD CORP,496902404,1548995,36587262,SOLE,
MASTERCARD INCORPORATED,57636Q104,658,338038,SOLE,
MERCK & CO INC,58933Y105,44633,5735341,SOLE,
MICROCHIP TECHNOLOGY INC.,595017104,2418,220522,SOLE,
MICROSOFT CORP,594918104,641,239106,SOLE,
NETFLIX INC.,64110L106,2980,212772,SOLE,
NEWMONT CORP,651639106,447228,41771064,SOLE,
NXP SEMICONDUCTORS N V,N6596X109,7662,2153252,SOLE,
OLIN CORP,680665205,2153826,42688822,SOLE,
PARAMOUNT SKYDANCE CORP,69932A204,648835,6397512,SOLE,
PAYCHEX INC,704326107,211640,20810577,SOLE,
PHILIP MORRIS INTL INC,718172109,1762,318763,SOLE,
PHILLIPS 66,718546104,1472,248842,SOLE,
S&P GLOBAL INC,78409V104,45989,18729480,SOLE,
SEACOR MARINE HLDGS INC,78413P101,208175,1592539,SOLE,
SHELL PLC,780259305,4968,385219,SOLE,
SPROTT ASSET MANAGEMENT LP,85207H104,23869,720128,SOLE,
STARBUCKS CORP,855244109,45761,4676339,SOLE,
SUNBELT RENTALS HOLDINGS INC,866966104,2774,207523,SOLE,
SYNCHRONY FINANCIAL,87165B103,4437,337434,SOLE,
TRAVELERS COMPANIES INC,89417E109,19100,6305292,SOLE,
VALERO ENERGY CORP,91913Y100,37893,9868963,SOLE,
WORLD GOLD TR,98149E303,24063,1911083,SOLE,
