Company,CUSIP,Shares,Value,Discretion,PutCall
ASML HOLDING N V,N07059210,106778,114238,SOLE,
ALPHABET INC,02079K107,353459,110915,SOLE,
AMAZON.COM INC,023135106,478534,110455,SOLE,
CCC INTELLIGENT SOLUTION HOLDINGS INC,12510Q100,4805036,38200,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,153725,32090,SOLE,
META PLATFORMS INC,30303M102,97376,64277,SOLE,
ILLUMINA INC COM,452327109,374160,49075,SOLE,
LAM RESEARCH CORP,512807306,295377,50563,SOLE,
LIVE NATION ENTERTAINMENT IN,538034109,255858,36460,SOLE,
MICROSOFT CORP,594918104,352504,170478,SOLE,
TRANSDIGM GROUP INC,893641100,103894,138163,SOLE,
TRANSUNION COM,89400J107,551153,47261,SOLE,
