Company,CUSIP,Shares,Value,Discretion
ALASKA AIR GROUP INC,011659109,341767,13807387,SOLE
ALPHABET INC,02079K305,1160,211294,SOLE
AMERICAN EXPRESS CO,025816109,4518,1046143,SOLE
APPLE INC,037833100,12650,2664343,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,237074,96441703,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,128,78366848,SOLE
CHEVRON CORP NEW,166764100,6036,944151,SOLE
COCA COLA CO,191216100,22425,1427351,SOLE
COSTCO WHSL CORP NEW,22160K105,4330,3680457,SOLE
CUMMINS INC,231021106,40909,11328929,SOLE
DISNEY WALT CO,254687106,136693,13572205,SOLE
DOLLAR GEN CORP NEW,256677105,440295,58220250,SOLE
DOLLAR TREE INC,256746108,96990,10355622,SOLE
EQUINOR ASA,29446M102,270342,7720968,SOLE
EXXON MOBIL CORP,30231G102,56264,6477112,SOLE
FIVE BELOW INC,33829M101,66384,7233864,SOLE
GE AEROSPACE,369604301,12947,2058185,SOLE
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,356952,SOLE
GE VERNOVA INC,36828A101,4138,709708,SOLE
HF SINCLAIR CORP,403949100,272714,14546590,SOLE
KINROSS GOLD CORP,496902404,4651364,38699348,SOLE
MERCK & CO INC,58933Y105,44443,5502043,SOLE
MERCURY GENL CORP NEW,589400100,1394980,74129224,SOLE
MICROCHIP TECHNOLOGY INC.,595017104,2418,221247,SOLE
NEWMONT CORP,651639106,649573,27197605,SOLE
NIKE INC,654106103,33169,2499915,SOLE
NXP SEMICONDUCTORS N V,N6596X109,13930,3748424,SOLE
OLIN CORP,680665205,527383,24866108,SOLE
OVINTIV INC,69047Q102,16487,772746,SOLE
PARAMOUNT GLOBAL,92556H206,1682416,17480300,SOLE
PHILLIPS 66,718546104,1472,207802,SOLE
SEACOR MARINE HLDGS INC,78413P101,214561,2894428,SOLE
SHELL PLC,780259305,4968,358590,SOLE
SPROTT PHYSICAL GOLD TR,85207H104,23869,431074,SOLE
STARBUCKS CORP,855244109,229823,17891751,SOLE
SYNCHRONY FINANCIAL,87165B103,4437,209382,SOLE
TRAVELERS COMPANIES INC,89417E109,20155,4098318,SOLE
VALERO ENERGY CORP,91913Y100,37619,5897196,SOLE
WAFD INC,938824109,27072,773718,SOLE
