Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HOLDINGS LTD,01609W102,292800,21187008,DFND,
ALPHABET INC,02079K305,274620,41409950,DFND,
AUTOHOME INC,05278C107,93000,2435670,DFND,
BANK NOVA SCOTIA,064149107,289100,14962210,DFND,
BERKSHIRE HATHAWAY INC,084670108,1,632800,DFND,
BLACKBERRY LTD,09228F103,46724700,128025678,DFND,
BRP INC,05577W200,21200,1421841,DFND,
CANADIAN PACIFIC KANSAS CITY,13646K108,19100,1683215,DFND,
CAPRI HOLDINGS LTD,G1890L107,188200,8521696,DFND,
COLLIERS INTL GROUP INC,194693107,25000,3047420,DFND,
CREDO TECHNOLOGY GROUP HOLDING,G25457105,87566,1852897,DFND,
CRESCENT CAPITAL BDC INC,225655109,1945858,33566051,DFND,
CVS HEALTH CORP,126650100,15000,1195950,DFND,
FIRST HORIZON CORP,320517105,69650,1072610,DFND,
FRANCO-NEVADA CORP,351858105,13800,1645175,DFND,
FRANKLIN RESOURCES INC,354613101,1000000,28110000,DFND,
GARRETT MOTION INC,366505105,285760,2834739,DFND,
GENERAL ELECTRIC CO,369604301,25600,4491520,DFND,
GENERAL MOTORS CO,37045V100,375965,17038734,DFND,
GENTEX CORP,371901109,85000,3067650,DFND,
HELMERICH & PAYNE INC,423452101,555105,23319961,DFND,
INTEL CORP,458140100,190000,8388500,DFND,
JOHNSON & JOHNSON,478160104,73400,11610412,DFND,
KENNEDY-WILSON HOLDINGS INC,489398107,13322009,114169617,DFND,
KKR & CO INC,48251W104,23500,2363395,DFND,
LIBERTY BROADBAND CORP,530307305,14780,845416,DFND,
MAGNACHIP SEMICONDUCTOR CORP,55933J203,125000,697500,DFND,
MERCK & CO INC,58933Y105,172900,22807239,DFND,
MGM RESORTS INTERNATIONAL,552953101,29500,1392695,DFND,
MICRON TECHNOLOGY INC,595112103,695100,81931437,DFND,
OCCIDENTAL PETROLEUM CORP,674599105,6020418,391146557,DFND,
ORLA MINING LTD,68634K106,55655229,209655182,DFND,
PFIZER INC,717081103,460900,12780757,DFND,
PNM RES INC,69349H107,17000,639540,DFND,
RESTAURANT BRANDS INTL INC,76131D103,42000,3330590,DFND,
SPIRIT AEROSYSTEMS HLDGS INC,848574109,152000,5481120,DFND,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,93700,12745074,DFND,
TEGNA INC,87901J105,32000,477440,DFND,
TFI INTL INC,87241L109,13300,2118510,DFND,
UNITED STATES STEEL CORP,912909108,8900,362675,DFND,
VANGUARD INDEX FDS,922908363,8000,3846160,DFND,
XERIS BIOPHARMA HOLDINGS INC,98422E103,151395,333069,DFND,
