Company,CUSIP,Shares,Value,Discretion,PutCall
3M Co.,88579Y101,27842,4320522,SOLE,
Abbott Labs,002824100,2409429,322718920,SOLE,
AbbVie Inc.,00287Y109,18122,4195968,SOLE,
Accenture plc Class A,G1151C101,312897,77160400,SOLE,
"Adobe Systems,  Inc.",00724F101,43992,15518178,SOLE,
Air Products & Chemicals,009158106,9032,2463207,SOLE,
Alphabet Inc Cap Stk Cl A,02079K305,1791309,435467218,SOLE,
Amphenol Corp,032095101,869464,107596170,SOLE,
AON plc Registered Shs,G0403H108,10100,3601458,SOLE,
"Apple, Inc.",037833100,2303255,586477821,SOLE,
"Automatic Data Processing, Inc",053015103,924421,271317564,SOLE,
Becton Dickinson & Co.,075887109,2486,465305,SOLE,
Best Buy Co. Inc.,086516101,27385,2070854,SOLE,
Booz Allen Hamilton Holding Co,099502106,36880,3686156,SOLE,
Bristol Myers Squibb Co.,110122108,26475,1194023,SOLE,
Broadridge Financial Solutions,11133T103,1099850,261951275,SOLE,
"Cadence Design Systems, Inc.",127387108,620210,217854965,SOLE,
Campbell Soup Company,134429109,79868,2522231,SOLE,
Church & Dwight Co Inc,171340102,34550,3027617,SOLE,
Clorox Company,189054109,73465,9058235,SOLE,
Coca-Cola Company,191216100,124487,8255978,SOLE,
Cognizant Technology Solutions,192446102,123726,8298303,SOLE,
Colgate Palmolive Co,194162103,124789,9975633,SOLE,
Copart Inc.,217204106,5263823,236714120,SOLE,
Crown Holdings Inc.,228368106,49228,4754933,SOLE,
Donaldson Co. Inc.,257651109,63140,5168009,SOLE,
Ecolab Inc,278865100,66986,18344786,SOLE,
Eli Lilly & Co.,532457108,463739,353832857,SOLE,
Emerson Elec Co,291011104,91900,12055442,SOLE,
Encompass Health Corp,29261A100,50660,6434833,SOLE,
Equifax Inc,294429105,1022492,262299873,SOLE,
F5 Networks Inc.,315616102,14520,4692719,SOLE,
FactSet Research Systems Inc.,303075105,11810,3383447,SOLE,
Fair Isaac Corporation,303250104,1620,2424379,SOLE,
General Mills Inc.,370334104,109965,5544435,SOLE,
Genpact Limited,G3922B107,116625,4885421,SOLE,
Gentex Corporation,371901109,133540,3779182,SOLE,
Genuine Parts Company,372460105,2674,370616,SOLE,
Hologic Inc.,436440101,61050,4120265,SOLE,
Home Depot Inc.,437076102,7570,3067288,SOLE,
Idexx Laboratories Inc.,45168D104,4430,2830283,SOLE,
Intuit Inc.,461202103,536978,366707646,SOLE,
Johnson & Johnson,478160104,28970,5371617,SOLE,
Kellanova,487836108,6372,522631,SOLE,
"Keysight Technologies, Inc.",49338L103,35430,6197416,SOLE,
KLA Corporation,482480100,262493,283124950,SOLE,
Kroger Company,501044101,80240,5408978,SOLE,
"Labcorp Holdings, Inc.",504922105,25140,7216688,SOLE,
Landstar System Inc.,515098101,6250,766000,SOLE,
Levi Strauss & Co,52736R102,137260,3198158,SOLE,
Linde plc,G54950103,1380,655500,SOLE,
lululemon athletica inc.,550021109,8220,1462585,SOLE,
"Manhattan Associates, Inc.",562750109,5150,1055647,SOLE,
Marsh & McLennan Companies Inc,571748102,2406645,485011167,SOLE,
Mastercard Inc,57636Q104,581527,330778373,SOLE,
McDonald's Corp.,580135101,500983,152243724,SOLE,
"Meta Platforms, Inc. Class A",30303M102,399933,293702797,SOLE,
Microsoft Corp,594918104,1519446,786997056,SOLE,
"MSCI, Inc.",55354G100,11050,6269881,SOLE,
Nike Inc,654106103,84178,5869732,SOLE,
Nordson Corporation,655663102,12050,2734748,SOLE,
NVIDIA Corp,67066G104,2160264,403062057,SOLE,
Omnicom Group Inc,681919106,75666,6169049,SOLE,
ON Semiconductor Corp,682189105,41450,2043900,SOLE,
Oracle Corp,68389X105,142435,40058419,SOLE,
Paychex Inc.,704326107,9320,1181403,SOLE,
PepsiCo Inc.,713448108,92436,12981712,SOLE,
Procter & Gamble Co,742718109,1441978,221559920,SOLE,
Raytheon Technologies Corp,75513E101,17627,2949526,SOLE,
Ross Stores Inc,778296103,38450,5859396,SOLE,
Sherwin-Williams Co,824348106,663607,229780560,SOLE,
Stryker Corp,863667101,1220050,451015884,SOLE,
T Rowe Price Group Inc,74144T108,31950,3279348,SOLE,
Texas Instruments Inc,882508104,10095,1854754,SOLE,
TJX Companies Inc,872540109,23198,3353039,SOLE,
Toro Company,891092108,43470,3312414,SOLE,
Tractor Supply Co,892356106,97780,5560749,SOLE,
United Parcel Svc Cl B,911312106,20000,1670600,SOLE,
"United Rentals, Inc.",911363109,2980,2844887,SOLE,
Unitedhealth Group Inc,91324P102,4373,1509997,SOLE,
Veeva Systems Inc. Class A,922475108,413213,123100285,SOLE,
Verisk Analytics Inc,92345Y106,424645,106802464,SOLE,
W.W. Grainger Inc.,384802104,2300,2191808,SOLE,
Waste Management,94106L109,1086589,239951449,SOLE,
Waters Corp,941848103,43936,13172452,SOLE,
"Zoetis, Inc.",98978V103,883924,129335760,SOLE,
Taiwan Semiconductor Manuf,874039100,19120,5340025,SOLE,
