Company,CUSIP,Shares,Value,Discretion
AFFILIATED MANAGERS GROUP IN,008252108,199186,35415274,SOLE
AFFILIATED MANAGERS GROUP IN,008252108,518805,92243529,DFND
AFFILIATED MANAGERS GROUP IN,008252108,6838,1215797,DFND
ALBERTSONS COS INC,013091103,776078,14341923,SOLE
ALBERTSONS COS INC,013091103,1996653,36898147,DFND
ALPHABET INC,02079K107,6527,1091248,DFND
ANYWHERE REAL ESTATE INC,75605Y106,5012,25461,SOLE
ANYWHERE REAL ESTATE INC,75605Y106,3443493,17492944,DFND
ANYWHERE REAL ESTATE INC,75605Y106,42418,215483,DFND
ATLANTA BRAVES HLDGS INC,047726302,1026,40835,SOLE
ATLANTA BRAVES HLDGS INC,047726302,849991,33829642,DFND
BIO RAD LABS INC,090572207,85718,28679528,SOLE
BIO RAD LABS INC,090572207,229642,76833620,DFND
BIO RAD LABS INC,090572207,2976,995710,DFND
BOSTON BEER INC,100557107,113,32673,SOLE
BOSTON BEER INC,100557107,106204,30707825,DFND
CARDINAL HEALTH INC,14149Y108,17581,1943052,DFND
CNH INDL N V,N20944109,1054411,11704,SOLE
CNH INDL N V,N20944109,3871492,42974,DFND
CNX RES CORP,12653C108,1431424,46621480,SOLE
CNX RES CORP,12653C108,4740578,154400626,DFND
DOLE PLC,G27907107,2317,37744,SOLE
DOLE PLC,G27907107,1771388,28855911,DFND
EMPIRE ST RLTY TR INC,292104106,2460,27257,SOLE
EMPIRE ST RLTY TR INC,292104106,1873628,20759798,DFND
ENOVIS CORPORATION,194014502,22786,980937,DFND
FEDEX CORP,31428X106,129243,35371224,SOLE
FEDEX CORP,31428X106,310138,84878568,DFND
FEDEX CORP,31428X106,5481,1500040,DFND
FIDELITY NATL INFORMATION SV,31620M106,402318,33694132,SOLE
FIDELITY NATL INFORMATION SV,31620M106,1074320,89974300,DFND
FIDELITY NATL INFORMATION SV,31620M106,21166,1772652,DFND
GRAHAM HLDGS CO,384637104,13426,11032413,SOLE
GRAHAM HLDGS CO,384637104,57889,47568549,DFND
GRAHAM HLDGS CO,384637104,1491,1225184,DFND
H WORLD GROUP LTD,44332N106,383195,14254853,SOLE
H WORLD GROUP LTD,44332N106,677332,25196750,DFND
HDFC BANK LTD,40415F101,97119,6075765,SOLE
HENRY SCHEIN INC,806407102,15600,1137240,DFND
HOWARD HUGHES HOLDINGS INC,44267T102,395,30585,SOLE
HOWARD HUGHES HOLDINGS INC,44267T102,319418,24732536,DFND
HYATT HOTELS CORP,448579102,42587,6481741,SOLE
HYATT HOTELS CORP,448579102,349347,53170613,DFND
HYATT HOTELS CORP,448579102,9508,1447118,DFND
IAC INC,44891N208,673582,36252182,SOLE
IAC INC,44891N208,1594745,85829176,DFND
LAZARD INC,52110M109,22863,1151838,DFND
LIBERTY MEDIA CORP DEL,531229722,700,35931,SOLE
LIBERTY MEDIA CORP DEL,531229722,551440,28305415,DFND
LIBERTY MEDIA CORP DEL,531229748,181,8961,SOLE
LIBERTY MEDIA CORP DEL,531229748,119706,5926644,DFND
LIVE NATION ENTERTAINMENT IN,538034109,251637,27551734,SOLE
LIVE NATION ENTERTAINMENT IN,538034109,617662,67627812,DFND
LIVE NATION ENTERTAINMENT IN,538034109,14086,1542275,DFND
MADISON SQUARE GRDN SPRT COR,55825T103,4028,838872,DFND
MATTEL INC,577081102,1332973,25393136,SOLE
MATTEL INC,577081102,6624031,126187791,DFND
MATTEL INC,577081102,33320,634746,DFND
MELCO RESORTS AND ENTMNT LTD,585464100,2957910,23042119,SOLE
MELCO RESORTS AND ENTMNT LTD,585464100,3053733,23788580,DFND
MGM RESORTS INTERNATIONAL,552953101,516629,20195026,SOLE
MGM RESORTS INTERNATIONAL,552953101,1664200,65053578,DFND
MGM RESORTS INTERNATIONAL,552953101,17073,667384,DFND
OSCAR HEALTH INC,687793109,3013,63906,SOLE
OSCAR HEALTH INC,687793109,2054712,43580442,DFND
PARK HOTELS & RESORTS INC,700517105,2587,36477,SOLE
PARK HOTELS & RESORTS INC,700517105,2378312,33534199,DFND
PAYPAL HLDGS INC,70450Y103,129179,10079838,SOLE
PAYPAL HLDGS INC,70450Y103,686174,53542157,DFND
PAYPAL HLDGS INC,70450Y103,27545,2149336,DFND
POTLATCHDELTIC CORPORATION,737630103,1439,64827,SOLE
POTLATCHDELTIC CORPORATION,737630103,987727,44497101,DFND
PVH CORPORATION,693656100,84997,8570246,SOLE
PVH CORPORATION,693656100,437447,44107781,DFND
RTX CORPORATION,75513E101,87995,10661474,SOLE
RTX CORPORATION,75513E101,450782,54616747,DFND
RXO INC,74982T103,53978,1511384,DFND
SEAPORT ENTERTAINMENT GRP,812215101,14,0,SOLE
SEAPORT ENTERTAINMENT GRP,812215101,20,0,DFND
SEAPORT ENTMT GROUP INC,812215200,43,1179,SOLE
SEAPORT ENTMT GROUP INC,812215200,35490,973136,DFND
SHARKNINJA INC,G8068L108,581408,63204863,SOLE
WARNER BROS DISCOVERY INC,934423104,1970506,16256674,SOLE
WARNER BROS DISCOVERY INC,934423104,4700848,38781996,DFND
WARNER MUSIC GROUP CORP,934550203,281349,8806223,SOLE
WARNER MUSIC GROUP CORP,934550203,1544530,48343789,DFND
WESTROCK COFFEE CO,96145W103,5942,38623,SOLE
WESTROCK COFFEE CO,96145W103,4767743,30990330,DFND
WESTROCK COFFEE CO,96145W103,106242,690572,DFND
WHITE MOUNTAINS,G9618E107,1805,3062,SOLE
WHITE MOUNTAINS,G9618E107,18933,32114,DFND
XPO INC,983793100,15980,1718010,DFND
