Company,CUSIP,Shares,Value,Discretion,PutCall
ALCON AG,H01301128,7686700,609351,SOLE,
AMAZON COM INC,023135106,1737603,401074,SOLE,
ANALOG DEVICES INC,032654105,1248009,338460,SOLE,
BOOKING HOLDINGS INC,09857L108,42801,229213,SOLE,
CANADIAN PACIFIC KANSAS CITY,13646K108,2957361,217750,SOLE,
CISCO SYS INC,17275R102,3113706,239849,SOLE,
COPART INC,217204106,6010134,235297,SOLE,
EQUIFAX INC,294429105,765955,166197,SOLE,
FAIR ISAAC CORP,303250104,112785,190677,SOLE,
FERRARI N V,N3167Y103,944867,351539,SOLE,
FLUTTER ENTMT PLC,G3643J108,3109426,669888,SOLE,
GE AEROSPACE,369604301,1109389,341725,SOLE,
INTERCONTINENTAL EXCHANGE IN,45866F104,2084185,337555,SOLE,
INTUIT,461202103,238876,158236,SOLE,
LINDE PLC,G54950103,13476,5746,SOLE,
MARSH & MCLENNAN COS INC,571748102,1484860,275471,SOLE,
MASTERCARD INCORPORATED,57636Q104,100109,57150,SOLE,
MICROSOFT CORP,594918104,1020715,493638,SOLE,
MOODYS CORP,615369105,736568,376276,SOLE,
SALESFORCE INC,79466L302,312608,82813,SOLE,
VISA INC,92826C839,1437967,504309,SOLE,
WATERS CORP,941848103,753455,286185,SOLE,
