Company,CUSIP,Shares,Value,Discretion,PutCall
WESCO INTL INC,95082P105,32500,6019000,SOLE,
TEREX CORP NEW,880779103,155000,7236950,SOLE,
WEATHERFORD INTL PLC,G48833118,647274,32564355,SOLE,
CHART INDS INC,16115Q308,274699,45229190,SOLE,
APTIV PLC,G3265R107,350971,23943242,SOLE,
OSHKOSH CORP,688239201,209100,23741214,SOLE,
ASHLAND INC,044186104,296320,14898970,SOLE,
EASTMAN CHEM CO,277432100,134710,10057449,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,119000,13886110,SOLE,
PVH CORPORATION,693656100,130000,8918000,SOLE,
GOODYEAR TIRE & RUBR CO,382550101,915000,9488550,SOLE,
