Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K305,10119,20871,SOLE
AMAZON COM INC,023135106,7148,22117,SOLE
BROOKFIELD ASSET MGMT INC,112585104,986706,43909,SOLE
HUBSPOT INC,443573100,65440,29723,SOLE
NETFLIX INC,64110L106,35273,18401,SOLE
SALESFORCE COM INC,79466L302,201338,42658,SOLE
SLACK TECHNOLOGIES INC,83088V102,371182,15081,SOLE
SPOTIFY TECHNOLOGY S A,L8681T102,54878,14705,SOLE
TRUPANION INC,898202106,408500,31131,SOLE
