Company,CUSIP,Shares,Value,Discretion
ALLIANCE RESOURCE PARTNERS L,01877R108,117000,2925000,SOLE
AMERICAN AXLE & MFG HLDGS IN,024061103,233640,1443895,SOLE
AT&T INC,00206R102,533000,11726000,SOLE
BOISE CASCADE CO DEL,09739D100,40000,5639200,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,258530,12300857,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,80000,4139200,SOLE
BUCKLE INC,118440106,125000,5496250,SOLE
BUILD-A-BEAR WORKSHOP INC,120076104,150000,5155500,SOLE
CHORD ENERGY CORPORATION,674215207,52766,6871716,SOLE
CONDUENT INC,206787103,900935,3630768,SOLE
CTO RLTY GROWTH INC NEW,22948Q101,383900,7301778,SOLE
FOSSIL GROUP INC,34988V106,1333200,1559844,SOLE
GANNETT CO INC,36472T109,1371435,7707465,SOLE
GRAY TELEVISION INC,389375106,1458120,7815523,SOLE
JACKSON FINANCIAL INC,46817M107,130335,11890462,SOLE
LINCOLN NATL CORP IND,534187109,383215,12075105,SOLE
MICROSTRATEGY INC,594972408,50250,8472150,SOLE
NABORS INDUSTRIES LTD,G6359F137,140965,9088014,SOLE
ONEMAIN HLDGS INC,68268W103,149000,7013430,SOLE
PITNEY BOWES INC,724479100,24259,172967,SOLE
QUAD / GRAPHICS INC,747301109,1883815,8552520,SOLE
STELLANTIS N.V,N82405106,390000,5479500,SOLE
TECHNIPFMC PLC,G87110105,8185,214693,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,10950,197319,SOLE
TOTALENERGIES SE,89151E109,7650,494343,SOLE
TUTOR PERINI CORP,901109108,54800,1488368,SOLE
UGI CORP NEW,902681105,202000,5054040,SOLE
UNITED NAT FOODS INC,911163103,271115,4560154,SOLE
VIATRIS INC,92556V106,619000,7186590,SOLE
WESTERN ALLIANCE BANCORP,957638109,132945,11498413,SOLE
