Company,CUSIP,Shares,Value,Discretion,PutCall
Adobe Inc.,00724F101,67894,13929293,SOLE,
AGCO Corporation,001084102,2058488,246362363,SOLE,
"Alexandria Real Estate Equities, Inc.",015271109,80467,4252681,SOLE,
"Alphabet Inc., Class A",02079K305,2937160,1049690448,SOLE,
"Alphabet Inc., Class C",02079K107,564274,199394651,SOLE,
"Amazon.com, Inc.",023135106,4276176,1019230487,SOLE,
American Express Co.,025816109,209821,70971938,SOLE,
American Homes 4 Rent - Class A,02665T306,325590,10913777,SOLE,
American Tower Corp,03027X100,63250,10345803,SOLE,
"ANGI Inc., Class A",00183L201,932653,5549285,SOLE,
"Applied Materials, Inc.",038222105,102521,74073702,SOLE,
"AppLovin Corp., Class A",03831W108,315539,162719473,SOLE,
"AvalonBay Communities, Inc.",053484101,59890,11300644,SOLE,
Bank of America Corp.,060505104,992776,56568376,SOLE,
Bank of N.T. Butterfield & Son Limited,G0772R208,1012140,60222331,SOLE,
Bank of New York Mellon Corp.,064058100,366448,52992003,SOLE,
"Berkshire Hathaway Inc., Class A",084670108,868,650010400,SOLE,
"Berkshire Hathaway Inc., Class B",084670702,738433,369514455,SOLE,
"Brixmor Property Group, Inc.",11120U105,477150,15044540,SOLE,
"BXP, Inc.",101121101,232050,15387236,SOLE,
Camden Property Trust,133131102,86120,9859879,SOLE,
Capital One Financial Corp.,14040H105,8270946,1659420488,SOLE,
"CBRE Group, Inc.",12504L109,25390,3419779,SOLE,
Charles Schwab Corp.,808513105,289871,26746397,SOLE,
"Chime Financial, Inc.",16935C109,2331776,47754772,SOLE,
Chubb Ltd.,H1467J104,1148090,391231100,SOLE,
Cigna Group,125523100,2253424,621243564,SOLE,
"Community Healthcare Trust, Inc.",20369C106,322890,5902429,SOLE,
ConocoPhillips,20825C104,1877583,195190301,SOLE,
COPT Defense Properties,22002T108,292700,10651353,SOLE,
"Cousins Properties, Inc.",222795502,573605,17196678,SOLE,
"Crown Holdings, Inc.",228368106,5470,611655,SOLE,
CubeSmart,229663109,90280,3590436,SOLE,
CVS Health Corporation,126650100,11865916,1227594458,SOLE,
Darling Ingredients Inc.,237266101,170846,9339954,SOLE,
Davis Select Financial ETF,23908L108,2130666,105180322,SOLE,
Davis Select International ETF,23908L405,3915748,111598809,SOLE,
Davis Select U.S. Equity ETF,23908L207,3400745,191053853,SOLE,
Davis Select Worldwide ETF,23908L306,1935585,89501467,SOLE,
Devon Energy Corp.,25179M103,25297991,1045194009,SOLE,
"Digital Realty Trust, Inc.",253868103,73280,13159622,SOLE,
"Douglas Emmett, Inc",25960P109,301580,3558644,SOLE,
"Eastgroup Properties, Inc.",277276101,51230,10375612,SOLE,
"Equinix, Inc.",29444U700,19313,20131678,SOLE,
Equity Residential,29476L107,91855,6239710,SOLE,
"Essex Property Trust, Inc.",297178105,28501,8310607,SOLE,
"Everest Group, Ltd.",G3223R108,126423,45162088,SOLE,
"Extra Space Storage, Inc.",30225T102,27535,4000836,SOLE,
Fermi Inc.,314911108,451400,4134824,SOLE,
Fifth Third Bancorp,316773100,2684183,151307396,SOLE,
"Fiserv, Inc.",337738108,539839,26479103,SOLE,
"Full Truck Alliance Co. Ltd., ADR",35969L108,27639082,224429344,SOLE,
"Healthpeak Properties, Inc.",42250P103,631026,13503956,SOLE,
"Hudson Pacific Properties, Inc.",444097406,315236,4788435,SOLE,
iShares S&P 500 Value Index Fund,464287408,3288,746573,SOLE,
"Janus Living, Inc.",471024109,35000,1005900,SOLE,
"JBS N.V., Class A",N4732M103,50016236,592692397,SOLE,
"JD.com Inc., Class A, ADR",47215P106,283280,7217974,SOLE,
Johnson Controls International plc,G51502105,141422,20659045,SOLE,
"Jones Lang LaSalle, Inc.",48020Q107,12295,3810835,SOLE,
JPMorgan Chase & Co.,46625H100,476389,155936320,SOLE,
"KE Holdings Inc., Class A, ADR",482497104,1850782,26891862,SOLE,
Lam Research Corp.,512807306,2780,1204657,SOLE,
Loews Corp.,540424108,545211,61723337,SOLE,
LyondellBasell Industries N.V.,N53745100,8698852,457993661,SOLE,
M & T Bank Corp,55261F104,58072,13821717,SOLE,
"Markel Group, Inc",570535104,406759,794400127,SOLE,
"Meta Platforms, Inc., Class A",30303M102,1648172,928729727,SOLE,
MGM Resorts International,552953101,23903317,1142790561,SOLE,
Microsoft Corp.,594918104,92973,34704890,SOLE,
"Mid-America Apartment Communities, Inc.",59522J103,21900,3042786,SOLE,
NetEase Inc. - ADR,64110W102,612955,78544448,SOLE,
"Noah Holdings Ltd., Class A, ADS",65487X102,964486,9635215,SOLE,
NVIDIA Corp.,67066G104,154727,30950161,SOLE,
Oracle Corporation,68389X105,74923,10974177,SOLE,
Owens Corning,690742101,2081213,330714230,SOLE,
People Inc.,44891N208,2394024,110507409,SOLE,
"Pinterest, Inc., Class A",72352L106,12574721,264483320,SOLE,
"PNC Financial Services Group, Inc.",693475105,496066,122141371,SOLE,
"Prologis, Inc.",74340W103,178556,24188981,SOLE,
"Public Storage, Inc.",74460D109,37740,12013019,SOLE,
Quest Diagnostics Inc.,74834L100,1555612,329781509,SOLE,
Realty Income Corp.,756109104,92720,5744931,SOLE,
Regency Centers Corporation,758849103,116340,9276952,SOLE,
RenaissanceRe Holdings Ltd,G7496G103,234528,74321923,SOLE,
"Restaurant Brands International, Inc.",76131D103,2800345,203046140,SOLE,
"Rexford Industrial Realty, Inc.",76169C100,191960,6430660,SOLE,
"Rocket Companies, Inc., Class A",77311W101,4463148,70294581,SOLE,
SAP SE - ADR,803054204,60529,9334420,SOLE,
SBA Communications Corp-CL A,78410G104,40700,7181922,SOLE,
"Sea Ltd., Class A, ADR",81141R100,2011812,192792171,SOLE,
"Simon Property Group, Inc.",828806109,49318,11029971,SOLE,
Solventum Corp.,83444M101,6307729,486686122,SOLE,
State Street Corp.,857477103,147966,25095034,SOLE,
"Sun Communities, Inc.",866674104,42480,5093777,SOLE,
"Sunstone Hotel Investors, Inc.",867892101,870120,9962874,SOLE,
"Synopsys, Inc.",871607107,24962,11141731,SOLE,
"Taiwan Semiconductor Manufacturing, ADR",874039100,3980,1900729,SOLE,
"Teck Resources Ltd., Class B",878742204,8363497,497288923,SOLE,
Terreno Realty Corp.,88146M101,111037,7191866,SOLE,
"Texas Instruments, Inc.",882508104,2437486,726548835,SOLE,
"Trip.com Group Ltd., ADR",89677Q107,8761371,349053040,SOLE,
Truist Financial Corp.,89832Q109,208391,10382040,SOLE,
Tyson Foods Inc,902494103,12653717,724483355,SOLE,
U.S. Bancorp,902973304,21453510,1295909823,SOLE,
UnitedHealth Group Inc.,91324P102,1274650,529839298,SOLE,
"Vale S.A., ADR",91912E105,2929850,44064944,SOLE,
"Ventas, Inc.",92276F100,111420,9894096,SOLE,
Viatris Inc.,92556V106,75232254,1194789797,SOLE,
"VICI Properties, Inc.",925652109,215360,5717808,SOLE,
Wells Fargo & Co.,949746101,8008728,661900943,SOLE,
"Wesco International, Inc.",95082P105,363915,125503133,SOLE,
