Company,CUSIP,Shares,Value,Discretion,PutCall
ANHEUSER BUSCH INBEV SA/NV,03524A108,1703000,85269210,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,19655024,8909229279,SOLE,
CANADIAN NATL RY CO,136375102,54826786,5565467047,SOLE,
CATERPILLAR INC,149123101,7353614,2667597015,SOLE,
COCA-COLA FEMSA SAB DE CV,191241108,6214719,484064463,SOLE,
COUPANG INC,22266T109,9248045,203272029,SOLE,
CROWN CASTLE INC,22822V101,1420072,128885735,SOLE,
DANAHER CORPORATION,235851102,373000,85622150,SOLE,
DEERE & CO,244199105,3557378,1507261059,SOLE,
ECOLAB INC,278865100,5218044,1222692070,SOLE,
FEDEX CORP,31428X106,2534362,712992061,SOLE,
HORMEL FOODS CORP,440452100,2195290,68866247,SOLE,
KRAFT HEINZ CO,500754106,2622600,80540046,SOLE,
MADISON SQUARE GRDN SPRT COR,55825T103,592406,133694186,SOLE,
MCDONALDS CORP,580135101,334900,97084161,SOLE,
MICROSOFT CORP,594918104,28457247,11994729611,SOLE,
ON HLDG AG,H5919C104,500000,27385000,SOLE,
PACCAR INC,693718108,1000000,104020000,SOLE,
SCHRODINGER INC,80810D103,6981664,134676299,SOLE,
UNITED PARCEL SERVICE INC,911312106,755089,95216723,SOLE,
VERALTO CORP,92338C103,124333,12663316,SOLE,
WALMART INC,931142103,9090477,821324597,SOLE,
WASTE CONNECTIONS INC,94106B101,2149175,368755447,SOLE,
WASTE MGMT INC DEL,94106L109,32234344,6504568276,SOLE,
