Company,CUSIP,Shares,Value,Discretion,PutCall
AERSALE CORPORATION,00810F106,208726,1484042,SOLE,
ALLEGIANT TRAVEL CO,01748X102,34186,2915040,SOLE,
ALPHABET INC,02079K107,1349592,423501970,SOLE,
ALPHABET INC,02079K305,1911429,598277277,SOLE,
AMAZON COM INC,023135106,1411199,325732953,SOLE,
ANALOG DEVICES INC,032654105,1874867,508463930,SOLE,
AVANTOR INC,05352A100,3968620,45480385,SOLE,
BECTON DICKINSON & CO,075887109,1951246,378678311,SOLE,
BIO RAD LABS INC,090572207,401457,121637456,SOLE,
BROADCOM INC,11135F101,86111,29803017,SOLE,
CARMAX INC,143130102,2924081,112986490,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,461525,96343344,SOLE,
CITIGROUP INC,172967424,3506931,409223778,SOLE,
COMCAST CORP NEW,20030N101,8399831,251070949,SOLE,
DARLING INGREDIENTS INC,237266101,52447,1888092,SOLE,
DELL TECHNOLOGIES INC,24703L202,382985,48210152,SOLE,
DOUGLAS EMMETT INC,25960P109,6528956,71753226,SOLE,
EASTERN BANKSHARES INC,27627N105,85883,1582824,SOLE,
ECHOSTAR CORP,278768106,238933,25972017,SOLE,
ECHOSTAR CORP,278768106,47000,5108900,SOLE,Put
ECHOSTAR CORP,278768AB2,39308974,131291973,SOLE,
META PLATFORMS INC,30303M102,702121,463463051,SOLE,
FERGUSON ENTERPRISES INC,31488V107,887120,197499526,SOLE,
FORTUNE BRANDS INNOVATIONS I,34964C106,3524498,176295390,SOLE,
GULFPORT ENERGY CORP,402635502,127434,26504998,SOLE,
INTERNATIONAL FLAVORS&FRAGRA,459506101,5326041,358921903,SOLE,
ISHARES TR,46435U473,286,13479,SOLE,
ISHARES TR,46436E718,40837,4099218,SOLE,
JEFFERIES FINL GROUP INC,47233W109,2580283,159900138,SOLE,
KINDER MORGAN INC DEL,49456B101,4076504,112063095,SOLE,
LPL FINL HLDGS INC,50212V100,387412,138371944,SOLE,
LAUREATE EDUCATION INC,518613203,101485,3417000,SOLE,
LIBERTY BROADBAND CORP,530307305,2669348,129730313,SOLE,
MARAVAI LIFESCIENCES HLDGS I,56600D107,884883,2875870,SOLE,
MARRIOTT INTL INC NEW,571903202,389857,120949236,SOLE,
NCR VOYIX CORPORATION,62886E108,5038208,51389722,SOLE,
NOV INC,62955J103,8093810,126506250,SOLE,
NCR ATLEOS CORPORATION,63001N106,2040700,77771077,SOLE,
NETFLIX INC,64110L106,16400,1537664,SOLE,
PG&E CORP,69331C108,1142167,18354624,SOLE,
PAR PAC HOLDINGS INC,69888T207,43716,1536180,SOLE,
PIONEER BANCORP INC MD,723561106,166974,2250810,SOLE,
PONCE FINANCIAL GROUP INC,732344106,181562,2968539,SOLE,
RESERVOIR MEDIA INC,76119X105,329066,2491030,SOLE,
RUSH ENTERPRISES INC,781846209,148094,7988190,SOLE,
STAGWELL INC,85256A109,1191918,5828479,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,218572,126651545,SOLE,
TIDEWATER INC NEW,88642R109,94961,4796480,SOLE,
UBER TECHNOLOGIES INC,90353T100,953263,77891120,SOLE,
UNITI GROUP LLC,912932100,25235,176897,SOLE,
UPWORK INC,91688F104,57081,1131345,SOLE,
VAIL RESORTS INC,91879Q109,1087702,144446826,SOLE,
VANGUARD INTL EQUITY INDEX F,922042742,19743,2784948,SOLE,
VORNADO RLTY TR,929042109,1676513,55794353,SOLE,
WABTEC,929740108,444548,94888771,SOLE,
WAYFAIR INC,94419LAF8,4934000,4911797,SOLE,
WELLS FARGO CO NEW,949746101,1109828,103435970,SOLE,
AON PLC,G0403H108,656531,231676659,SOLE,
ICON PLC,G4705A100,980804,178722105,SOLE,
TE CONNECTIVITY PLC,G87052109,1779970,404960975,SOLE,
AMRIZE LTD,H2927K103,3408072,184308534,SOLE,
ORION S.A.,L72967109,417388,2203809,SOLE,
MAGNUM ICE CREAM CO NV,N5505D105,1697675,26908149,SOLE,
NXP SEMICONDUCTORS N V,N6596X109,766330,166339590,SOLE,
