Company,CUSIP,Shares,Value,Discretion
ABERCROMBIE & FITCH CO,002896207,37768,5283743,SOLE
ADVANCED MICRO DEVICES INC,007903107,949785,155840723,SOLE
AIRBNB INC,009066101,16200,2054322,SOLE
ALBERTSONS COS INC,013091103,60206,1112607,SOLE
ALIGHT INC,01626W101,247825,1833905,SOLE
ALLY FINL INC,02005N100,26120,929611,SOLE
AMAZON COM INC,023135106,1526819,284492184,SOLE
AMERICAN AIRLS GROUP INC,02376R102,241572,2715269,SOLE
AMERICAN EAGLE OUTFITTERS IN,02553E106,158699,3553271,SOLE
ANTERO RESOURCES CORP,03674X106,53565,1534637,SOLE
ARCH RESOURCES INC,03940R107,9795,1353277,SOLE
ASTERA LABS INC,04626A103,1156230,60574889,SOLE
AUTOZONE INC,053332102,1149,3619396,SOLE
AXALTA COATING SYS LTD,G0750C108,40552,1467577,SOLE
BAUSCH HEALTH COS INC,071734107,271211,2213082,SOLE
BEST BUY INC,086516101,33622,3473153,SOLE
BJS RESTAURANTS INC,09180C106,7795,253805,SOLE
BJS WHSL CLUB HLDGS INC,05550J101,11659,961634,SOLE
BLOCK H & R INC,093671105,18051,1147141,SOLE
BOOT BARN HLDGS INC,099406100,12670,2119438,SOLE
BRINKER INTL INC,109641100,109171,8354857,SOLE
BROADCOM INC,11135F101,359668,62042730,SOLE
BUCKLE INC,118440106,37037,1628517,SOLE
BUILD-A-BEAR WORKSHOP INC,120076104,105847,3637961,SOLE
CAESARS ENTERTAINMENT INC NE,12769G100,39454,1646810,SOLE
CALERES INC,129500104,31410,1038101,SOLE
CANADIAN NATL RY CO,136375102,9088,1064659,SOLE
CANADIAN PACIFIC KANSAS CITY,13646K108,12967,1109197,SOLE
CAPRI HOLDINGS LIMITED,G1890L107,69054,2930652,SOLE
CARGURUS INC,141788109,59748,1794232,SOLE
CARIBOU BIOSCIENCES INC,142038108,652542,1278982,SOLE
CENTENE CORP DEL,15135B101,384406,28938084,SOLE
CENTURI HOLDINGS INC,155923105,150000,2422500,SOLE
CHENIERE ENERGY INC,16411R208,8979,1614783,SOLE
CHEWY INC,16679L109,125983,3690042,SOLE
CIENA CORP,171779309,35213,2168769,SOLE
CINEMARK HLDGS INC,17243V102,1517771,42254745,SOLE
CLARIVATE PLC,G21810109,271794,1929737,SOLE
COHERENT CORP,19247G107,563922,50138305,SOLE
COMERICA INC,200340107,19202,1150392,SOLE
COMMVAULT SYS INC,204166102,19817,3048845,SOLE
CONSOL ENERGY INC NEW,20854L108,17783,1860991,SOLE
CONSTELLIUM SE,F21107101,84355,1371612,SOLE
COSTCO WHSL CORP NEW,22160K105,275,243793,SOLE
COUPANG INC,22266T109,9974672,244878198,SOLE
CRACKER BARREL OLD CTRY STOR,22410J106,99175,4497586,SOLE
CRH PLC,G25508105,14798,1372367,SOLE
CROCS INC,227046109,24763,3585930,SOLE
CROWN HLDGS INC,228368106,12264,1175872,SOLE
CURIS INC,231269309,582273,3138451,SOLE
DARDEN RESTAURANTS INC,237194105,28144,4619275,SOLE
DAVITA INC,23918K108,12886,2112402,SOLE
DAY ONE BIOPHARMACEUTICALS I,23954D109,2114006,29448104,SOLE
DECKERS OUTDOOR CORP,243537107,11946,1904790,SOLE
DELL TECHNOLOGIES INC,24703L202,33966,4026330,SOLE
DESIGNER BRANDS INC,250565108,107339,792162,SOLE
DESPEGAR COM CORP,G27358103,143217,1775891,SOLE
DOCUSIGN INC,256163106,30866,1916470,SOLE
DOORDASH INC,25809K105,986557,140811281,SOLE
DUTCH BROS INC,26701L100,82193,2632642,SOLE
DXC TECHNOLOGY CO,23355L106,53478,1109669,SOLE
EATON CORP PLC,G29183103,12553,4160566,SOLE
EBAY INC.,278642103,47513,3093571,SOLE
EDWARDS LIFESCIENCES CORP,28176E108,29594,1952908,SOLE
ELDORADO GOLD CORP NEW,284902509,99439,1727255,SOLE
EMERSON ELEC CO,291011104,2596,283925,SOLE
EQUITABLE HLDGS INC,29452E101,41100,1727433,SOLE
ERO COPPER CORP,296006109,88600,1973122,SOLE
ETHAN ALLEN INTERIORS INC,297602104,15697,500577,SOLE
EURONET WORLDWIDE INC,298736109,18549,1840617,SOLE
F5 INC,315616102,13417,2954423,SOLE
FERROGLOBE PLC,G33856108,369540,1714666,SOLE
FIRST HORIZON CORPORATION,320517105,68444,1062935,SOLE
FLOOR & DECOR HLDGS INC,339750101,40474,5025657,SOLE
FLUTTER ENTMT PLC,G3643J108,218733,51900966,SOLE
FORTINET INC,34959E109,14540,1127577,SOLE
FORTREA HLDGS INC,34965K107,84690,1693800,SOLE
FRACTYL HEALTH INC,35168W103,4248492,10748685,SOLE
FREEPORT-MCMORAN INC,35671D857,30323,1513724,SOLE
FRONTIER COMMUNICATIONS PARE,35909D109,74323,2640696,SOLE
GARMIN LTD,H2906T109,13598,2393656,SOLE
GARRETT MOTION INC,366505105,215531,1763044,SOLE
GENERAL MTRS CO,37045V100,23428,1050512,SOLE
GFL ENVIRONMENTAL INC,36168Q104,3658190,145888617,SOLE
GLOBAL TECHNOLGY ACQSTN CORP,G3934N115,599999,30480,SOLE
GLOBAL TECHNOLGY ACQSTN CORP,G3934N107,1200000,13848000,SOLE
GODADDY INC,380237107,9358,1467147,SOLE
GOODYEAR TIRE & RUBR CO,382550101,29095,257491,SOLE
GRAB HOLDINGS LIMITED,G4124C109,552692,2100230,SOLE
GROUPON INC,399473206,75051,733999,SOLE
HDFC BANK LTD,40415F101,103761,6491288,SOLE
HESS CORP,42809H107,7746,1051907,SOLE
HEWLETT PACKARD ENTERPRISE C,42824C109,42839,876486,SOLE
HILTON WORLDWIDE HLDGS INC,43300A203,4904,1130372,SOLE
HOME DEPOT INC,437076102,1567,634948,SOLE
HP INC,40434L105,74077,2657142,SOLE
HUBSPOT INC,443573100,2971,1579384,SOLE
HUDBAY MINERALS INC,443628102,271139,2491767,SOLE
HUMANA INC,444859102,197892,62680312,SOLE
ILLUMINA INC,452327109,16109,2100775,SOLE
INGLES MKTS INC,457030104,28489,2125279,SOLE
INTERNATIONAL FLAVORS&FRAGRA,459506101,11242,1179623,SOLE
INVIVYD INC,00534A102,11765787,12001103,SOLE
JABIL INC,466313103,35306,4230718,SOLE
JETBLUE AWYS CORP,477143101,245657,1611510,SOLE
JONES LANG LASALLE INC,48020Q107,460255,124181402,SOLE
KELLANOVA,487836108,667325,53859801,SOLE
KROGER CO,501044101,7258,415883,SOLE
KYNDRYL HLDGS INC,50155Q100,81525,1873445,SOLE
LA Z BOY INC,505336107,39508,1696078,SOLE
LAM RESEARCH CORP,512807108,27733,22632347,SOLE
LAUDER ESTEE COS INC,518439104,20525,2046137,SOLE
LEVI STRAUSS & CO NEW,52736R102,56075,1222435,SOLE
LIBERTY BROADBAND CORP,530307305,23287,1799852,SOLE
LINEAGE INC,53566V106,350000,27433000,SOLE
LLOYDS BANKING GROUP PLC,539439109,450191,1404596,SOLE
LOGITECH INTL S A,H50430232,23829,2129059,SOLE
LOUISIANA PAC CORP,546347105,12189,1309830,SOLE
LPL FINL HLDGS INC,50212V100,497075,115634557,SOLE
LULULEMON ATHLETICA INC,550021109,344486,93476276,SOLE
LYFT INC,55087P104,170735,2176871,SOLE
MADISON SQUARE GARDEN ENTMT,558256103,42775,1819221,SOLE
MAPLEBEAR INC,565394103,2684425,109363475,SOLE
MASTERBRAND INC,57638P104,120126,2227136,SOLE
MATSON INC,57686G105,7656,1091899,SOLE
MCDONALDS CORP,580135101,20975,6387097,SOLE
MERCADOLIBRE INC,58733R102,21941,45022054,SOLE
MICRON TECHNOLOGY INC,595112103,40532,4203574,SOLE
MICROSOFT CORP,594918104,612455,263539387,SOLE
MIRION TECHNOLOGIES INC,60471A101,183427,2030537,SOLE
MOHAWK INDS INC,608190104,10354,1663681,SOLE
MOODYS CORP,615369105,4410,2092942,SOLE
MR COOPER GROUP INC,62482R107,13543,1248394,SOLE
NATERA INC,632307104,1340045,170118713,SOLE
NATWEST GROUP PLC,639057207,149685,1401052,SOLE
NETAPP INC,64110D104,31793,3926753,SOLE
NETFLIX INC,64110L106,102656,72810821,SOLE
NEWELL BRANDS INC,651229106,267566,2054907,SOLE
NOBLE CORP PLC,G65431127,24455,883804,SOLE
NOMURA HLDGS INC,65535H208,233586,1219319,SOLE
NORDSTROM INC,655664100,173262,3896662,SOLE
NORWEGIAN CRUISE LINE HLDG L,G66721104,341795,7010215,SOLE
NU HLDGS LTD,G6683N103,12118901,165422999,SOLE
NVIDIA CORPORATION,67066G104,2368091,287580971,SOLE
O-I GLASS INC,67098H104,96318,1263692,SOLE
