Company,CUSIP,Shares,Value,Discretion,PutCall
ATS CORP,00217Y104,2486400,79102548,DFND,
AUTOHOME INC,05278C107,54000,1392660,DFND,
BANK OF NOVA SCOTIA,064149107,359100,19825117,DFND,
BERKSHIRE HATHAWAY INC,084670108,1,728170,DFND,
BLACKBERRY LTD,09228F103,40784700,186793926,DFND,
CAPRI HOLDINGS LTD,G1890L107,78100,1381589,DFND,
CLEVELAND-CLIFFS INC,185899101,14899273,113234475,DFND,
COLLIERS INTL GROUP INC,194693107,22000,2817516,DFND,
CVS HEALTH CORP,126650100,2712000,186965280,DFND,
FRANCO-NEVADA CORP,351858105,16800,2752639,DFND,
GARRETT MOTION INC,366505105,304360,3192736,DFND,
GENERAL MOTORS CO,37045V100,375965,18493718,DFND,
HELMERICH & PAYNE INC,423452101,974105,14767432,DFND,
JOHNSON & JOHNSON,478160104,73400,11203042,DFND,
KENNEDY-WILSON HOLDINGS INC,489398107,13322009,90456441,DFND,
KKR & CO INC,48251W104,20000,2658200,DFND,
KRAFT HEINZ CO,500754106,4884000,126056040,DFND,
LIFEWAY FOODS INC,531914109,31618,779384,DFND,
MAGNACHIP SEMICONDUCTOR CORP,55933J203,125000,496250,DFND,
MERCK & CO INC,58933Y105,172900,13676390,DFND,
MOLSON COORS BEVERAGE CO,60871R209,1218500,58597665,DFND,
OCCIDENTAL PETROLEUM CORP,674599105,6050418,254117556,DFND,
ORLA MINING LTD,68634K106,56817229,559636173,DFND,
PENN ENTERTAINMENT INC,707569109,54900,981063,DFND,
PFIZER INC,717081103,650900,15771307,DFND,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,93700,21208995,DFND,
UNDER ARMOUR INC,904311107,6311800,43046476,DFND,
VANGUARD INDEX FUNDS,922908363,72900,41403555,DFND,
