Company,CUSIP,Shares,Value,Discretion,PutCall
AMAZON.COM INC,023135106,169500,40398630,SOLE,
AMRIZE LTD,H2927K103,880000,46904000,SOLE,
APOLLO GLOBAL MANAGEMENT INC,03769M106,1337000,158180470,SOLE,
ARBOR REALTY TRUST INC,038923108,1664739,9022885,SOLE,
ASHLAND INC,044186104,1895000,124861550,SOLE,
CAPITAL ONE FINANCIAL CORP,14040H105,455000,91282100,SOLE,
DIAMEDICA THERAPEUTICS INC,25253X207,3450000,24288000,SOLE,
ENERGY TRANSFER LP,29273V100,13320100,254680312,SOLE,
ENTERPRISE PRODUCTS PARTNERS,293792107,1373755,50499234,SOLE,
FINANCE OF AMERICA COS INC,31738L206,1286068,35392591,SOLE,
FRANKLIN TEMPLETON ETF TR,35473P827,2522,129807,SOLE,
GE HEALTHCARE TECHNOLOGY,36266G107,1309500,83821095,SOLE,
GPGI INC,20459V105,11384508,180444452,SOLE,
ISHARES TR,46434V738,38388,2885626,SOLE,
ISHARES INC,464286509,12531,722287,SOLE,
ISHARES TR,464287465,57453,5968218,SOLE,
ISHARES INC,46434G822,20315,1894780,SOLE,
ISHARES INC,464286665,7610,405309,SOLE,
KAZIA THERAPEUTICS,48669G303,50000,704000,SOLE,
KBR INC,48242W106,2125000,73376250,SOLE,
LITHIA MOTORS INC,536797103,340000,98766600,SOLE,
MANCHESTER UNITED PLC,G5784H106,2932076,67232503,SOLE,
MIRION TECHNOLOGIES INC,60471A101,8383441,150315097,SOLE,
MOTOROLA SOLUTIONS INC,620076307,135000,56064150,SOLE,
MP MATERIALS CORP,553368101,3000000,168030000,SOLE,
ONEMAIN HOLDINGS INC,68268W103,2130000,129866100,SOLE,
PELAGOS INSURANCE CAPITAL LT,G3398L118,8511411,207252858,SOLE,
ROCKET COS INC,77311W101,21016600,331011450,SOLE,
SEA LTD,81141R100,326058,31246138,SOLE,
SUNOCO LP,86765K109,225994,15254595,SOLE,
THE CIGNA GROUP,125523100,325000,89596000,SOLE,
USA TODAY CO INC,36472T109,6271961,53625267,SOLE,
VANGUARD INTL EQUITY INDEX F,922042874,24693,2186318,SOLE,
VANGUARD SCOTTSDALE FDS,92206C706,25028,1476151,SOLE,
VANGUARD INDEX FDS,922908363,42891,29457968,SOLE,
VANGUARD MUN BD FDS,922907746,12876,651268,SOLE,
VERTIV HOLDINGS CO,92537N108,2157789,722470913,SOLE,
WILLSCOT HOLDINGS CORP,971378104,4031016,116335122,SOLE,
Whitehawk Minerals Corp.,96524T101,3261216,90727029,SOLE,
