Company,CUSIP,Shares,Value,Discretion
SAVERS VALUE VILLAGE ORD,80517M109,780000,10335000,SOLE
HEICO CL A ORD,422806208,2171,551629,SOLE
CDW ORD,12514G108,100000,15928000,SOLE
BATH AND BODY WORKS ORD,070830104,1370000,35291200,SOLE
BEL FUSE CL A ORD,077347201,4001,465516,SOLE
DOMINOS PIZZA ORD,25754A201,37000,15973270,SOLE
LAMAR ADVERTISING CL A REIT,512816109,170000,20811400,SOLE
BEL FUSE CL B ORD,077347300,100000,14102000,SOLE
FLUTTER ENTERTAINMENT ORD,G3643J108,81422,20681188,SOLE
CHARTER COMMUNICATIONS CL A ORD,16119P108,164000,45117220,SOLE
LIMBACH HOLDINGS ORD,53263P105,52239,5073452,SOLE
CACTUS CL A ORD,127203107,263409,10396753,SOLE
