Company,CUSIP,Shares,Value,Discretion,PutCall
AAR CORP,000361105,23561,3367574,SOLE,
ABBOTT LABORATORIES,002824100,3156,286379,SOLE,
ACCENTURE PLC IRELAND,G1151C101,152800,19014387,SOLE,
ADAPTIVE BIOTECHNOLOGIES COR,00650F109,102457,2197703,SOLE,
ADEIA INC,00676P107,52575,1731295,SOLE,
ADOBE INC,00724F101,7581,1554192,SOLE,
ADTRAN HOLDINGS INC,00486H105,70292,977059,SOLE,
ADVANCED ENERGY INDS,007973100,1503,560424,SOLE,
ADVANCED MICRO DEVICES INC,007903107,417,242239,SOLE,
AEHR TEST SYS,00760J108,66157,6355041,SOLE,
AFFIRM HLDGS INC,00827B106,8958,730525,SOLE,
AIRBNB INC,009066101,1649884,236098385,SOLE,
AIRJOULE TECHNOLOGIES CORP,612160101,243378,1348314,SOLE,
AKTIS ONCOLOGY INC,01021M104,63514,2047056,SOLE,
ALLIANCE LAUNDRY HLDGS INC,01862Q107,12442,329962,SOLE,
ALPHA TAU MEDICAL LTD,M0740A108,220751,2777048,SOLE,
ALPHABET INC,02079K305,27810,9938557,SOLE,
ALPHABET INC,02079K107,2165218,765036342,SOLE,
AMAZON COM INC,023135106,2809953,669724194,SOLE,
AMERICAN PUB ED INC,02913V103,13971,750243,SOLE,
AMPRIUS TECHNOLOGIES INC,03214Q108,465598,6453188,SOLE,
AON PLC,G0403H108,164035,54408954,SOLE,
APPLE INC,037833100,2892,836742,SOLE,
APPLIED DIGITAL CORP,038169207,98328,3667634,SOLE,
APPLIED OPTOELECTRONICS INC,03823U102,19272,2855340,SOLE,
ARGAN INC,04010E109,10214,8156390,SOLE,
ARROWHEAD PHARMACEUTICALS IN,04280A100,6612,538944,SOLE,
ASML HLDG NV,N07059210,15427,30691889,SOLE,
ASP ISOTOPES INC,00218A105,149559,930257,SOLE,
ASTEC INDS INC,046224101,52160,3191670,SOLE,
ASTRAZENECA PLC,G0593M107,18621,3513550,SOLE,
ASTRONICS CORP,046433108,39379,3199938,SOLE,
ATI INC,01741R102,819236,161471378,SOLE,
AURORA INNOVATION INC,051774107,32520,221786,SOLE,
AXSOME THERAPEUTICS INC.,05464T104,4468,1093632,SOLE,
AXT INC,00246W103,52707,3799121,SOLE,
AZZ INC,002474104,17364,2692288,SOLE,
BABCOCK & WILCOX ENTERPRISES,05614L209,249411,3516695,SOLE,
BACKBLAZE INC,05637B105,13268,210430,SOLE,
BEL FUSE INC,077347300,32845,10938699,SOLE,
BILLIONTOONE INC,090168105,16975,2036661,SOLE,
BITDEER TECHNOLOGIES GROUP,G11448100,79540,1262300,SOLE,
BLOOM ENERGY CORP,093712107,40838,12361663,SOLE,
BOSTON SCIENTIFIC CORP,101137107,4750,202733,SOLE,
BRIDGEBIO PHARMA INC,10806X102,4002,298069,SOLE,
BROADCOM INC,11135F101,1960209,740468936,SOLE,
BROOKDALE SR LIVING INC,112463104,451082,7257909,SOLE,
BUTTERFLY NETWORK INC,124155102,480502,4045827,SOLE,
BWX TECHNOLOGIES INC,05605H100,36974,7196989,SOLE,
CALLAWAY GOLF CO,131193104,146013,2743584,SOLE,
CAMECO CORP,13321L108,68968,7026488,SOLE,
CAMTEK LTD,M20791105,4113,670913,SOLE,
CARDINAL INFRASTRUCTURE GROU,14154A102,30787,2900135,SOLE,
CARPENTER TECHNOLOGY CORP,144285103,6756,4167371,SOLE,
CARVANA CO,146869102,37504,2468513,SOLE,
CECO ENVIRONMENTAL CORP,125141101,137977,12520033,SOLE,
CHEESECAKE FACTORY INC,163072101,33297,2648443,SOLE,
CHINA YUCHAI INTL LTD,G21082105,19146,907712,SOLE,
CHURCHILL CAP CORP XI,G2131A108,45590,795546,SOLE,
CLEAR SECURE INC,18467V109,131773,7343709,SOLE,
CONSTRUCTION PARTNERS INC,21044C107,22291,2647502,SOLE,
COPA HOLDINGS SA,P31076105,18948,2947740,SOLE,
COSTAR GROUP INC,22160N109,8759314,248063762,SOLE,
COVENANT LOGISTICS GROUP INC,22284P105,31943,1411242,SOLE,
CURTISS WRIGHT CORP,231561101,2085,1579930,SOLE,
DESCARTES SYS GROUP INC,249906108,6987,483759,SOLE,
DIANTHUS THERAPEUTICS INC,252828108,9333,909781,SOLE,
DIGITALOCEAN HLDGS INC,25402D102,101350,15914991,SOLE,
DLOCAL LTD,G29018101,456087,5926851,SOLE,
EIKON THERAPEUTICS INC,282564103,35742,466433,SOLE,
EL POLLO LOCO HLDGS INC,268603107,46419,787266,SOLE,
ELI LILLY & CO,532457108,666912,799914391,SOLE,
EMBRAER S.A.,29082A107,14701,937924,SOLE,
EMCOR GROUP INC,29084Q100,103123,85580055,SOLE,
ENTRAVISION COMMUNICATIONS C,29382R107,236939,3089685,SOLE,
ERMENEGILDO ZEGNA N V,N30577105,111273,1448774,SOLE,
ERO COPPER CORP,296006109,62613,1674898,SOLE,
ESTABLISHMENT LABS HLDGS INC,G31249108,22541,1934243,SOLE,
ETON PHARMACEUTICALS INC,29772L108,45379,1642720,SOLE,
ETSY INC,29786A106,2968,223579,SOLE,
EVERPURE INC,74624M102,3828,301608,SOLE,
FABRINET,G3323L100,2087,1173061,SOLE,
FIDELITY COVINGTON TRUST,316092857,8672,254099,SOLE,
FIVE9 INC,338307101,117256,2499898,SOLE,
FLOTEK INDUSTRIES INC,343389409,195504,4598254,SOLE,
FORGENT POWER SOLUTIONS INC,34631F102,50328,2811322,SOLE,
FORMFACTOR INC,346375108,3591,574309,SOLE,
FRANKLIN RESOURCES INC,354613101,13760,457795,SOLE,
FTAI AVIATION LTD,G3730V105,1404,379824,SOLE,
GE AEROSPACE,369604301,690493,258058054,SOLE,
GE VERNOVA INC,36828A101,196612,230991228,SOLE,
GLAUKOS CORP,377322102,4818,673364,SOLE,
GLOBAL X FDS,37954Y889,11866,1050141,SOLE,
GRAHAM CORP,384556106,15852,1962319,SOLE,
GREEN BRICK PARTNERS INC,392709101,15242,1219970,SOLE,
GUARDANT HEALTH INC,40131M109,34372,5156831,SOLE,
HOWMET AEROSPACE INC,443201108,457124,122902480,SOLE,
HYPERLIQUID STRATEGIES INC,44916Y106,340311,2678248,SOLE,
ICICI BANK LIMITED,45104G104,38124,1106754,SOLE,
IDEXX LABS INC,45168D104,532384,280268269,SOLE,
IES HOLDINGS INC,44951W106,7275,5344652,SOLE,
INTEGRA RES CORP,45826T509,241160,535439,SOLE,
INTUITIVE SURGICAL INC,46120E602,447944,178138555,SOLE,
ISHARES TR,464288240,27755,2112432,SOLE,
ISHARES TR,464288257,120540,18921215,SOLE,
ISHARES TR,464287614,613639,76195524,SOLE,
ISHARES TR,464287572,2616,357330,SOLE,
JAZZ PHARMACEUTICALS PLC,G50871105,1858,447722,SOLE,
JFROG LTD,M6191J100,93117,8462473,SOLE,
JOBY AVIATION INC,G65163100,332157,2962840,SOLE,
KNOWLES CORP,49926D109,58485,2425958,SOLE,
KODIAK SCIENCES INC,50015M109,35469,1381872,SOLE,
LAM RESEARCH CORP,512807306,859036,372246307,SOLE,
LATTICE SEMICONDUCTOR CORP,518415104,3478,531995,SOLE,
LIFE TIME GROUP HOLDINGS INC,53190C102,76705,3132632,SOLE,
LIGHTPATH TECHNOLOGIES INC,532257805,314476,5141683,SOLE,
LINDBLAD EXPEDITIONS HLDGS I,535219109,114915,3245200,SOLE,
LITTELFUSE INC,537008104,7016,3194595,SOLE,
LUMENTUM HLDGS INC,55024U109,243,208509,SOLE,
MACOM TECH SOLUTIONS HLDGS I,55405Y100,2048,778998,SOLE,
MAMAS CREATIONS INC,56146T103,100497,1793871,SOLE,
MARINEMAX INC,567908108,6750,247185,SOLE,
MASTERCARD INCORPORATED,57636Q104,1141958,586509275,SOLE,
MAYVILLE ENGR CO INC,578605107,61827,2316039,SOLE,
MERCADOLIBRE INC,58733R102,25926,44005802,SOLE,
MERCURY SYS INC,589378108,2904,355246,SOLE,
META PLATFORMS INC,30303M102,329573,185645377,SOLE,
MICROSOFT CORP,594918104,2098613,782824321,SOLE,
MILLERKNOLL INC,600544100,12466,255054,SOLE,
MILLICOM INTL CELLULAR S A,L6388F110,33602,3049718,SOLE,
MIRUM PHARMACEUTICALS INC,604749101,20899,2446646,SOLE,
MITEK SYS INC,606710200,35504,714696,SOLE,
MODINE MFG CO,607828100,29335,7833032,SOLE,
MSCI INC,55354G100,671797,376233195,SOLE,
MUELLER INDS INC,624756102,5172,317923,SOLE,
NATERA INC,632307104,1627,441649,SOLE,
NATIONAL ENERGY SERVICES REU,G6375R107,38252,1144882,SOLE,
NETFLIX INC.,64110L106,68139,4865159,SOLE,
NEXGEN ENERGY LTD,65340P106,62639,588089,SOLE,
NLIGHT INC,65487K100,133448,9290650,SOLE,
NOVANTA INC,67000B104,13366,2168500,SOLE,
NU HLDGS LTD,G6683N103,752747,10056694,SOLE,
NVIDIA CORPORATION,67066G104,3978446,796047269,SOLE,
ON HLDG AG,H5919C104,58741,2080619,SOLE,
OOMA INC,683416101,21039,404370,SOLE,
OPENLANE INC,48238T109,30970,1277203,SOLE,
OPPENHEIMER HLDGS INC,683797104,26834,2832060,SOLE,
ORACLE CORP,68389X105,3574259,523807723,SOLE,
OSCAR HEALTH INC,687793109,38701,1103753,SOLE,
OUTFRONT MEDIA INC,69007J304,60351,1977099,SOLE,
PENGUIN SOLUTIONS INC,706915105,28293,2150551,SOLE,
PLANET LABS PBC,72703X106,149211,4943360,SOLE,
POWELL INDS INC,739128106,29181,8356271,SOLE,
PRAXIS PRECISION MEDICINES I,74006W207,7252,2427897,SOLE,
PREFORMED LINE PRODS CO,740444104,6875,2822600,SOLE,
PROTAGONIST THERAPEUTICS INC,74366E102,22651,2776560,SOLE,
PROTO LABS INC,743713109,35011,2853747,SOLE,
PTC THERAPEUTICS INC,69366J200,24916,2032398,SOLE,
PURSUIT ATTRACTIONS AND HOSP,92552R406,19995,1119120,SOLE,
RACKSPACE TECHNOLOGY INC,750102105,709189,4631004,SOLE,
RESOLUTE HLDGS MGMT INC,76134H101,11464,1656892,SOLE,
RINGCENTRAL INC,76680R206,40133,1564384,SOLE,
ROCKET LAB CORP,773121108,22751,2312639,SOLE,
ROIVANT SCIENCES LTD,G76279101,8659,306442,SOLE,
ROLLINS INC,775711104,1590903,66404276,SOLE,
RUBRIK INC.,781154109,6201,497816,SOLE,
RXO INC,74982T103,37400,1031866,SOLE,
SANDISK CORP,80004C200,193,438830,SOLE,
SANMINA CORP,801056102,886,224229,SOLE,
SAP SE,803054204,28773,4434182,SOLE,
SCHOLAR ROCK HLDG CORP,80706P103,52132,2867260,SOLE,
SEA LTD,81141R100,23119,2215493,SOLE,
SEMTECH CORP,816850101,13353,2161183,SOLE,
SERVICENOW INC,81762P102,5370172,533150641,SOLE,
SHARKNINJA INC,G8068L108,4146,631311,SOLE,
SHOPIFY INC,82509L107,4577524,522661619,SOLE,
SITIME CORP,82982T106,5555,4141586,SOLE,
SOFI TECHNOLOGIES INC,83406F102,65611,1176405,SOLE,
SOLARIS ENERGY INFRAS INC,83418M103,80324,6462869,SOLE,
SPACE EXPLORATION TECHN CORP,84615Q103,6705,1145616,SOLE,
SPHERE ENTERTAINMENT CO,55826T102,38529,6666673,SOLE,
SPOTIFY TECHNOLOGY S A,L8681T102,81578,37455057,SOLE,
STARBUCKS CORP,855244109,3550773,362853519,SOLE,
STATE STR SPDR S&P 500 ETF T,78462F103,4018,3000749,SOLE,
