Company,CUSIP,Shares,Value,Discretion,PutCall
ALASKA AIR GROUP INC,011659109,378591,18846260,SOLE,
AMERICAN EXPRESS CO,025816109,4106,1363849,SOLE,
APPLE INC,037833100,4140,1054168,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,250239,125805155,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,116,87487200,SOLE,
CHEVRON CORP NEW,166764100,6389,992148,SOLE,
COCA COLA CO,191216100,15328,1016553,SOLE,
COSTCO WHSL CORP NEW,22160K105,3435,3179539,SOLE,
CUMMINS INC,231021106,39936,16867768,SOLE,
DECKERS OUTDOOR CORP,243537107,374841,37997632,SOLE,
DISNEY WALT CO,254687106,145536,16663816,SOLE,
DOLLAR GEN CORP NEW,256677105,925826,95684075,SOLE,
DOLLAR TREE INC,256746108,505157,47671666,SOLE,
EQUINOR ASA,29446M102,573731,13987562,SOLE,
EXXON MOBIL CORP,30231G102,57840,6521460,SOLE,
FIVE BELOW INC,33829M101,308341,47700353,SOLE,
FLEX LTD,Y2573F102,5090,295067,SOLE,
GE AEROSPACE,369604301,9352,2813269,SOLE,
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,344033,SOLE,
GE VERNOVA INC,36828A101,3436,2112796,SOLE,
HF SINCLAIR CORP,403949100,356712,18670308,SOLE,
ISHARES TR,46436E718,5565,560396,SOLE,
KINROSS GOLD CORP,496902404,2589755,64355412,SOLE,
MERCK & CO INC,58933Y105,44443,3730101,SOLE,
NEWMONT CORP,651639106,678207,57179658,SOLE,
NXP SEMICONDUCTORS N V,N6596X109,13394,3050216,SOLE,
OLIN CORP,680665205,1924245,48086879,SOLE,
OVINTIV INC,69047Q102,16487,665745,SOLE,
PARAMOUNT SKYDANCE CORP,69932A204,659284,12473652,SOLE,
PHILLIPS 66,718546104,1472,200221,SOLE,
SEACOR MARINE HLDGS INC,78413P101,211480,1372505,SOLE,
SHELL PLC,780259305,4968,355361,SOLE,
SPROTT ASSET MANAGEMENT LP,85207H104,23869,707000,SOLE,
STARBUCKS CORP,855244109,238961,20216115,SOLE,
SYNCHRONY FINANCIAL,87165B103,4437,315249,SOLE,
TRAVELERS COMPANIES INC,89417E109,19100,5333102,SOLE,
VALERO ENERGY CORP,91913Y100,199527,33971550,SOLE,
WORLD GOLD TR,98149E303,19864,1518603,SOLE,
