Company,CUSIP,Shares,Value,Discretion
ALCON AG,H01301128,7713406,681452,SOLE
AMAZON COM INC,023135106,1460648,320452,SOLE
ANALOG DEVICES INC,032654105,1267990,301807,SOLE
BOOKING HOLDINGS INC,09857L108,69107,400077,SOLE
BOOZ ALLEN HAMILTON HLDG COR,099502106,90033,9375,SOLE
CADENCE DESIGN SYSTEM INC,127387108,131807,40616,SOLE
CANADIAN NATL RY CO,136375102,19073,1984,SOLE
COPART INC,217204106,5340975,262082,SOLE
EQUIFAX INC,294429105,911820,236499,SOLE
FAIR ISAAC CORP,303250104,153273,280177,SOLE
FERRARI N V,N3167Y103,646106,316595,SOLE
FLUTTER ENTMT PLC,G3643J108,2973210,847503,SOLE
GE AEROSPACE,369604301,2063006,530997,SOLE
ILLUMINA INC,452327109,533954,50945,SOLE
INTERCONTINENTAL EXCHANGE IN,45866F104,2191657,402103,SOLE
INTUIT,461202103,675783,532267,SOLE
LINDE PLC,G54950103,81953,38451,SOLE
MARSH & MCLENNAN COS INC,571748102,1782200,389660,SOLE
MICROSOFT CORP,594918104,1272557,632983,SOLE
MOODYS CORP,615369105,827554,415093,SOLE
SALESFORCE INC,79466L302,469254,127961,SOLE
THERMO FISHER SCIENTIFIC INC,883556102,26427,10715,SOLE
VISA INC,92826C839,1643373,583480,SOLE
WATERS CORP,941848103,787346,274815,SOLE
ZOETIS INC,98978V103,1510926,235629,SOLE
