Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,3400,251501,SOLE
ALLY FINL INC,02005N100,155686,6459987,SOLE
BAUSCH HEALTH COS INC,071734107,715000,7755048,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,80,51885213,SOLE
BLACKBERRY LTD,09228F103,312900,876088,SOLE
CHINA YUCHAI INTL LTD,G21082105,73364,639728,SOLE
CITIGROUP INC,172967424,57695,3729865,SOLE
HERTZ GLOBAL HLDGS INC,42806J148,741583,3365936,SOLE
LIBERTY GLOBAL PLC,G61188101,96823,1674719,SOLE
MAGNA INTL INC,559222401,10000,556929,SOLE
METHANEX CORP,59151K108,4000,182242,SOLE
NAVIENT CORPORATION,63938C108,183338,3261105,SOLE
RYANAIR HOLDINGS PLC,783513203,2375,353475,SOLE
STELLANTIS N.V,N82405106,30000,867902,SOLE
SYNCHRONY FINANCIAL,87165B103,120000,5289603,SOLE
WELLS FARGO CO NEW,949746101,19542,1157872,SOLE
LIBERTY MEDIA CORP DEL,531229789,15032,456544,SOLE
IMPERIAL OIL LTD,453038408,5000,352553,SOLE
