Company,CUSIP,Shares,Value,Discretion,PutCall
ABBVIE INC,00287Y109,1670,296759,SOLE,
ABM INDS INC,000957100,850914,43549779,SOLE,
ADIENT PLC,G0084W101,3629452,62535458,SOLE,
ADVANCE AUTO PARTS INC,00751Y106,3270897,154680719,SOLE,
ALIBABA GROUP HLDG LTD,01609W102,54425,4614706,SOLE,
AMBEV SA,02319V103,13835615,25595888,SOLE,
AMDOCS LTD,G02602103,132812,11307614,DFND,
AMDOCS LTD,G02602103,6501737,553557888,SOLE,
AMERICAN INTL GROUP INC,026874784,475820,34639696,SOLE,
AMERICAN WOODMARK CORPORATIO,030506109,489517,38931287,SOLE,
AMGEN INC,031162100,803,209294,SOLE,
ARCELORMITTAL SA LUXEMBOURG,03938L203,36046,833736,SOLE,
ARROW ELECTRS INC,042735100,221239,25026556,SOLE,
ASSOCIATED BANC CORP,045487105,1798807,42991487,SOLE,
AVNET INC,053807103,7269195,380324282,SOLE,
AXIS CAP HLDGS LTD,G0692U109,225236,19960414,SOLE,
BAIDU INC,056752108,319787,26961242,SOLE,
BANK AMERICA CORP,060505104,282564,12418688,DFND,
BANK AMERICA CORP,060505104,16329758,717692864,SOLE,
BARCLAYS PLC,06738E204,86226,1145939,SOLE,
BAXTER INTL INC,071813109,674825,19677897,DFND,
BAXTER INTL INC,071813109,32963471,961214814,SOLE,
BELDEN INC,077454106,4378,493007,SOLE,
BREAD FINANCIAL HOLDINGS INC,018581108,722139,44093807,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,246566,13945773,DFND,
BRISTOL-MYERS SQUIBB CO,110122108,13054733,738375698,SOLE,
C H ROBINSON WORLDWIDE INC,12541W209,305333,31547006,SOLE,
CAPITAL ONE FINL CORP,14040H105,93241,16626735,DFND,
CAPITAL ONE FINL CORP,14040H105,6074475,1083200382,SOLE,
CBRE GROUP INC,12504L109,395439,51917186,SOLE,
CENCORA INC,03073E105,1204,270515,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,41416,14196162,DFND,
CHARTER COMMUNICATIONS INC N,16119P108,2765557,947949973,SOLE,
CIA ENERGETICA DE MINAS GERA,204409601,1583394,2802607,SOLE,
CISCO SYS INC,17275R102,1857059,109937893,SOLE,
CITIGROUP INC,172967424,268479,18898237,DFND,
CITIGROUP INC,172967424,13465702,947850764,SOLE,
CNO FINL GROUP INC,12621E103,3179386,118304953,SOLE,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,180764,13900752,DFND,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,17485238,1344614802,SOLE,
COLUMBIA BKG SYS INC,197236102,1429054,38598749,SOLE,
COMERICA INC,200340107,433892,26836220,SOLE,
CONCENTRIX CORP,20602D101,2349599,101667149,SOLE,
COREBRIDGE FINL INC,21871X109,4638455,138828958,SOLE,
CREDICORP LTD,G2519Y108,1080579,198091742,SOLE,
CVS HEALTH CORP,126650100,443478,19907727,DFND,
CVS HEALTH CORP,126650100,19167101,860411164,SOLE,
DANA INC,235825205,3098537,35819088,SOLE,
DELTA AIR LINES INC DEL,247361702,174364,10549022,DFND,
DELTA AIR LINES INC DEL,247361702,4757906,287853313,SOLE,
DIAMONDROCK HOSPITALITY CO,252784301,8600791,77665143,SOLE,
DISNEY WALT CO,254687106,6506,724443,SOLE,
DOLLAR GEN CORP NEW,256677105,194509,14747672,DFND,
DOLLAR GEN CORP NEW,256677105,11572827,877451743,SOLE,
DOLLAR TREE INC,256746108,6939,520009,SOLE,
