Company,CUSIP,Shares,Value,Discretion
ABBVIE INC,00287Y109,101261,19997022,SOLE
ACCENTURE PLC IRELAND,G1151C101,805,284551,SOLE
AFLAC INC,001055102,6201,693272,SOLE
ALPHABET INC,02079K107,163875,27398261,SOLE
ALPHABET INC,02079K305,3062,507833,SOLE
AMAZON COM INC,023135106,121287,22599407,SOLE
AMERICAN ELEC PWR CO INC,025537101,229980,23595948,SOLE
AMERICAN EXPRESS CO,025816109,3212,871094,SOLE
AMGEN INC,031162100,47449,15288542,SOLE
APPLE INC,037833100,140607,32761431,SOLE
BANK AMERICA CORP,060505104,6301,250024,SOLE
BANK NEW YORK MELLON CORP,064058100,514356,36961622,SOLE
BECTON DICKINSON & CO,075887109,35295,8509625,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,2774,1276761,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,5619,290727,SOLE
CAPITAL ONE FINL CORP,14040H105,2414,361448,SOLE
CISCO SYS INC,17275R102,574239,30561000,SOLE
COLGATE PALMOLIVE CO,194162103,2583,268141,SOLE
COMCAST CORP NEW,20030N101,730834,30526936,SOLE
COMPUGEN LTD,M25722105,93833,169838,SOLE
COSTCO WHSL CORP NEW,22160K105,544,482267,SOLE
CVS HEALTH CORP,126650100,7161,450284,SOLE
DANAHER CORPORATION,235851102,1703,473468,SOLE
EATON CORP PLC,G29183103,842,279072,SOLE
ELI LILLY & CO,532457108,302,267554,SOLE
EXXON MOBIL CORP,30231G102,4408,516706,SOLE
FEDEX CORP,31428X106,50047,13696863,SOLE
FISERV INC,337738108,35971,6462190,SOLE
GARTNER INC,366651107,400,202704,SOLE
GENERAL DYNAMICS CORP,369550108,25448,7690386,SOLE
GILEAD SCIENCES INC,375558103,181662,15230542,SOLE
GOLDMAN SACHS GROUP INC,38141G104,36108,17877432,SOLE
HOME DEPOT INC,437076102,46001,18639605,SOLE
INTERNATIONAL BUSINESS MACHS,459200101,1123,248273,SOLE
INTUIT,461202103,450,279450,SOLE
INVESCO QQQ TR,46090E103,1250,609992,SOLE
ISHARES INC,46434G103,4926,282817,SOLE
ISHARES TR,464287200,3254,1877236,SOLE
ISHARES TR,46435G516,4259,358480,SOLE
ISHARES TR,464287598,6604,1253434,SOLE
ISHARES TR,464287465,15277,1277634,SOLE
ISHARES TR,464287655,10601,2341567,SOLE
ISHARES TR,464287499,49939,4401641,SOLE
ISHARES TR,464287622,721,226823,SOLE
ISHARES TR,464287804,36016,4212463,SOLE
ISHARES TR,464287630,1765,294437,SOLE
ISHARES TR,464287614,19412,7287014,SOLE
JOHNSON & JOHNSON,478160104,3375,546953,SOLE
JPMORGAN CHASE & CO.,46625H100,166791,35169550,SOLE
L3HARRIS TECHNOLOGIES INC,502431109,57218,13610446,SOLE
LOWES COS INC,548661107,14390,3897532,SOLE
M & T BK CORP,55261F104,91870,16363884,SOLE
MARKER THERAPEUTICS INC,57055L206,15000,42300,SOLE
MCDONALDS CORP,580135101,1074,327044,SOLE
MEDTRONIC PLC,G5960L103,308366,27762191,SOLE
MERCK & CO INC,58933Y105,2862,325009,SOLE
META PLATFORMS INC,30303M102,40489,23177523,SOLE
MICROSOFT CORP,594918104,141215,60764815,SOLE
MORGAN STANLEY,617446448,301627,31441598,SOLE
NEXTERA ENERGY INC,65339F101,230026,19444098,SOLE
NUCOR CORP,670346105,2698,405617,SOLE
NVIDIA CORPORATION,67066G104,8807,1069522,SOLE
PARAMOUNT GLOBAL,92556H206,47115,500361,SOLE
PAYPAL HLDGS INC,70450Y103,224308,17502753,SOLE
PEPSICO INC,713448108,31497,5356065,SOLE
PFIZER INC,717081103,291405,8433261,SOLE
PNC FINL SVCS GROUP INC,693475105,175392,32421211,SOLE
PROCTER AND GAMBLE CO,742718109,2183,378096,SOLE
PROVIDENT FINL SVCS INC,74386T105,13623,252843,SOLE
QUALCOMM INC,747525103,167660,28510583,SOLE
RTX CORPORATION,75513E101,70381,8527362,SOLE
SELECT SECTOR SPDR TR,81369Y803,1180,266397,SOLE
SKYX PLATFORMS CORP,78471E105,130000,110500,SOLE
SPDR GOLD TR,78463V107,3966,963976,SOLE
SPDR S&P MIDCAP 400 ETF TR,78467Y107,6514,3711023,SOLE
SPDR SER TR,78468R796,11784,556802,SOLE
SPDR SER TR,78464A763,3849,546775,SOLE
SPDR SER TR,78464A409,3411,282908,SOLE
STARBUCKS CORP,855244109,209955,20468513,SOLE
T ROWE PRICE ETF INC,87283Q107,59381,2353862,SOLE
TE CONNECTIVITY PLC,G87052109,93749,14155162,SOLE
TESLA INC,88160R101,833,217938,SOLE
TEXAS INSTRS INC,882508104,87403,18054838,SOLE
THERMO FISHER SCIENTIFIC INC,883556102,19753,12218613,SOLE
TYSON FOODS INC,902494103,167827,9995776,SOLE
UNION PAC CORP,907818108,67900,16735992,SOLE
UNITEDHEALTH GROUP INC,91324P102,24523,14338108,SOLE
US BANCORP DEL,902973304,625030,28582622,SOLE
VANGUARD INDEX FDS,922908751,1168,277121,SOLE
VANGUARD INDEX FDS,922908769,3417,967578,SOLE
VANGUARD INDEX FDS,922908744,3877,676808,SOLE
VANGUARD INDEX FDS,922908363,19317,10193140,SOLE
VANGUARD INDEX FDS,922908629,989,260943,SOLE
VANGUARD INDEX FDS,922908736,3152,1210149,SOLE
VANGUARD INTL EQUITY INDEX F,922042858,40161,1921710,SOLE
VANGUARD SPECIALIZED FUNDS,921908844,3453,683997,SOLE
VANGUARD TAX-MANAGED FDS,921943858,180407,9527292,SOLE
VANGUARD WHITEHALL FDS,921946406,65726,8426027,SOLE
VISA INC,92826C839,969,266427,SOLE
WALMART INC,931142103,4841,390911,SOLE
WELLS FARGO CO NEW,949746101,237435,13412703,SOLE
ZIMMER BIOMET HOLDINGS INC,98956P102,99495,10740485,SOLE
