Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,2077988,324644,SOLE,
CLARIVATE PLC,G21810109,10777863,42357,SOLE,
CRH PLC,G25508105,2694395,237026,SOLE,
DOLLAR GEN CORP NEW,256677105,2104876,185082,SOLE,
EAGLE MATLS INC,26969P108,909633,201875,SOLE,
ELEVANCE HEALTH INC,036752103,246000,107000,SOLE,
FERGUSON ENTERPRISES INC,31488V107,1132000,181380,SOLE,
FIDELITY NATL INFORMATION SV,31620M106,3492947,260853,SOLE,
GDS HLDGS LTD,36165L108,4249952,107651,SOLE,
HERBALIFE LTD,G4412G101,7600526,65593,SOLE,
HERBALIFE LTD,42703MAF0,17129000,14834,SOLE,
ICON PLC,G4705A100,405000,70871,SOLE,
LIBERTY BROADBAND CORP,530307107,7560,643,SOLE,
LIBERTY BROADBAND CORP,530307305,170610,14510,SOLE,
LIBERTY GLOBAL LTD,G61188101,5076762,58434,SOLE,
LIBERTY GLOBAL LTD,G61188127,24657803,295154,SOLE,
RESTAURANT BRANDS INTL INC,76131D103,3886562,259000,SOLE,
SOLVENTUM CORP,83444M101,1053240,80088,SOLE,
TAMBORAN RES CORP,87507T101,570833,13694,SOLE,
SOMNIGROUP INTERNATIONAL INC,88023U101,703349,42117,SOLE,
VIASAT INC,92552V100,10190728,106187,SOLE,
WESCO INTL INC,95082P105,2005601,311470,SOLE,
WILLIS TOWERS WATSON PLC LTD,G96629103,1525667,515599,SOLE,
