Company,CUSIP,Shares,Value,Discretion
ALLY FINL INC,02005N100,10000,360100,SOLE
ALPHABET INC,02079K305,21858,4137719,SOLE
ALPHABET INC,02079K107,3790,721768,SOLE
AMAZON COM INC,023135106,1400,307146,SOLE
ANTERO MIDSTREAM CORP,03676B102,1932840,29166556,SOLE
AUTONATION INC,05329W102,1461213,248172416,SOLE
BANK AMERICA CORP,060505104,14532,638681,SOLE
CAPITAL ONE FINL CORP,14040H105,1500,267480,SOLE
COMCAST CORP NEW,20030N101,31094,1166958,SOLE
D R HORTON INC,23331A109,781527,109273105,SOLE
DISCOVER FINL SVCS,254709108,2523965,437226457,SOLE
ELEVANCE HEALTH INC,036752103,1629977,601298515,SOLE
F&G ANNUITIES & LIFE INC,30190A104,5400441,223794275,SOLE
FIDELITY NATIONAL FINANCIAL,31620R303,5973131,335331574,SOLE
HCA HEALTHCARE INC,40412C101,3373,1012406,SOLE
ICON PLC,G4705A100,3000,629130,SOLE
JPMORGAN CHASE & CO.,46625H100,5643,1352684,SOLE
LENNAR CORP,526057104,1774390,241973564,SOLE
LITHIA MTRS INC,536797103,612566,218949465,SOLE
MARRIOTT INTL INC NEW,571903202,1194,333054,SOLE
MASTERCARD INCORPORATED,57636Q104,422,222213,SOLE
MICROSOFT CORP,594918104,1275,537412,SOLE
MOODYS CORP,615369105,471,222957,SOLE
MPLX LP,55336V100,4418154,211452850,SOLE
ONEMAIN HLDGS INC,68268W103,7437670,387725737,SOLE
PRIMERICA INC,74164M108,853864,231755767,SOLE
PROGRESSIVE CORP,743315103,1746,418359,SOLE
RYANAIR HOLDINGS PLC,783513203,5604258,244289606,SOLE
TD SYNNEX CORPORATION,87162W100,4147172,486380332,SOLE
UNITEDHEALTH GROUP INC,91324P102,499,252424,SOLE
