Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,2124130,374335430,SOLE,
ASBURY AUTOMOTIVE GROUP INC,043436104,2108540,502971132,SOLE,
CIRCLE INTERNET GROUP INC,172573107,275000,49854750,SOLE,
COUPANG INC,22266T109,13017964,390018201,SOLE,
ENERGY TRANSFER L P,29273V100,6205777,112510737,SOLE,
LITHIA MTRS INC,536797103,2444678,825861122,SOLE,
LOAR HOLDINGS INC,53947R105,32050240,2761769181,SOLE,
META PLATFORMS INC,30303M102,394755,291364718,SOLE,
NUVATION BIO INC,67080N101,3811513,7432450,SOLE,
SOMNIGROUP INTERNATIONAL INC,88023U101,5845246,397768990,SOLE,
U HAUL HOLDING COMPANY,023586100,36401,2204445,SOLE,
U HAUL HOLDING COMPANY,023586506,3251469,176782370,SOLE,
WILLIS TOWERS WATSON PLC LTD,G96629103,720779,220918764,SOLE,
