Company,CUSIP,Shares,Value,Discretion,PutCall
Alphabet Inc Class C,02079K107,122029,35005238,SOLE,
Antero Midstream,03676B102,11806,269176,SOLE,
Apple Inc Com,037833100,3092,784718,SOLE,
Bank Of America Corp,060505104,9459,461126,SOLE,
Bayer AG Spons ADR,072730302,6513893,74777216,SOLE,
Blackstone Inc Com,09260D107,2300,264477,SOLE,
BP PLC,055622104,622256,29246032,SOLE,
Bristol-Myers Squibb,110122108,170381,10333607,SOLE,
Chevron Corp.,166764100,1953,404075,SOLE,
Citigroup Inc,172967424,840897,95366128,SOLE,
Comcast Corp New CL A,20030N101,7169,205821,SOLE,
CSX Corp Com,126408103,36481,1497545,SOLE,
Deutsche Bank AG Namen Akt,D18190898,10000,297800,SOLE,
ExxonMobil,30231G102,18255,3097143,SOLE,
Fairfax Finl HLDGS LTD Sub VTG,303901102,1018,1729242,SOLE,
First Natl BK Alaska Com,32112J106,4920,1471080,SOLE,
"Flagstar Financial, Inc.",649445400,4083618,53781249,SOLE,
Genie Energy,372284208,175011,2474655,SOLE,
GSK PLC ADR,37733W204,160982,8884596,SOLE,
Haleon PLC,405552100,56431,564874,SOLE,
IDT Corp,448947507,372566,18292990,SOLE,
Intl Business Machines,459200101,1228,297654,SOLE,
JPMorgan Chase,46625H100,2818,828942,SOLE,
M B I A Inc,55262C100,2056434,12153524,SOLE,
Merck & Co. Inc.,58933Y105,227288,27340511,SOLE,
Microsoft,594918104,2092,774395,SOLE,
Novartis AG Sponsored ADR,66987V109,13386,2044711,SOLE,
Orange CNTY Bancorp,68417L107,8000,255840,SOLE,
Organon & Co,68622V106,5536993,33166588,SOLE,
Patterson Uti Energy,703481101,1690156,18304389,SOLE,
Pepsico Inc Com,713448108,1800,279522,SOLE,
Peyto Expl & Dev Corp,717046106,31307,609806,SOLE,
Pfizer,717081103,484733,13611302,SOLE,
Pine Cliff Energy LTD Com,722524105,520000,253403,SOLE,
PNC Finl SVCS Group,693475105,1342,279256,SOLE,
Procter & Gamble,742718109,1852,267502,SOLE,
Public SVC Enterprise Group,744573106,3524,285267,SOLE,
Rafael Holdings Inc,75062E106,58557,73196,SOLE,
Seaboard Corp,811543107,5871,33194751,SOLE,
Seaport Entmt Group,812215200,893227,19186515,SOLE,
Sei Invt Co Pa PV $0.01,784117103,6596,517588,SOLE,
Tourmaline Oil Corp,89156V106,26959,1286318,SOLE,
Tphgreenwich Trust Uni,008997017,166999,0,SOLE,
Verizon,92343V104,5682,285236,SOLE,
Walt Disney,254687106,378909,36519249,SOLE,
Windrock LTD Co,97349V107,537,251853,SOLE,
Zedge Inc,98923T104,77928,228329,SOLE,
Zillow Group,98954M200,545212,22560872,SOLE,
